Time;Number of packets received on interface Network adapter 1
2019-03-04T16:00:00+01:00;1032
2019-03-04T17:00:00+01:00;313
2019-03-04T18:00:00+01:00;147
2019-03-04T19:00:00+01:00;103
2019-03-04T20:00:00+01:00;111
2019-03-04T21:00:00+01:00;106
2019-03-04T22:00:00+01:00;107
2019-03-04T23:00:00+01:00;97
2019-03-05T00:00:00+01:00;91
2019-03-05T01:00:00+01:00;92
2019-03-05T02:00:00+01:00;78
2019-03-05T03:00:00+01:00;79
2019-03-05T04:00:00+01:00;86
2019-03-05T05:00:00+01:00;85
2019-03-05T06:00:00+01:00;81
2019-03-05T07:00:00+01:00;293
2019-03-05T08:00:00+01:00;511
2019-03-05T09:00:00+01:00;947
2019-03-05T10:00:00+01:00;2166
2019-03-05T11:00:00+01:00;1427
2019-03-05T12:00:00+01:00;945
2019-03-05T13:00:00+01:00;663
2019-03-05T14:00:00+01:00;557
2019-03-05T15:00:00+01:00;817
2019-03-05T16:00:00+01:00;935
2019-03-05T17:00:00+01:00;234
2019-03-05T18:00:00+01:00;146
2019-03-05T19:00:00+01:00;113
2019-03-05T20:00:00+01:00;117
2019-03-05T21:00:00+01:00;116
2019-03-05T22:00:00+01:00;115
2019-03-05T23:00:00+01:00;113
2019-03-06T00:00:00+01:00;109
2019-03-06T01:00:00+01:00;142
2019-03-06T02:00:00+01:00;105
2019-03-06T03:00:00+01:00;97
2019-03-06T04:00:00+01:00;102
2019-03-06T05:00:00+01:00;100
2019-03-06T06:00:00+01:00;89
2019-03-06T07:00:00+01:00;183
2019-03-06T08:00:00+01:00;515
2019-03-06T09:00:00+01:00;767
2019-03-06T10:00:00+01:00;746
2019-03-06T11:00:00+01:00;1317
2019-03-06T12:00:00+01:00;443
2019-03-06T13:00:00+01:00;604
2019-03-06T14:00:00+01:00;861
2019-03-06T15:00:00+01:00;740
2019-03-06T16:00:00+01:00;1315
2019-03-06T17:00:00+01:00;467
2019-03-06T18:00:00+01:00;231
2019-03-06T19:00:00+01:00;113
2019-03-06T20:00:00+01:00;111
2019-03-06T21:00:00+01:00;99
2019-03-06T22:00:00+01:00;105
2019-03-06T23:00:00+01:00;99
2019-03-07T00:00:00+01:00;102
2019-03-07T01:00:00+01:00;100
2019-03-07T02:00:00+01:00;95
2019-03-07T03:00:00+01:00;95
2019-03-07T04:00:00+01:00;96
2019-03-07T05:00:00+01:00;98
2019-03-07T06:00:00+01:00;134
2019-03-07T07:00:00+01:00;298
2019-03-07T08:00:00+01:00;576
2019-03-07T09:00:00+01:00;913
2019-03-07T10:00:00+01:00;1204
2019-03-07T11:00:00+01:00;1068
2019-03-07T12:00:00+01:00;690
2019-03-07T13:00:00+01:00;565
2019-03-07T14:00:00+01:00;2069
2019-03-07T15:00:00+01:00;914
2019-03-07T16:00:00+01:00;787
2019-03-07T17:00:00+01:00;253
2019-03-07T18:00:00+01:00;119
2019-03-07T19:00:00+01:00;101
2019-03-07T20:00:00+01:00;100
2019-03-07T21:00:00+01:00;79
2019-03-07T22:00:00+01:00;101
2019-03-07T23:00:00+01:00;88
2019-03-08T00:00:00+01:00;76
2019-03-08T01:00:00+01:00;80
2019-03-08T02:00:00+01:00;90
2019-03-08T03:00:00+01:00;70
2019-03-08T04:00:00+01:00;82
2019-03-08T05:00:00+01:00;83
2019-03-08T06:00:00+01:00;76
2019-03-08T07:00:00+01:00;150
2019-03-08T08:00:00+01:00;637
2019-03-08T09:00:00+01:00;1649
2019-03-08T10:00:00+01:00;2341
2019-03-08T11:00:00+01:00;1628
2019-03-08T12:00:00+01:00;760
2019-03-08T13:00:00+01:00;408
2019-03-08T14:00:00+01:00;651
2019-03-08T15:00:00+01:00;360
2019-03-08T16:00:00+01:00;458
2019-03-08T17:00:00+01:00;147
2019-03-08T18:00:00+01:00;137
2019-03-08T19:00:00+01:00;82
2019-03-08T20:00:00+01:00;90
2019-03-08T21:00:00+01:00;85
2019-03-08T22:00:00+01:00;82
2019-03-08T23:00:00+01:00;79
2019-03-09T00:00:00+01:00;79
2019-03-09T01:00:00+01:00;77
2019-03-09T02:00:00+01:00;83
2019-03-09T03:00:00+01:00;71
2019-03-09T04:00:00+01:00;77
2019-03-09T05:00:00+01:00;75
