Time;Free disk space on /
2019-03-11T01:00:00+01:00;223705120768
2019-03-11T02:00:00+01:00;223705120768
2019-03-11T03:00:00+01:00;222526610705
2019-03-11T04:00:00+01:00;221581357294
2019-03-11T05:00:00+01:00;219586316458
2019-03-11T06:00:00+01:00;219595501568
2019-03-11T07:00:00+01:00;219539522901
2019-03-11T08:00:00+01:00;219480040857
2019-03-11T09:00:00+01:00;219385534464
2019-03-11T10:00:00+01:00;219385534464
2019-03-11T11:00:00+01:00;219280615424
2019-03-11T12:00:00+01:00;219280615424
2019-03-11T13:00:00+01:00;219280615424
2019-03-11T14:00:00+01:00;219200103697
2019-03-11T15:00:00+01:00;219175600128
2019-03-11T16:00:00+01:00;219152880537
2019-03-11T17:00:00+01:00;219070740480
2019-03-11T18:00:00+01:00;219070740480
2019-03-11T19:00:00+01:00;219070740480
2019-03-11T20:00:00+01:00;219070740480
2019-03-11T21:00:00+01:00;218966337604
2019-03-11T22:00:00+01:00;218964568064
2019-03-11T23:00:00+01:00;218964568064
2019-03-12T00:00:00+01:00;196664103458
2019-03-12T01:00:00+01:00;219522458419
2019-03-12T02:00:00+01:00;220973711496
2019-03-12T03:00:00+01:00;221037112406
2019-03-12T04:00:00+01:00;221042245632
2019-03-12T05:00:00+01:00;221042245632
2019-03-12T06:00:00+01:00;221017754487
2019-03-12T07:00:00+01:00;220937283584
2019-03-12T08:00:00+01:00;220937283584
2019-03-12T09:00:00+01:00;220919783424
2019-03-12T10:00:00+01:00;220832282624
2019-03-12T11:00:00+01:00;220812407671
2019-03-12T12:00:00+01:00;220723873792
2019-03-12T13:00:00+01:00;220723873792
2019-03-12T14:00:00+01:00;220683519795
2019-03-12T15:00:00+01:00;220618602496
2019-03-12T16:00:00+01:00;220618602496
2019-03-12T17:00:00+01:00;220536375808
2019-03-12T18:00:00+01:00;220513632256
2019-03-12T19:00:00+01:00;220513632256
2019-03-12T20:00:00+01:00;220513632256
2019-03-12T21:00:00+01:00;220513632256
2019-03-12T22:00:00+01:00;220450537062
2019-03-12T23:00:00+01:00;220408473600
2019-03-13T00:00:00+01:00;199774943436
2019-03-13T01:00:00+01:00;230531534848
2019-03-13T02:00:00+01:00;230531534848
2019-03-13T03:00:00+01:00;230522315844
2019-03-13T04:00:00+01:00;230686316544
2019-03-13T05:00:00+01:00;230686316544
2019-03-13T06:00:00+01:00;230686316544
2019-03-13T07:00:00+01:00;230686316544
2019-03-13T08:00:00+01:00;230610665164
2019-03-13T09:00:00+01:00;230580756480
2019-03-13T10:00:00+01:00;230503692697
2019-03-13T11:00:00+01:00;230475669504
2019-03-13T12:00:00+01:00;230475669504
2019-03-13T13:00:00+01:00;230401515110
2019-03-13T14:00:00+01:00;230369734656
2019-03-13T15:00:00+01:00;230369734656
2019-03-13T16:00:00+01:00;230308496042
2019-03-13T17:00:00+01:00;230264754176
2019-03-13T18:00:00+01:00;230264754176
2019-03-13T19:00:00+01:00;230221063509
2019-03-13T20:00:00+01:00;230159896576
2019-03-13T21:00:00+01:00;230159896576
2019-03-13T22:00:00+01:00;230159896576
2019-03-13T23:00:00+01:00;230159896576
2019-03-14T00:00:00+01:00;206202710732
2019-03-14T01:00:00+01:00;230528471040
2019-03-14T02:00:00+01:00;230528471040
2019-03-14T03:00:00+01:00;230499730295
2019-03-14T04:00:00+01:00;230406233463
2019-03-14T05:00:00+01:00;230421635072
2019-03-14T06:00:00+01:00;230421635072
2019-03-14T07:00:00+01:00;230421635072
2019-03-14T08:00:00+01:00;230421635072
2019-03-14T09:00:00+01:00;230324499968
2019-03-14T10:00:00+01:00;230315669504
2019-03-14T11:00:00+01:00;230261311078
2019-03-14T12:00:00+01:00;230210459648
2019-03-14T13:00:00+01:00;230210459648
2019-03-14T14:00:00+01:00;230185842824
2019-03-14T15:00:00+01:00;230104958976
2019-03-14T16:00:00+01:00;230104958976
2019-03-14T17:00:00+01:00;230104958976
2019-03-14T18:00:00+01:00;230005122457
2019-03-14T19:00:00+01:00;229999867904
2019-03-14T20:00:00+01:00;229999867904
2019-03-14T21:00:00+01:00;229999867904
2019-03-14T22:00:00+01:00;229999867904
2019-03-14T23:00:00+01:00;229999867904
2019-03-15T00:00:00+01:00;205241909964
2019-03-15T01:00:00+01:00;230303342592
2019-03-15T02:00:00+01:00;230303342592
2019-03-15T03:00:00+01:00;230239932962
