Time;Average number of bytes written to the disk Hard disk 1
2019-03-19T05:00:00+01:00;1202176
2019-03-19T06:00:00+01:00;1305190
2019-03-19T07:00:00+01:00;1162939
2019-03-19T08:00:00+01:00;1306299
2019-03-19T09:00:00+01:00;1289437
2019-03-19T10:00:00+01:00;1026867
2019-03-19T11:00:00+01:00;1322478
2019-03-19T12:00:00+01:00;1234397
2019-03-19T13:00:00+01:00;1361664
2019-03-19T14:00:00+01:00;856985
2019-03-19T15:00:00+01:00;1124625
2019-03-19T16:00:00+01:00;1090628
2019-03-19T17:00:00+01:00;795221
2019-03-19T18:00:00+01:00;1040691
2019-03-19T19:00:00+01:00;1223185
2019-03-19T20:00:00+01:00;945459
2019-03-19T21:00:00+01:00;899208
2019-03-19T22:00:00+01:00;1048866
2019-03-19T23:00:00+01:00;955357
2019-03-20T00:00:00+01:00;17335671
2019-03-20T01:00:00+01:00;964061
2019-03-20T02:00:00+01:00;889924
2019-03-20T03:00:00+01:00;2017450
2019-03-20T04:00:00+01:00;1043712
2019-03-20T05:00:00+01:00;799948
2019-03-20T06:00:00+01:00;1111074
2019-03-20T07:00:00+01:00;1122150
2019-03-20T08:00:00+01:00;674304
2019-03-20T09:00:00+01:00;1219584
2019-03-20T10:00:00+01:00;1347481
2019-03-20T11:00:00+01:00;1578547
2019-03-20T12:00:00+01:00;914295
2019-03-20T13:00:00+01:00;1453448
2019-03-20T14:00:00+01:00;1447355
2019-03-20T15:00:00+01:00;1401668
2019-03-20T16:00:00+01:00;1065147
2019-03-20T17:00:00+01:00;992341
2019-03-20T18:00:00+01:00;870833
2019-03-20T19:00:00+01:00;876646
2019-03-20T20:00:00+01:00;925900
2019-03-20T21:00:00+01:00;839253
2019-03-20T22:00:00+01:00;1234073
2019-03-20T23:00:00+01:00;934587
2019-03-21T00:00:00+01:00;16992921
2019-03-21T01:00:00+01:00;762641
2019-03-21T02:00:00+01:00;1008281
2019-03-21T03:00:00+01:00;2867882
2019-03-21T04:00:00+01:00;3288217
2019-03-21T05:00:00+01:00;795153
2019-03-21T06:00:00+01:00;1161198
2019-03-21T07:00:00+01:00;1047808
2019-03-21T08:00:00+01:00;902331
2019-03-21T09:00:00+01:00;821640
2019-03-21T10:00:00+01:00;941602
2019-03-21T11:00:00+01:00;978670
2019-03-21T12:00:00+01:00;1137015
2019-03-21T13:00:00+01:00;755490
