Time;Average number of bytes read from the disk Hard disk 1
2019-03-04T09:00:00+01:00;110387
2019-03-04T10:00:00+01:00;65962
2019-03-04T11:00:00+01:00;56883
2019-03-04T12:00:00+01:00;35396
2019-03-04T13:00:00+01:00;120456
2019-03-04T14:00:00+01:00;105830
2019-03-04T15:00:00+01:00;21299
2019-03-04T16:00:00+01:00;24780
2019-03-04T17:00:00+01:00;16435
2019-03-04T18:00:00+01:00;207240
2019-03-04T19:00:00+01:00;6604
2019-03-04T20:00:00+01:00;8243
2019-03-04T21:00:00+01:00;4983
2019-03-04T22:00:00+01:00;2065
2019-03-04T23:00:00+01:00;6877
2019-03-05T00:00:00+01:00;21420168
2019-03-05T01:00:00+01:00;484027
2019-03-05T02:00:00+01:00;121395
2019-03-05T03:00:00+01:00;439278
2019-03-05T04:00:00+01:00;28757
2019-03-05T05:00:00+01:00;40174
2019-03-05T06:00:00+01:00;121548
2019-03-05T07:00:00+01:00;116684
2019-03-05T08:00:00+01:00;334848
2019-03-05T09:00:00+01:00;112008
2019-03-05T10:00:00+01:00;269926
2019-03-05T11:00:00+01:00;140885
2019-03-05T12:00:00+01:00;36420
2019-03-05T13:00:00+01:00;18551
2019-03-05T14:00:00+01:00;80196
2019-03-05T15:00:00+01:00;20531
2019-03-05T16:00:00+01:00;34508
2019-03-05T17:00:00+01:00;61900
2019-03-05T18:00:00+01:00;29815
2019-03-05T19:00:00+01:00;3447
2019-03-05T20:00:00+01:00;6621
2019-03-05T21:00:00+01:00;76953
2019-03-05T22:00:00+01:00;456311
2019-03-05T23:00:00+01:00;5512
2019-03-06T00:00:00+01:00;21241088
2019-03-06T01:00:00+01:00;1829427
2019-03-06T02:00:00+01:00;3116049
2019-03-06T03:00:00+01:00;735129
2019-03-06T04:00:00+01:00;547379
2019-03-06T05:00:00+01:00;430592
2019-03-06T06:00:00+01:00;425574
2019-03-06T07:00:00+01:00;305749
2019-03-06T08:00:00+01:00;389307
2019-03-06T09:00:00+01:00;364526
2019-03-06T10:00:00+01:00;731289
2019-03-06T11:00:00+01:00;743680
2019-03-06T12:00:00+01:00;160733
2019-03-06T13:00:00+01:00;86766
2019-03-06T14:00:00+01:00;639590
2019-03-06T15:00:00+01:00;106752
2019-03-06T16:00:00+01:00;42205
2019-03-06T17:00:00+01:00;12526
2019-03-06T18:00:00+01:00;83251
2019-03-06T19:00:00+01:00;45960
2019-03-06T20:00:00+01:00;938
2019-03-06T21:00:00+01:00;18926
2019-03-06T22:00:00+01:00;87040
2019-03-06T23:00:00+01:00;39953
2019-03-07T00:00:00+01:00;20869461
2019-03-07T01:00:00+01:00;369476
2019-03-07T02:00:00+01:00;523195
2019-03-07T03:00:00+01:00;361625
2019-03-07T04:00:00+01:00;21265
2019-03-07T05:00:00+01:00;5734
2019-03-07T06:00:00+01:00;39662
2019-03-07T07:00:00+01:00;66235
2019-03-07T08:00:00+01:00;127078
2019-03-07T09:00:00+01:00;234222
2019-03-07T10:00:00+01:00;497220
2019-03-07T11:00:00+01:00;139144
2019-03-07T12:00:00+01:00;48503
2019-03-07T13:00:00+01:00;48810
2019-03-07T14:00:00+01:00;48520
2019-03-07T15:00:00+01:00;81834
2019-03-07T16:00:00+01:00;5546
2019-03-07T17:00:00+01:00;5154
2019-03-07T18:00:00+01:00;10700
2019-03-07T19:00:00+01:00;5427
2019-03-07T20:00:00+01:00;1655
2019-03-07T21:00:00+01:00;1126
2019-03-07T22:00:00+01:00;7543
2019-03-07T23:00:00+01:00;3362
2019-03-08T00:00:00+01:00;22470263
2019-03-08T01:00:00+01:00;327287
2019-03-08T02:00:00+01:00;773273
2019-03-08T03:00:00+01:00;981026
2019-03-08T04:00:00+01:00;28091
2019-03-08T05:00:00+01:00;3293
2019-03-08T06:00:00+01:00;68590
2019-03-08T07:00:00+01:00;91852
2019-03-08T08:00:00+01:00;148070
2019-03-08T09:00:00+01:00;71918
2019-03-08T10:00:00+01:00;217736
2019-03-08T11:00:00+01:00;190020
2019-03-08T12:00:00+01:00;114602
2019-03-08T13:00:00+01:00;25292
2019-03-08T14:00:00+01:00;38451
2019-03-08T15:00:00+01:00;200721
2019-03-08T16:00:00+01:00;236168
2019-03-08T17:00:00+01:00;5614
2019-03-08T18:00:00+01:00;18278
2019-03-08T19:00:00+01:00;21760
2019-03-08T20:00:00+01:00;955
2019-03-08T21:00:00+01:00;2099
2019-03-08T22:00:00+01:00;12544
2019-03-08T23:00:00+01:00;10581
2019-03-09T00:00:00+01:00;26460876
2019-03-09T01:00:00+01:00;304810
2019-03-09T02:00:00+01:00;427554
2019-03-09T03:00:00+01:00;927351
2019-03-09T04:00:00+01:00;70263
2019-03-09T05:00:00+01:00;1024
2019-03-09T06:00:00+01:00;44578
2019-03-09T07:00:00+01:00;105659
2019-03-09T08:00:00+01:00;23466
2019-03-09T09:00:00+01:00;10649
2019-03-09T10:00:00+01:00;25668
2019-03-09T11:00:00+01:00;46370
2019-03-09T12:00:00+01:00;21299
2019-03-09T13:00:00+01:00;2696
2019-03-09T14:00:00+01:00;29354
2019-03-09T15:00:00+01:00;44612
2019-03-09T16:00:00+01:00;11793
2019-03-09T17:00:00+01:00;2628
2019-03-09T18:00:00+01:00;15803
2019-03-09T19:00:00+01:00;22715
2019-03-09T20:00:00+01:00;3362
2019-03-09T21:00:00+01:00;1314
2019-03-09T22:00:00+01:00;137335
2019-03-09T23:00:00+01:00;47735
2019-03-10T00:00:00+01:00;21727761
2019-03-10T01:00:00+01:00;288341
2019-03-10T02:00:00+01:00;304145
2019-03-10T03:00:00+01:00;737501
2019-03-10T04:00:00+01:00;63044
2019-03-10T05:00:00+01:00;1928
2019-03-10T06:00:00+01:00;30139
2019-03-10T07:00:00+01:00;22698
2019-03-10T08:00:00+01:00;6536
2019-03-10T09:00:00+01:00;2423
2019-03-10T10:00:00+01:00;8072
2019-03-10T11:00:00+01:00;11281
2019-03-10T12:00:00+01:00;18380
2019-03-10T13:00:00+01:00;2867
2019-03-10T14:00:00+01:00;3805
2019-03-10T15:00:00+01:00;13670
2019-03-10T16:00:00+01:00;2491
2019-03-10T17:00:00+01:00;1024
2019-03-10T18:00:00+01:00;162798
2019-03-10T19:00:00+01:00;13056
2019-03-10T20:00:00+01:00;8106
2019-03-10T21:00:00+01:00;1928
2019-03-10T22:00:00+01:00;3925
2019-03-10T23:00:00+01:00;8584
2019-03-11T00:00:00+01:00;21789303
2019-03-11T01:00:00+01:00;298137
2019-03-11T02:00:00+01:00;333363
2019-03-11T03:00:00+01:00;878933
2019-03-11T04:00:00+01:00;140117
2019-03-11T05:00:00+01:00;39441
2019-03-11T06:00:00+01:00;228522
2019-03-11T07:00:00+01:00;230314
2019-03-11T08:00:00+01:00;339182
2019-03-11T09:00:00+01:00;208454
2019-03-11T10:00:00+01:00;80128
2019-03-11T11:00:00+01:00;93371
2019-03-11T12:00:00+01:00;17681
2019-03-11T13:00:00+01:00;83899
2019-03-11T14:00:00+01:00;39918
2019-03-11T15:00:00+01:00;17629
2019-03-11T16:00:00+01:00;19490
2019-03-11T17:00:00+01:00;12407
2019-03-11T18:00:00+01:00;12919
2019-03-11T19:00:00+01:00;7731
2019-03-11T20:00:00+01:00;165597
2019-03-11T21:00:00+01:00;16418
2019-03-11T22:00:00+01:00;10888
2019-03-11T23:00:00+01:00;4044
2019-03-12T00:00:00+01:00;20615321
2019-03-12T01:00:00+01:00;389990
2019-03-12T02:00:00+01:00;328055
2019-03-12T03:00:00+01:00;1031256
2019-03-12T04:00:00+01:00;76492
2019-03-12T05:00:00+01:00;6963
2019-03-12T06:00:00+01:00;18995
2019-03-12T07:00:00+01:00;112349
2019-03-12T08:00:00+01:00;136721
2019-03-12T09:00:00+01:00;74547
2019-03-12T10:00:00+01:00;221132
2019-03-12T11:00:00+01:00;94361
2019-03-12T12:00:00+01:00;22135
2019-03-12T13:00:00+01:00;31505
2019-03-12T14:00:00+01:00;72192
2019-03-12T15:00:00+01:00;25617
2019-03-12T16:00:00+01:00;58999
2019-03-12T17:00:00+01:00;19114
2019-03-12T18:00:00+01:00;13568
2019-03-12T19:00:00+01:00;10717
2019-03-12T20:00:00+01:00;3549
2019-03-12T21:00:00+01:00;37734
2019-03-12T22:00:00+01:00;1962
2019-03-12T23:00:00+01:00;3822
2019-03-13T00:00:00+01:00;22490214
2019-03-13T01:00:00+01:00;620083
2019-03-13T02:00:00+01:00;142506
2019-03-13T03:00:00+01:00;622643
2019-03-13T04:00:00+01:00;184132
2019-03-13T05:00:00+01:00;12219
2019-03-13T06:00:00+01:00;473446
2019-03-13T07:00:00+01:00;73335
2019-03-13T08:00:00+01:00;235212
2019-03-13T09:00:00+01:00;100164
2019-03-13T10:00:00+01:00;105437
2019-03-13T11:00:00+01:00;64785
2019-03-13T12:00:00+01:00;288750
2019-03-13T13:00:00+01:00;36505
2019-03-13T14:00:00+01:00;82210
2019-03-13T15:00:00+01:00;26931
2019-03-13T16:00:00+01:00;22408
2019-03-13T17:00:00+01:00;18124
2019-03-13T18:00:00+01:00;38212
2019-03-13T19:00:00+01:00;18483
2019-03-13T20:00:00+01:00;17766
2019-03-13T21:00:00+01:00;105181
2019-03-13T22:00:00+01:00;4232
2019-03-13T23:00:00+01:00;1655
2019-03-14T00:00:00+01:00;22580036
2019-03-14T01:00:00+01:00;459008
2019-03-14T02:00:00+01:00;80947
2019-03-14T03:00:00+01:00;266120
2019-03-14T04:00:00+01:00;115200
2019-03-14T05:00:00+01:00;6843
2019-03-14T06:00:00+01:00;671675
2019-03-14T07:00:00+01:00;130133
2019-03-14T08:00:00+01:00;240708
2019-03-14T09:00:00+01:00;95607
2019-03-14T10:00:00+01:00;465732
2019-03-14T11:00:00+01:00;44014
2019-03-14T12:00:00+01:00;76014
2019-03-14T13:00:00+01:00;42547
2019-03-14T14:00:00+01:00;62924
2019-03-14T15:00:00+01:00;16793
2019-03-14T16:00:00+01:00;20684
2019-03-14T17:00:00+01:00;19541
2019-03-14T18:00:00+01:00;27613
2019-03-14T19:00:00+01:00;23449
2019-03-14T20:00:00+01:00;3362
2019-03-14T21:00:00+01:00;4693
2019-03-14T22:00:00+01:00;1740
2019-03-14T23:00:00+01:00;50756
2019-03-15T00:00:00+01:00;22828646
2019-03-15T01:00:00+01:00;372019
2019-03-15T02:00:00+01:00;67430
2019-03-15T03:00:00+01:00;600729
2019-03-15T04:00:00+01:00;42257
2019-03-15T05:00:00+01:00;52855
2019-03-15T06:00:00+01:00;506265
2019-03-15T07:00:00+01:00;144708
2019-03-15T08:00:00+01:00;85367
2019-03-15T09:00:00+01:00;51712
2019-03-15T10:00:00+01:00;88712
2019-03-15T11:00:00+01:00;41335
2019-03-15T12:00:00+01:00;366967
2019-03-15T13:00:00+01:00;63675
2019-03-15T14:00:00+01:00;40584
2019-03-15T15:00:00+01:00;14830
2019-03-15T16:00:00+01:00;17629
2019-03-15T17:00:00+01:00;4676
2019-03-15T18:00:00+01:00;19165
2019-03-15T19:00:00+01:00;6229
2019-03-15T20:00:00+01:00;1979
2019-03-15T21:00:00+01:00;2150
2019-03-15T22:00:00+01:00;1109
2019-03-15T23:00:00+01:00;28637
2019-03-16T00:00:00+01:00;28951022
2019-03-16T01:00:00+01:00;322679
2019-03-16T02:00:00+01:00;61952
2019-03-16T03:00:00+01:00;503825
2019-03-16T04:00:00+01:00;318156
2019-03-16T05:00:00+01:00;3720
2019-03-16T06:00:00+01:00;2542
2019-03-16T07:00:00+01:00;7526
2019-03-16T08:00:00+01:00;26385
2019-03-16T09:00:00+01:00;12526
2019-03-16T10:00:00+01:00;12492
2019-03-16T11:00:00+01:00;13499
2019-03-16T12:00:00+01:00;7168
2019-03-16T13:00:00+01:00;5956
2019-03-16T14:00:00+01:00;2713
2019-03-16T15:00:00+01:00;44066
2019-03-16T16:00:00+01:00;4659
2019-03-16T17:00:00+01:00;43400
2019-03-16T18:00:00+01:00;16298
2019-03-16T19:00:00+01:00;9932
2019-03-16T20:00:00+01:00;3293
2019-03-16T21:00:00+01:00;3532
2019-03-16T22:00:00+01:00;3754
2019-03-16T23:00:00+01:00;51899
2019-03-17T00:00:00+01:00;21672772
2019-03-17T01:00:00+01:00;572433
2019-03-17T02:00:00+01:00;31880
2019-03-17T03:00:00+01:00;745318
2019-03-17T04:00:00+01:00;59153
2019-03-17T05:00:00+01:00;4812
2019-03-17T06:00:00+01:00;155238
2019-03-17T07:00:00+01:00;8618
2019-03-17T08:00:00+01:00;8942
2019-03-17T09:00:00+01:00;3857
2019-03-17T10:00:00+01:00;60177
2019-03-17T11:00:00+01:00;24115
2019-03-17T12:00:00+01:00;58163
2019-03-17T13:00:00+01:00;2065
2019-03-17T14:00:00+01:00;195379
2019-03-17T15:00:00+01:00;121514
2019-03-17T16:00:00+01:00;321092
2019-03-17T17:00:00+01:00;716
2019-03-17T18:00:00+01:00;124774
2019-03-17T19:00:00+01:00;11212
2019-03-17T20:00:00+01:00;52616
2019-03-17T21:00:00+01:00;2201
2019-03-17T22:00:00+01:00;3106
2019-03-17T23:00:00+01:00;2611
2019-03-18T00:00:00+01:00;22501580
2019-03-18T01:00:00+01:00;635238
2019-03-18T02:00:00+01:00;177510
2019-03-18T03:00:00+01:00;546304
2019-03-18T04:00:00+01:00;84258
2019-03-18T05:00:00+01:00;390109
2019-03-18T06:00:00+01:00;310801
2019-03-18T07:00:00+01:00;84992
2019-03-18T08:00:00+01:00;221627
2019-03-18T09:00:00+01:00;254139
2019-03-18T10:00:00+01:00;79121
2019-03-18T11:00:00+01:00;22698
2019-03-18T12:00:00+01:00;157559
2019-03-18T13:00:00+01:00;101819
2019-03-18T14:00:00+01:00;124381
2019-03-18T15:00:00+01:00;51780
2019-03-18T16:00:00+01:00;26214
2019-03-18T17:00:00+01:00;122385
2019-03-18T18:00:00+01:00;23031
2019-03-18T19:00:00+01:00;4488
2019-03-18T20:00:00+01:00;1228
2019-03-18T21:00:00+01:00;12612
2019-03-18T22:00:00+01:00;3686
2019-03-18T23:00:00+01:00;28245
2019-03-19T00:00:00+01:00;20571494
2019-03-19T01:00:00+01:00;774724
2019-03-19T02:00:00+01:00;112930
2019-03-19T03:00:00+01:00;439193
2019-03-19T04:00:00+01:00;44270
2019-03-19T05:00:00+01:00;9864
2019-03-19T06:00:00+01:00;206779
2019-03-19T07:00:00+01:00;74086
2019-03-19T08:00:00+01:00;181435
2019-03-19T09:00:00+01:00;110455
2019-03-19T10:00:00+01:00;69888
2019-03-19T11:00:00+01:00;73028
2019-03-19T12:00:00+01:00;86630
2019-03-19T13:00:00+01:00;38144
2019-03-19T14:00:00+01:00;69580
2019-03-19T15:00:00+01:00;11212
2019-03-19T16:00:00+01:00;11349
2019-03-19T17:00:00+01:00;22664
2019-03-19T18:00:00+01:00;167731
2019-03-19T19:00:00+01:00;13550
2019-03-19T20:00:00+01:00;9062
2019-03-19T21:00:00+01:00;3447
2019-03-19T22:00:00+01:00;10581
2019-03-19T23:00:00+01:00;29627
2019-03-20T00:00:00+01:00;21001915
2019-03-20T01:00:00+01:00;691524
2019-03-20T02:00:00+01:00;80196
2019-03-20T03:00:00+01:00;515106
2019-03-20T04:00:00+01:00;29576
2019-03-20T05:00:00+01:00;74513
2019-03-20T06:00:00+01:00;625237
2019-03-20T07:00:00+01:00;100061
2019-03-20T08:00:00+01:00;188296
2019-03-20T09:00:00+01:00;202632
2019-03-20T10:00:00+01:00;164266
2019-03-20T11:00:00+01:00;28467
2019-03-20T12:00:00+01:00;77277
2019-03-20T13:00:00+01:00;217907
2019-03-20T14:00:00+01:00;123118
2019-03-20T15:00:00+01:00;66167
2019-03-20T16:00:00+01:00;13994
2019-03-20T17:00:00+01:00;22220
2019-03-20T18:00:00+01:00;32854
2019-03-20T19:00:00+01:00;4539
2019-03-20T20:00:00+01:00;2781
2019-03-20T21:00:00+01:00;8567
2019-03-20T22:00:00+01:00;17783
2019-03-20T23:00:00+01:00;25326
2019-03-21T00:00:00+01:00;20334489
2019-03-21T01:00:00+01:00;488362
2019-03-21T02:00:00+01:00;131430
2019-03-21T03:00:00+01:00;357734
2019-03-21T04:00:00+01:00;41745
2019-03-21T05:00:00+01:00;8482
2019-03-21T06:00:00+01:00;602982
2019-03-21T07:00:00+01:00;88490
2019-03-21T08:00:00+01:00;186589
2019-03-21T09:00:00+01:00;241117
2019-03-21T10:00:00+01:00;274363
2019-03-21T11:00:00+01:00;32136
2019-03-21T12:00:00+01:00;109841
2019-03-21T13:00:00+01:00;29781
2019-03-21T14:00:00+01:00;162696
2019-03-21T15:00:00+01:00;15274
2019-03-21T16:00:00+01:00;249856
2019-03-21T17:00:00+01:00;14967
2019-03-21T18:00:00+01:00;51780
2019-03-21T19:00:00+01:00;5120
2019-03-21T20:00:00+01:00;3106
2019-03-21T21:00:00+01:00;6553
2019-03-21T22:00:00+01:00;5188
2019-03-21T23:00:00+01:00;25617
2019-03-22T00:00:00+01:00;23046894
2019-03-22T01:00:00+01:00;493772
2019-03-22T02:00:00+01:00;137796
2019-03-22T03:00:00+01:00;288989
2019-03-22T04:00:00+01:00;32460
2019-03-22T05:00:00+01:00;27357
2019-03-22T06:00:00+01:00;617233
2019-03-22T07:00:00+01:00;114636
2019-03-22T08:00:00+01:00;202786
2019-03-22T09:00:00+01:00;117452
2019-03-22T10:00:00+01:00;247808
2019-03-22T11:00:00+01:00;186385
2019-03-22T12:00:00+01:00;25361
2019-03-22T13:00:00+01:00;35293
2019-03-22T14:00:00+01:00;181384
2019-03-22T15:00:00+01:00;10052
2019-03-22T16:00:00+01:00;19780
2019-03-22T17:00:00+01:00;11878
2019-03-22T18:00:00+01:00;47121
2019-03-22T19:00:00+01:00;5256
2019-03-22T20:00:00+01:00;1655
2019-03-22T21:00:00+01:00;2184
2019-03-22T22:00:00+01:00;8482
2019-03-22T23:00:00+01:00;34969
2019-03-23T00:00:00+01:00;28868642
2019-03-23T01:00:00+01:00;641860
2019-03-23T02:00:00+01:00;264430
2019-03-23T03:00:00+01:00;437606
2019-03-23T04:00:00+01:00;34048
2019-03-23T05:00:00+01:00;3891
2019-03-23T06:00:00+01:00;33348
2019-03-23T07:00:00+01:00;194577
2019-03-23T08:00:00+01:00;61337
2019-03-23T09:00:00+01:00;22493
2019-03-23T10:00:00+01:00;21452
2019-03-23T11:00:00+01:00;6195
2019-03-23T12:00:00+01:00;29457
2019-03-23T13:00:00+01:00;14762
2019-03-23T14:00:00+01:00;15172
2019-03-23T15:00:00+01:00;5990
2019-03-23T16:00:00+01:00;1621
2019-03-23T17:00:00+01:00;2662
2019-03-23T18:00:00+01:00;12151
2019-03-23T19:00:00+01:00;11793
2019-03-23T20:00:00+01:00;13038
2019-03-23T21:00:00+01:00;1877
2019-03-23T22:00:00+01:00;17629
2019-03-23T23:00:00+01:00;56832
2019-03-24T00:00:00+01:00;22186461
2019-03-24T01:00:00+01:00;455509
2019-03-24T02:00:00+01:00;152900
2019-03-24T03:00:00+01:00;764108
2019-03-24T04:00:00+01:00;154094
2019-03-24T05:00:00+01:00;2508
2019-03-24T06:00:00+01:00;9096
2019-03-24T07:00:00+01:00;15940
2019-03-24T08:00:00+01:00;11383
2019-03-24T09:00:00+01:00;12765
2019-03-24T10:00:00+01:00;9779
2019-03-24T11:00:00+01:00;14404
2019-03-24T12:00:00+01:00;19660
2019-03-24T13:00:00+01:00;4590
2019-03-24T14:00:00+01:00;7168
2019-03-24T15:00:00+01:00;9062
2019-03-24T16:00:00+01:00;11400
2019-03-24T17:00:00+01:00;7731
2019-03-24T18:00:00+01:00;6980
2019-03-24T19:00:00+01:00;11366
2019-03-24T20:00:00+01:00;3635
2019-03-24T21:00:00+01:00;10752
2019-03-24T22:00:00+01:00;35908
2019-03-24T23:00:00+01:00;1979
2019-03-25T00:00:00+01:00;21171797
2019-03-25T01:00:00+01:00;402585
2019-03-25T02:00:00+01:00;125610
2019-03-25T03:00:00+01:00;259174
2019-03-25T04:00:00+01:00;83694
2019-03-25T05:00:00+01:00;405606
2019-03-25T06:00:00+01:00;279091
2019-03-25T07:00:00+01:00;90760
2019-03-25T08:00:00+01:00;196113
2019-03-25T09:00:00+01:00;112674
2019-03-25T10:00:00+01:00;70826
2019-03-25T11:00:00+01:00;50602
2019-03-25T12:00:00+01:00;145629
2019-03-25T13:00:00+01:00;112708
2019-03-25T14:00:00+01:00;46370
2019-03-25T15:00:00+01:00;32989
2019-03-25T16:00:00+01:00;21435
2019-03-25T17:00:00+01:00;20531
2019-03-25T18:00:00+01:00;39219
2019-03-25T19:00:00+01:00;7304
2019-03-25T20:00:00+01:00;7150
2019-03-25T21:00:00+01:00;5512
2019-03-25T22:00:00+01:00;4232
2019-03-25T23:00:00+01:00;47428
2019-03-26T00:00:00+01:00;19145113
2019-03-26T01:00:00+01:00;348893
2019-03-26T02:00:00+01:00;87893
2019-03-26T03:00:00+01:00;211660
2019-03-26T04:00:00+01:00;34679
2019-03-26T05:00:00+01:00;6331
2019-03-26T06:00:00+01:00;726988
2019-03-26T07:00:00+01:00;78233
2019-03-26T08:00:00+01:00;141056
2019-03-26T09:00:00+01:00;183876
2019-03-26T10:00:00+01:00;164471
2019-03-26T11:00:00+01:00;59323
2019-03-26T12:00:00+01:00;38144
2019-03-26T13:00:00+01:00;37393
2019-03-26T14:00:00+01:00;66730
2019-03-26T15:00:00+01:00;28501
2019-03-26T16:00:00+01:00;16640
2019-03-26T17:00:00+01:00;17356
2019-03-26T18:00:00+01:00;242210
2019-03-26T19:00:00+01:00;5717
2019-03-26T20:00:00+01:00;5376
2019-03-26T21:00:00+01:00;1006
2019-03-26T22:00:00+01:00;1723
2019-03-26T23:00:00+01:00;12424
2019-03-27T00:00:00+01:00;21744605
2019-03-27T01:00:00+01:00;346521
2019-03-27T02:00:00+01:00;70263
2019-03-27T03:00:00+01:00;537907
2019-03-27T04:00:00+01:00;48844
2019-03-27T05:00:00+01:00;43844
2019-03-27T06:00:00+01:00;555485
2019-03-27T07:00:00+01:00;202820
2019-03-27T08:00:00+01:00;311296
2019-03-27T09:00:00+01:00;249651
2019-03-27T10:00:00+01:00;107229
2019-03-27T11:00:00+01:00;44646
2019-03-27T12:00:00+01:00;17305
2019-03-27T13:00:00+01:00;72721
2019-03-27T14:00:00+01:00;124535
2019-03-27T15:00:00+01:00;39048
2019-03-27T16:00:00+01:00;18739
2019-03-27T17:00:00+01:00;9659
2019-03-27T18:00:00+01:00;30156
2019-03-27T19:00:00+01:00;3720
2019-03-27T20:00:00+01:00;69888
2019-03-27T21:00:00+01:00;1587
2019-03-27T22:00:00+01:00;1928
2019-03-27T23:00:00+01:00;32068
2019-03-28T00:00:00+01:00;20680430
2019-03-28T01:00:00+01:00;469384
2019-03-28T02:00:00+01:00;228061
2019-03-28T03:00:00+01:00;333260
2019-03-28T04:00:00+01:00;26077
2019-03-28T05:00:00+01:00;10069
2019-03-28T06:00:00+01:00;614604
2019-03-28T07:00:00+01:00;102246
2019-03-28T08:00:00+01:00;159010
2019-03-28T09:00:00+01:00;164676
2019-03-28T10:00:00+01:00;374613
2019-03-28T11:00:00+01:00;133905
2019-03-28T12:00:00+01:00;57600
2019-03-28T13:00:00+01:00;34560
2019-03-28T14:00:00+01:00;52923
2019-03-28T15:00:00+01:00;94276
2019-03-28T16:00:00+01:00;29184
2019-03-28T17:00:00+01:00;63419
2019-03-28T18:00:00+01:00;13994
2019-03-28T19:00:00+01:00;11929
2019-03-28T20:00:00+01:00;2474
2019-03-28T21:00:00+01:00;1638
2019-03-28T22:00:00+01:00;9762
2019-03-28T23:00:00+01:00;40123
2019-03-29T00:00:00+01:00;21695470
2019-03-29T01:00:00+01:00;690141
2019-03-29T02:00:00+01:00;210500
2019-03-29T03:00:00+01:00;555281
2019-03-29T04:00:00+01:00;33160
2019-03-29T05:00:00+01:00;9847
2019-03-29T06:00:00+01:00;32204
2019-03-29T07:00:00+01:00;67003
2019-03-29T08:00:00+01:00;240401
2019-03-29T09:00:00+01:00;163225
2019-03-29T10:00:00+01:00;62225
2019-03-29T11:00:00+01:00;116548
2019-03-29T12:00:00+01:00;248439
2019-03-29T13:00:00+01:00;35771
2019-03-29T14:00:00+01:00;159419
2019-03-29T15:00:00+01:00;19507
2019-03-29T16:00:00+01:00;56524
2019-03-29T17:00:00+01:00;4539
2019-03-29T18:00:00+01:00;32153
2019-03-29T19:00:00+01:00;184217
2019-03-29T20:00:00+01:00;9506
2019-03-29T21:00:00+01:00;18005
2019-03-29T22:00:00+01:00;8004
2019-03-29T23:00:00+01:00;41284
