Time;Number of packets transmitted on interface Network adapter 1
2019-03-08T09:00:00+01:00;14020
2019-03-08T10:00:00+01:00;34264
2019-03-08T11:00:00+01:00;39580
2019-03-08T12:00:00+01:00;20994
2019-03-08T13:00:00+01:00;16174
2019-03-08T14:00:00+01:00;31713
2019-03-08T15:00:00+01:00;36931
2019-03-08T16:00:00+01:00;14851
2019-03-08T17:00:00+01:00;8621
2019-03-08T18:00:00+01:00;28377
2019-03-08T19:00:00+01:00;36817
2019-03-08T20:00:00+01:00;9319
2019-03-08T21:00:00+01:00;6028
2019-03-08T22:00:00+01:00;27393
2019-03-08T23:00:00+01:00;28264
2019-03-09T00:00:00+01:00;11293
2019-03-09T01:00:00+01:00;5383
2019-03-09T02:00:00+01:00;23656
2019-03-09T03:00:00+01:00;29988
2019-03-09T04:00:00+01:00;12118
2019-03-09T05:00:00+01:00;4625
2019-03-09T06:00:00+01:00;23581
2019-03-09T07:00:00+01:00;35210
2019-03-09T08:00:00+01:00;11130
2019-03-09T09:00:00+01:00;5875
2019-03-09T10:00:00+01:00;25120
2019-03-09T11:00:00+01:00;31819
2019-03-09T12:00:00+01:00;11099
2019-03-09T13:00:00+01:00;5740
2019-03-09T14:00:00+01:00;23397
2019-03-09T15:00:00+01:00;33041
2019-03-09T16:00:00+01:00;11382
2019-03-09T17:00:00+01:00;5166
2019-03-09T18:00:00+01:00;22022
2019-03-09T19:00:00+01:00;32177
2019-03-09T20:00:00+01:00;11657
2019-03-09T21:00:00+01:00;6203
2019-03-09T22:00:00+01:00;23113
2019-03-09T23:00:00+01:00;33837
2019-03-10T00:00:00+01:00;14459
2019-03-10T01:00:00+01:00;14358
2019-03-10T02:00:00+01:00;22158
2019-03-10T03:00:00+01:00;34633
2019-03-10T04:00:00+01:00;13417
2019-03-10T05:00:00+01:00;5339
2019-03-10T06:00:00+01:00;20254
2019-03-10T07:00:00+01:00;35308
2019-03-10T08:00:00+01:00;12090
2019-03-10T09:00:00+01:00;6624
2019-03-10T10:00:00+01:00;23335
2019-03-10T11:00:00+01:00;31460
2019-03-10T12:00:00+01:00;15435
2019-03-10T13:00:00+01:00;6123
2019-03-10T14:00:00+01:00;19818
2019-03-10T15:00:00+01:00;32322
2019-03-10T16:00:00+01:00;12234
2019-03-10T17:00:00+01:00;6181
2019-03-10T18:00:00+01:00;19229
2019-03-10T19:00:00+01:00;29661
2019-03-10T20:00:00+01:00;12260
2019-03-10T21:00:00+01:00;7854
2019-03-10T22:00:00+01:00;19476
2019-03-10T23:00:00+01:00;30955
2019-03-11T00:00:00+01:00;18128
2019-03-11T01:00:00+01:00;6702
2019-03-11T02:00:00+01:00;19853
2019-03-11T03:00:00+01:00;39700
2019-03-11T04:00:00+01:00;82127
2019-03-11T05:00:00+01:00;7632
2019-03-11T06:00:00+01:00;20485
2019-03-11T07:00:00+01:00;40507
2019-03-11T08:00:00+01:00;27901
2019-03-11T09:00:00+01:00;20585
2019-03-11T10:00:00+01:00;24692
2019-03-11T11:00:00+01:00;37712
2019-03-11T12:00:00+01:00;29596
2019-03-11T13:00:00+01:00;22376
2019-03-11T14:00:00+01:00;27756
2019-03-11T15:00:00+01:00;31969
2019-03-11T16:00:00+01:00;26955
2019-03-11T17:00:00+01:00;16731
2019-03-11T18:00:00+01:00;24538
2019-03-11T19:00:00+01:00;32291
2019-03-11T20:00:00+01:00;17290
2019-03-11T21:00:00+01:00;13166
2019-03-11T22:00:00+01:00;17146
2019-03-11T23:00:00+01:00;27945
2019-03-12T00:00:00+01:00;18296
2019-03-12T01:00:00+01:00;11487
2019-03-12T02:00:00+01:00;27618
2019-03-12T03:00:00+01:00;29512
2019-03-12T04:00:00+01:00;18297
2019-03-12T05:00:00+01:00;12256
2019-03-12T06:00:00+01:00;19349
2019-03-12T07:00:00+01:00;31089
2019-03-12T08:00:00+01:00;30544
2019-03-12T09:00:00+01:00;23572
2019-03-12T10:00:00+01:00;26951
2019-03-12T11:00:00+01:00;38387
2019-03-12T12:00:00+01:00;27509
2019-03-12T13:00:00+01:00;23150
2019-03-12T14:00:00+01:00;27158
2019-03-12T15:00:00+01:00;28784
2019-03-12T16:00:00+01:00;24340
2019-03-12T17:00:00+01:00;22265
2019-03-12T18:00:00+01:00;26301
2019-03-12T19:00:00+01:00;23397
2019-03-12T20:00:00+01:00;12240
2019-03-12T21:00:00+01:00;11083
2019-03-12T22:00:00+01:00;11770
2019-03-12T23:00:00+01:00;18600
2019-03-13T00:00:00+01:00;10301
2019-03-13T01:00:00+01:00;11834
2019-03-13T02:00:00+01:00;11653
2019-03-13T03:00:00+01:00;26229
2019-03-13T04:00:00+01:00;10104
2019-03-13T05:00:00+01:00;10481
2019-03-13T06:00:00+01:00;31229
2019-03-13T07:00:00+01:00;23571
2019-03-13T08:00:00+01:00;24808
2019-03-13T09:00:00+01:00;17735
2019-03-13T10:00:00+01:00;36805
2019-03-13T11:00:00+01:00;27802
2019-03-13T12:00:00+01:00;25765
2019-03-13T13:00:00+01:00;16663
2019-03-13T14:00:00+01:00;35172
2019-03-13T15:00:00+01:00;26838
2019-03-13T16:00:00+01:00;21523
2019-03-13T17:00:00+01:00;18411
2019-03-13T18:00:00+01:00;37447
2019-03-13T19:00:00+01:00;19423
2019-03-13T20:00:00+01:00;10997
2019-03-13T21:00:00+01:00;9309
2019-03-13T22:00:00+01:00;8931
2019-03-13T23:00:00+01:00;8338
2019-03-14T00:00:00+01:00;7755
2019-03-14T01:00:00+01:00;6988
2019-03-14T02:00:00+01:00;7828
2019-03-14T03:00:00+01:00;7904
