Time;Number of bytes received on interface Network adapter 1
2019-03-19T03:00:00+01:00;330171
2019-03-19T04:00:00+01:00;349218
2019-03-19T05:00:00+01:00;168055
2019-03-19T06:00:00+01:00;123426
2019-03-19T07:00:00+01:00;73301
2019-03-19T08:00:00+01:00;92962
2019-03-19T09:00:00+01:00;191402
2019-03-19T10:00:00+01:00;162952
2019-03-19T11:00:00+01:00;82312
2019-03-19T12:00:00+01:00;89514
2019-03-19T13:00:00+01:00;183057
2019-03-19T14:00:00+01:00;184797
2019-03-19T15:00:00+01:00;86067
2019-03-19T16:00:00+01:00;93474
2019-03-19T17:00:00+01:00;177954
2019-03-19T18:00:00+01:00;154231
2019-03-19T19:00:00+01:00;49732
2019-03-19T20:00:00+01:00;43502
2019-03-19T21:00:00+01:00;75724
2019-03-19T22:00:00+01:00;32819
2019-03-19T23:00:00+01:00;27869
2019-03-20T00:00:00+01:00;23620
2019-03-20T01:00:00+01:00;69836
2019-03-20T02:00:00+01:00;37563
2019-03-20T03:00:00+01:00;685226
2019-03-20T04:00:00+01:00;239769
2019-03-20T05:00:00+01:00;67908
2019-03-20T06:00:00+01:00;197085
2019-03-20T07:00:00+01:00;60689
2019-03-20T08:00:00+01:00;99771
2019-03-20T09:00:00+01:00;107895
2019-03-20T10:00:00+01:00;215808
2019-03-20T11:00:00+01:00;70041
2019-03-20T12:00:00+01:00;89856
2019-03-20T13:00:00+01:00;119022
2019-03-20T14:00:00+01:00;221474
2019-03-20T15:00:00+01:00;86664
2019-03-20T16:00:00+01:00;80793
2019-03-20T17:00:00+01:00;97177
2019-03-20T18:00:00+01:00;188733
2019-03-20T19:00:00+01:00;70707
2019-03-20T20:00:00+01:00;31590
2019-03-20T21:00:00+01:00;68608
2019-03-20T22:00:00+01:00;50107
2019-03-20T23:00:00+01:00;37853
2019-03-21T00:00:00+01:00;26163
2019-03-21T01:00:00+01:00;55364
2019-03-21T02:00:00+01:00;50414
2019-03-21T03:00:00+01:00;39748
2019-03-21T04:00:00+01:00;941892
2019-03-21T05:00:00+01:00;63914
2019-03-21T06:00:00+01:00;228829
2019-03-21T07:00:00+01:00;71065
2019-03-21T08:00:00+01:00;94805
2019-03-21T09:00:00+01:00;106137
2019-03-21T10:00:00+01:00;244582
2019-03-21T11:00:00+01:00;96153
2019-03-21T12:00:00+01:00;85862
2019-03-21T13:00:00+01:00;105147
2019-03-21T14:00:00+01:00;226798
2019-03-21T15:00:00+01:00;100113
2019-03-21T16:00:00+01:00;78626
2019-03-21T17:00:00+01:00;82944
2019-03-21T18:00:00+01:00;203588
2019-03-21T19:00:00+01:00;81254
2019-03-21T20:00:00+01:00;29405
2019-03-21T21:00:00+01:00;54033
2019-03-21T22:00:00+01:00;56644
2019-03-21T23:00:00+01:00;42137
2019-03-22T00:00:00+01:00;25309
2019-03-22T01:00:00+01:00;45977
2019-03-22T02:00:00+01:00;44066
2019-03-22T03:00:00+01:00;41130
2019-03-22T04:00:00+01:00;23739
2019-03-22T05:00:00+01:00;500360
2019-03-22T06:00:00+01:00;195601
2019-03-22T07:00:00+01:00;85350
2019-03-22T08:00:00+01:00;89002
2019-03-22T09:00:00+01:00;102877
2019-03-22T10:00:00+01:00;209083
2019-03-22T11:00:00+01:00;97211
2019-03-22T12:00:00+01:00;95470
2019-03-22T13:00:00+01:00;93934
2019-03-22T14:00:00+01:00;232857
2019-03-22T15:00:00+01:00;87108
2019-03-22T16:00:00+01:00;69939
2019-03-22T17:00:00+01:00;76236
2019-03-22T18:00:00+01:00;204748
2019-03-22T19:00:00+01:00;76492
2019-03-22T20:00:00+01:00;29184
2019-03-22T21:00:00+01:00;49698
2019-03-22T22:00:00+01:00;118084
2019-03-22T23:00:00+01:00;74342
2019-03-23T00:00:00+01:00;35208
2019-03-23T01:00:00+01:00;38229
2019-03-23T02:00:00+01:00;86749
2019-03-23T03:00:00+01:00;79445
2019-03-23T04:00:00+01:00;627046
2019-03-23T05:00:00+01:00;40618
2019-03-23T06:00:00+01:00;82363
2019-03-23T07:00:00+01:00;92876
2019-03-23T08:00:00+01:00;503296
2019-03-23T09:00:00+01:00;47564
2019-03-23T10:00:00+01:00;84445
2019-03-23T11:00:00+01:00;79684
2019-03-23T12:00:00+01:00;31266
2019-03-23T13:00:00+01:00;46097
2019-03-23T14:00:00+01:00;86784
2019-03-23T15:00:00+01:00;76987
2019-03-23T16:00:00+01:00;26299
2019-03-23T17:00:00+01:00;41437
2019-03-23T18:00:00+01:00;70212
2019-03-23T19:00:00+01:00;97245
2019-03-23T20:00:00+01:00;28194
2019-03-23T21:00:00+01:00;47052
2019-03-23T22:00:00+01:00;88951
2019-03-23T23:00:00+01:00;98713
2019-03-24T00:00:00+01:00;184320
2019-03-24T01:00:00+01:00;35515
2019-03-24T02:00:00+01:00;72891
2019-03-24T03:00:00+01:00;134024
2019-03-24T04:00:00+01:00;68386
2019-03-24T05:00:00+01:00;33177
2019-03-24T06:00:00+01:00;66696
2019-03-24T07:00:00+01:00;709614
2019-03-24T08:00:00+01:00;55995
2019-03-24T09:00:00+01:00;37358
2019-03-24T10:00:00+01:00;60910
2019-03-24T11:00:00+01:00;74359
2019-03-24T12:00:00+01:00;52121
2019-03-24T13:00:00+01:00;34577
2019-03-24T14:00:00+01:00;67532
2019-03-24T15:00:00+01:00;84394
2019-03-24T16:00:00+01:00;57139
2019-03-24T17:00:00+01:00;41198
2019-03-24T18:00:00+01:00;51899
2019-03-24T19:00:00+01:00;94993
2019-03-24T20:00:00+01:00;52736
2019-03-24T21:00:00+01:00;48622
2019-03-24T22:00:00+01:00;39458
2019-03-24T23:00:00+01:00;74342
2019-03-25T00:00:00+01:00;52411
2019-03-25T01:00:00+01:00;48537
2019-03-25T02:00:00+01:00;51097
