"Time	CPU usage	ANB_read	ANB_write	AN_read	AN_write	Free_disk	B_rec	B_trans	P_rec	P_trans	Host_memory	Guest_memory	Com_storage"
"2019-03-03T18:00:00+01:00	2264250000	105779	1045521	1	35	2,48668E+11	95402	141875	17289	19511	17197205640	3091866146	4,93184E+11"
"2019-03-03T19:00:00+01:00	1975700000	22442	1082641	1	36	2,48668E+11	85111	99840	15855	17826	17198988219	2934317602	4,93184E+11"
"2019-03-03T20:00:00+01:00	2564433333	6877	953651	0	34	2,48668E+11	97024	112076	17687	20336	17199495031	3174895889	4,93184E+11"
"2019-03-03T21:00:00+01:00	2077500000	3003	1160925	0	38	2,48668E+11	83712	101717	15687	17680	17199792128	3017312392	4,93184E+11"
"2019-03-03T22:00:00+01:00	2232566666	3822	1062570	0	36	2,48668E+11	91955	111598	16963	19173	17199809604	2977291741	4,93184E+11"
"2019-03-03T23:00:00+01:00	2063700000	4659	1291639	0	42	2,48668E+11	87364	86818	14367	15588	17199792128	3043124838	4,93184E+11"
"2019-03-04T00:00:00+01:00	4213816666	22137651	15681075	235	216	2,26632E+11	103150	116992	17877	20009	17197957120	7684646502	4,93184E+11"
"2019-03-04T01:00:00+01:00	3067716666	451566	1483707	25	45	2,49053E+11	69632	83080	12839	14488	17197974596	4025273548	4,93185E+11"
"2019-03-04T02:00:00+01:00	2161483333	338397	1241582	9	38	2,49053E+11	86101	102144	15789	17797	17198131882	3621659170	4,93185E+11"
"2019-03-04T03:00:00+01:00	2404516666	322457	2261162	17	55	2,49005E+11	82739	98508	15162	17011	17200159129	4053847244	4,93185E+11"
"2019-03-04T04:00:00+01:00	5690016666	93559	1573051	5	65	2,48948E+11	199936	4294075	33081	74401	17200823227	3721850606	4,93185E+11"
"2019-03-04T05:00:00+01:00	1901666666	4676	1259281	0	42	2,48622E+11	67481	77721	12253	13677	17200840704	2879913984	4,93185E+11"
"2019-03-04T06:00:00+01:00	2605100000	33536	1008503	1	34	2,48622E+11	91443	110045	16569	18609	17198743552	3146217335	4,93185E+11"
"2019-03-04T07:00:00+01:00	2660483333	73540	745437	3	29	2,48622E+11	107332	127795	19082	21973	17198131882	3667289702	4,93185E+11"
