Time;Number of bytes received
2019-03-11T10:00:00+01:00;5169868
2019-03-11T11:00:00+01:00;4533862
2019-03-11T12:00:00+01:00;14069213
2019-03-11T13:00:00+01:00;20141943
2019-03-11T14:00:00+01:00;6305262
2019-03-11T15:00:00+01:00;5721122
2019-03-11T16:00:00+01:00;7648921
2019-03-11T17:00:00+01:00;6639325
2019-03-11T18:00:00+01:00;12558472
2019-03-11T19:00:00+01:00;21051784
2019-03-11T20:00:00+01:00;27863654
2019-03-11T21:00:00+01:00;33751091
2019-03-11T22:00:00+01:00;30551261
2019-03-11T23:00:00+01:00;21622169
2019-03-12T00:00:00+01:00;11570756
2019-03-12T01:00:00+01:00;9876736
2019-03-12T02:00:00+01:00;2456729
2019-03-12T03:00:00+01:00;1991432
2019-03-12T04:00:00+01:00;1971063
2019-03-12T05:00:00+01:00;1813930
2019-03-12T06:00:00+01:00;2266962
2019-03-12T07:00:00+01:00;6830353
2019-03-12T08:00:00+01:00;3536179
2019-03-12T09:00:00+01:00;4089538
2019-03-12T10:00:00+01:00;10017298
2019-03-12T11:00:00+01:00;8603323
2019-03-12T12:00:00+01:00;16177783
2019-03-12T13:00:00+01:00;19551573
2019-03-12T14:00:00+01:00;9104554
2019-03-12T15:00:00+01:00;6916403
2019-03-12T16:00:00+01:00;7729169
2019-03-12T17:00:00+01:00;7600509
2019-03-12T18:00:00+01:00;15841501
2019-03-12T19:00:00+01:00;23734038
2019-03-12T20:00:00+01:00;31493205
2019-03-12T21:00:00+01:00;35036160
2019-03-12T22:00:00+01:00;36260499
2019-03-12T23:00:00+01:00;25494715
2019-03-13T00:00:00+01:00;19824171
2019-03-13T01:00:00+01:00;8130679
2019-03-13T02:00:00+01:00;3110041
2019-03-13T03:00:00+01:00;2312792
2019-03-13T04:00:00+01:00;6522726
2019-03-13T05:00:00+01:00;2537403
2019-03-13T06:00:00+01:00;2046446
2019-03-13T07:00:00+01:00;10661782
2019-03-13T08:00:00+01:00;4132044
2019-03-13T09:00:00+01:00;3771784
2019-03-13T10:00:00+01:00;7817667
2019-03-13T11:00:00+01:00;6216669
2019-03-13T12:00:00+01:00;18069486
2019-03-13T13:00:00+01:00;23719212
2019-03-13T14:00:00+01:00;11259989
2019-03-13T15:00:00+01:00;10839287
2019-03-13T16:00:00+01:00;13925478
2019-03-13T17:00:00+01:00;16380494
2019-03-13T18:00:00+01:00;18077354
2019-03-13T19:00:00+01:00;21932243
2019-03-13T20:00:00+01:00;27617860
2019-03-13T21:00:00+01:00;28656940
2019-03-13T22:00:00+01:00;28906686
2019-03-13T23:00:00+01:00;18124629
2019-03-14T00:00:00+01:00;15893504
2019-03-14T01:00:00+01:00;6684495
2019-03-14T02:00:00+01:00;2490948
2019-03-14T03:00:00+01:00;4275268
2019-03-14T04:00:00+01:00;1837960
2019-03-14T05:00:00+01:00;1957393
2019-03-14T06:00:00+01:00;2943010
2019-03-14T07:00:00+01:00;4823688
2019-03-14T08:00:00+01:00;4897177
2019-03-14T09:00:00+01:00;4969842
2019-03-14T10:00:00+01:00;7134537
2019-03-14T11:00:00+01:00;5605188
2019-03-14T12:00:00+01:00;12303513
2019-03-14T13:00:00+01:00;21875404
2019-03-14T14:00:00+01:00;21545557
2019-03-14T15:00:00+01:00;19307673
2019-03-14T16:00:00+01:00;21130410
2019-03-14T17:00:00+01:00;25666201
2019-03-14T18:00:00+01:00;24929037
2019-03-14T19:00:00+01:00;30768998
2019-03-14T20:00:00+01:00;34849979
2019-03-14T21:00:00+01:00;37140616
2019-03-14T22:00:00+01:00;30399163
2019-03-14T23:00:00+01:00;21456844
2019-03-15T00:00:00+01:00;13037837
2019-03-15T01:00:00+01:00;8677427
2019-03-15T02:00:00+01:00;7476445
2019-03-15T03:00:00+01:00;4320358
2019-03-15T04:00:00+01:00;3245585
2019-03-15T05:00:00+01:00;2182338
2019-03-15T06:00:00+01:00;1604925
2019-03-15T07:00:00+01:00;6027332
2019-03-15T08:00:00+01:00;8946176
2019-03-15T09:00:00+01:00;10322380
2019-03-15T10:00:00+01:00;11517405
2019-03-15T11:00:00+01:00;12545348
2019-03-15T12:00:00+01:00;17774916
2019-03-15T13:00:00+01:00;21577591
2019-03-15T14:00:00+01:00;10965384
2019-03-15T15:00:00+01:00;8346180
2019-03-15T16:00:00+01:00;13530760
2019-03-15T17:00:00+01:00;19969353
2019-03-15T18:00:00+01:00;21387861
2019-03-15T19:00:00+01:00;18220544
2019-03-15T20:00:00+01:00;20144059
2019-03-15T21:00:00+01:00;27165849
2019-03-15T22:00:00+01:00;25984768
2019-03-15T23:00:00+01:00;23666653
2019-03-16T00:00:00+01:00;17993410
2019-03-16T01:00:00+01:00;11519197
2019-03-16T02:00:00+01:00;8572008
2019-03-16T03:00:00+01:00;9132612
2019-03-16T04:00:00+01:00;3928983
2019-03-16T05:00:00+01:00;2712490
