Time;Number of bytes transmitted
2019-03-19T21:00:00+01:00;26823833
2019-03-19T22:00:00+01:00;25735987
2019-03-19T23:00:00+01:00;16956398
2019-03-20T00:00:00+01:00;8584533
2019-03-20T01:00:00+01:00;21437184
2019-03-20T02:00:00+01:00;3387221
2019-03-20T03:00:00+01:00;4077394
2019-03-20T04:00:00+01:00;3553227
2019-03-20T05:00:00+01:00;1243938
2019-03-20T06:00:00+01:00;1351782
2019-03-20T07:00:00+01:00;14565376
2019-03-20T08:00:00+01:00;5578069
2019-03-20T09:00:00+01:00;6302122
2019-03-20T10:00:00+01:00;8885459
2019-03-20T11:00:00+01:00;5940514
2019-03-20T12:00:00+01:00;15224234
2019-03-20T13:00:00+01:00;21862041
2019-03-20T14:00:00+01:00;14291464
2019-03-20T15:00:00+01:00;12896034
2019-03-20T16:00:00+01:00;10620757
2019-03-20T17:00:00+01:00;11554508
2019-03-20T18:00:00+01:00;26804449
2019-03-20T19:00:00+01:00;26000742
2019-03-20T20:00:00+01:00;28622301
2019-03-20T21:00:00+01:00;27276953
2019-03-20T22:00:00+01:00;31489536
2019-03-20T23:00:00+01:00;25115938
2019-03-21T00:00:00+01:00;13439726
2019-03-21T01:00:00+01:00;26173252
2019-03-21T02:00:00+01:00;4227245
2019-03-21T03:00:00+01:00;4404700
2019-03-21T04:00:00+01:00;8391987
2019-03-21T05:00:00+01:00;2639308
2019-03-21T06:00:00+01:00;2288110
2019-03-21T07:00:00+01:00;15090948
2019-03-21T08:00:00+01:00;8036069
2019-03-21T09:00:00+01:00;9807360
2019-03-21T10:00:00+01:00;18739438
2019-03-21T11:00:00+01:00;12303291
2019-03-21T12:00:00+01:00;16121751
2019-03-21T13:00:00+01:00;20493499
2019-03-21T14:00:00+01:00;20149845
2019-03-21T15:00:00+01:00;17352686
2019-03-21T16:00:00+01:00;19759086
2019-03-21T17:00:00+01:00;20779008
2019-03-21T18:00:00+01:00;20853333
2019-03-21T19:00:00+01:00;24299144
2019-03-21T20:00:00+01:00;23611091
2019-03-21T21:00:00+01:00;24641262
2019-03-21T22:00:00+01:00;27633646
2019-03-21T23:00:00+01:00;20151466
2019-03-22T00:00:00+01:00;13660364
2019-03-22T01:00:00+01:00;31222323
2019-03-22T02:00:00+01:00;14380100
2019-03-22T03:00:00+01:00;16156620
2019-03-22T04:00:00+01:00;3335833
2019-03-22T05:00:00+01:00;2111488
2019-03-22T06:00:00+01:00;2804633
2019-03-22T07:00:00+01:00;18887270
2019-03-22T08:00:00+01:00;6508765
2019-03-22T09:00:00+01:00;4840857
2019-03-22T10:00:00+01:00;6434901
2019-03-22T11:00:00+01:00;7023810
2019-03-22T12:00:00+01:00;4380723
2019-03-22T13:00:00+01:00;14212113
2019-03-22T14:00:00+01:00;11063122
2019-03-22T15:00:00+01:00;8239018
2019-03-22T16:00:00+01:00;4884838
2019-03-22T17:00:00+01:00;7449139
2019-03-22T18:00:00+01:00;24398028
2019-03-22T19:00:00+01:00;30768025
2019-03-22T20:00:00+01:00;24146653
2019-03-22T21:00:00+01:00;26418193
2019-03-22T22:00:00+01:00;25981475
2019-03-22T23:00:00+01:00;22166632
2019-03-23T00:00:00+01:00;31889595
2019-03-23T01:00:00+01:00;34630570
2019-03-23T02:00:00+01:00;19749563
