Time	CPU usage
2019-03-05T15:00:00+01:00	16430900000
2019-03-05T16:00:00+01:00	15161716666
2019-03-05T17:00:00+01:00	14050366666
2019-03-05T18:00:00+01:00	15628833333
2019-03-05T19:00:00+01:00	18888816666
2019-03-05T20:00:00+01:00	19712150000
2019-03-05T21:00:00+01:00	19732000000
2019-03-05T22:00:00+01:00	20361400000
2019-03-05T23:00:00+01:00	17777483333
2019-03-06T00:00:00+01:00	13817516666
2019-03-06T01:00:00+01:00	13066583333
2019-03-06T02:00:00+01:00	13044300000
2019-03-06T03:00:00+01:00	13296283333
2019-03-06T04:00:00+01:00	12247050000
2019-03-06T05:00:00+01:00	11874966666
2019-03-06T06:00:00+01:00	13062250000
2019-03-06T07:00:00+01:00	13755733333
2019-03-06T08:00:00+01:00	16803466666
2019-03-06T09:00:00+01:00	18629316666
2019-03-06T10:00:00+01:00	21716483333
2019-03-06T11:00:00+01:00	18100883333
2019-03-06T12:00:00+01:00	15443183333
2019-03-06T13:00:00+01:00	19878883333
2019-03-06T14:00:00+01:00	16208150000
2019-03-06T15:00:00+01:00	16984866666
2019-03-06T16:00:00+01:00	17356300000
2019-03-06T17:00:00+01:00	17169600000
2019-03-06T18:00:00+01:00	15616466666
2019-03-06T19:00:00+01:00	19728400000
2019-03-06T20:00:00+01:00	21415333333
2019-03-06T21:00:00+01:00	21903666666
2019-03-06T22:00:00+01:00	21025283333
2019-03-06T23:00:00+01:00	17259800000
2019-03-07T00:00:00+01:00	14160450000
2019-03-07T01:00:00+01:00	13063366666
2019-03-07T02:00:00+01:00	11946450000
2019-03-07T03:00:00+01:00	13090916666
2019-03-07T04:00:00+01:00	13500066666
2019-03-07T05:00:00+01:00	11812900000
2019-03-07T06:00:00+01:00	11388450000
2019-03-07T07:00:00+01:00	13434750000
2019-03-07T08:00:00+01:00	16553433333
2019-03-07T09:00:00+01:00	16414066666
2019-03-07T10:00:00+01:00	18282400000
2019-03-07T11:00:00+01:00	18268266666
2019-03-07T12:00:00+01:00	15761716666
2019-03-07T13:00:00+01:00	18563116666
2019-03-07T14:00:00+01:00	20312450000
2019-03-07T15:00:00+01:00	21081983333
2019-03-07T16:00:00+01:00	20336466666
2019-03-07T17:00:00+01:00	19249116666
2019-03-07T18:00:00+01:00	18685200000
2019-03-07T19:00:00+01:00	20284766666
2019-03-07T20:00:00+01:00	20555483333
2019-03-07T21:00:00+01:00	20795750000
2019-03-07T22:00:00+01:00	19618566666
2019-03-07T23:00:00+01:00	18122683333
2019-03-08T00:00:00+01:00	13758700000
2019-03-08T01:00:00+01:00	14786016666
2019-03-08T02:00:00+01:00	12623166666
2019-03-08T03:00:00+01:00	11826833333
2019-03-08T04:00:00+01:00	11076433333
2019-03-08T05:00:00+01:00	11567550000
2019-03-08T06:00:00+01:00	11136933333
2019-03-08T07:00:00+01:00	13113416666
2019-03-08T08:00:00+01:00	14839133333
2019-03-08T09:00:00+01:00	11793066666
2019-03-08T10:00:00+01:00	15797516666
2019-03-08T11:00:00+01:00	15480883333
2019-03-08T12:00:00+01:00	15107216666
2019-03-08T13:00:00+01:00	15984466666
2019-03-08T14:00:00+01:00	14418650000
2019-03-08T15:00:00+01:00	15230600000
2019-03-08T16:00:00+01:00	14035966666
2019-03-08T17:00:00+01:00	13209100000
2019-03-08T18:00:00+01:00	14369700000
2019-03-08T19:00:00+01:00	15287383333
2019-03-08T20:00:00+01:00	15236800000
2019-03-08T21:00:00+01:00	14192466666
2019-03-08T22:00:00+01:00	14446150000
2019-03-08T23:00:00+01:00	14209233333
2019-03-09T00:00:00+01:00	13508700000
2019-03-09T01:00:00+01:00	12772933333
2019-03-09T02:00:00+01:00	11625533333
2019-03-09T03:00:00+01:00	10355150000
2019-03-09T04:00:00+01:00	10264566666
2019-03-09T05:00:00+01:00	9525016666
2019-03-09T06:00:00+01:00	8531666666
2019-03-09T07:00:00+01:00	8154283333
2019-03-09T08:00:00+01:00	9545383333
2019-03-09T09:00:00+01:00	13201900000
2019-03-09T10:00:00+01:00	15450366666
2019-03-09T11:00:00+01:00	14805150000
2019-03-09T12:00:00+01:00	14764416666
2019-03-09T13:00:00+01:00	15926083333
2019-03-09T14:00:00+01:00	15291666666
2019-03-09T15:00:00+01:00	15813266666
2019-03-09T16:00:00+01:00	15771350000
2019-03-09T17:00:00+01:00	15619683333
2019-03-09T18:00:00+01:00	15167916666
2019-03-09T19:00:00+01:00	16098400000
2019-03-09T20:00:00+01:00	15335133333
2019-03-09T21:00:00+01:00	15379400000
2019-03-09T22:00:00+01:00	16492383333
2019-03-09T23:00:00+01:00	14639200000
2019-03-10T00:00:00+01:00	13924733333
2019-03-10T01:00:00+01:00	11842816666
2019-03-10T02:00:00+01:00	11421516666
2019-03-10T03:00:00+01:00	9998916666
2019-03-10T04:00:00+01:00	10105883333
2019-03-10T05:00:00+01:00	10669366666
2019-03-10T06:00:00+01:00	10321916666
2019-03-10T07:00:00+01:00	10025066666
2019-03-10T08:00:00+01:00	10882766666
2019-03-10T09:00:00+01:00	13112783333
2019-03-10T10:00:00+01:00	15550466666
2019-03-10T11:00:00+01:00	16545783333
2019-03-10T12:00:00+01:00	16312666666
2019-03-10T13:00:00+01:00	17014366666
2019-03-10T14:00:00+01:00	16931100000
2019-03-10T15:00:00+01:00	17349450000
2019-03-10T16:00:00+01:00	16868400000
2019-03-10T17:00:00+01:00	16737533333
2019-03-10T18:00:00+01:00	15956966666
2019-03-10T19:00:00+01:00	15115683333
2019-03-10T20:00:00+01:00	15734683333
2019-03-10T21:00:00+01:00	17701550000
2019-03-10T22:00:00+01:00	18644650000
2019-03-10T23:00:00+01:00	14688616666
2019-03-11T00:00:00+01:00	10590716666
2019-03-11T01:00:00+01:00	10937266666
2019-03-11T02:00:00+01:00	10829383333
2019-03-11T03:00:00+01:00	11407583333
2019-03-11T04:00:00+01:00	9954233333
2019-03-11T05:00:00+01:00	10613216666
2019-03-11T06:00:00+01:00	9941466666
2019-03-11T07:00:00+01:00	12862483333
2019-03-11T08:00:00+01:00	12675833333
2019-03-11T09:00:00+01:00	14121066666
2019-03-11T10:00:00+01:00	13809700000
2019-03-11T11:00:00+01:00	13464683333
2019-03-11T12:00:00+01:00	14348616666
2019-03-11T13:00:00+01:00	17659933333
2019-03-11T14:00:00+01:00	16069733333
2019-03-11T15:00:00+01:00	15651516666
2019-03-11T16:00:00+01:00	15498383333
2019-03-11T17:00:00+01:00	13150716666
2019-03-11T18:00:00+01:00	14498166666
2019-03-11T19:00:00+01:00	16053800000
2019-03-11T20:00:00+01:00	17606950000
2019-03-11T21:00:00+01:00	16662700000
2019-03-11T22:00:00+01:00	15971666666
2019-03-11T23:00:00+01:00	15906466666
2019-03-12T00:00:00+01:00	11668833333
2019-03-12T01:00:00+01:00	12253066666
2019-03-12T02:00:00+01:00	10070016666
2019-03-12T03:00:00+01:00	12095931034
2019-03-12T04:00:00+01:00	10356616666
2019-03-12T05:00:00+01:00	9385066666
2019-03-12T06:00:00+01:00	10344283333
2019-03-12T07:00:00+01:00	12321983333
2019-03-12T08:00:00+01:00	11826216666
2019-03-12T09:00:00+01:00	11934650000
2019-03-12T10:00:00+01:00	14079150000
2019-03-12T11:00:00+01:00	13531350000
2019-03-12T12:00:00+01:00	13008450000
2019-03-12T13:00:00+01:00	16180250000
2019-03-12T14:00:00+01:00	15856650000
2019-03-12T15:00:00+01:00	14904800000
2019-03-12T16:00:00+01:00	14357400000
2019-03-12T17:00:00+01:00	16004383333
2019-03-12T18:00:00+01:00	16253883333
2019-03-12T19:00:00+01:00	16942333333
2019-03-12T20:00:00+01:00	18125150000
2019-03-12T21:00:00+01:00	19235916666
2019-03-12T22:00:00+01:00	18512100000
2019-03-12T23:00:00+01:00	16757416666
2019-03-13T00:00:00+01:00	15213383333
2019-03-13T01:00:00+01:00	14183100000
2019-03-13T02:00:00+01:00	13305066666
2019-03-13T03:00:00+01:00	13055383333
2019-03-13T04:00:00+01:00	12843016666
2019-03-13T05:00:00+01:00	12892650000
2019-03-13T06:00:00+01:00	12665366666
2019-03-13T07:00:00+01:00	14209583333
2019-03-13T08:00:00+01:00	14372200000
2019-03-13T09:00:00+01:00	15459650000
2019-03-13T10:00:00+01:00	13539550000
2019-03-13T11:00:00+01:00	14386983333
2019-03-13T12:00:00+01:00	16555583333
2019-03-13T13:00:00+01:00	17711416666
2019-03-13T14:00:00+01:00	15082366666
2019-03-13T15:00:00+01:00	15016550000
2019-03-13T16:00:00+01:00	14407700000
2019-03-13T17:00:00+01:00	14497683333
2019-03-13T18:00:00+01:00	19807250000
2019-03-13T19:00:00+01:00	20850766666
2019-03-13T20:00:00+01:00	17825950000
2019-03-13T21:00:00+01:00	18696200000
2019-03-13T22:00:00+01:00	16407833333
2019-03-13T23:00:00+01:00	15224900000
2019-03-14T00:00:00+01:00	13103900000
2019-03-14T01:00:00+01:00	12777383333
2019-03-14T02:00:00+01:00	12252883333
2019-03-14T03:00:00+01:00	12903333333
2019-03-14T04:00:00+01:00	12093783333
2019-03-14T05:00:00+01:00	10513050000
2019-03-14T06:00:00+01:00	11092783333
2019-03-14T07:00:00+01:00	12866366666
2019-03-14T08:00:00+01:00	14914166666
2019-03-14T09:00:00+01:00	15437633333
2019-03-14T10:00:00+01:00	14872933333
2019-03-14T11:00:00+01:00	14718166666
2019-03-14T12:00:00+01:00	16311466666
2019-03-14T13:00:00+01:00	18131350000
2019-03-14T14:00:00+01:00	18089216666
2019-03-14T15:00:00+01:00	15901566666
2019-03-14T16:00:00+01:00	17907766666
2019-03-14T17:00:00+01:00	19193083333
2019-03-14T18:00:00+01:00	20891783333
2019-03-14T19:00:00+01:00	19788750000
2019-03-14T20:00:00+01:00	19283350000
2019-03-14T21:00:00+01:00	19414300000
2019-03-14T22:00:00+01:00	16372166666
2019-03-14T23:00:00+01:00	17110416666
2019-03-15T00:00:00+01:00	16815083333
2019-03-15T01:00:00+01:00	16114600000
2019-03-15T02:00:00+01:00	16026150000
2019-03-15T03:00:00+01:00	16312100000
2019-03-15T04:00:00+01:00	15732800000
2019-03-15T05:00:00+01:00	14758316666
2019-03-15T06:00:00+01:00	14363083333
2019-03-15T07:00:00+01:00	15635483333
2019-03-15T08:00:00+01:00	17020333333
2019-03-15T09:00:00+01:00	18271416666
2019-03-15T10:00:00+01:00	18181050000
2019-03-15T11:00:00+01:00	18650183333
2019-03-15T12:00:00+01:00	17748566666
2019-03-15T13:00:00+01:00	19467533333
2019-03-15T14:00:00+01:00	17818500000
2019-03-15T15:00:00+01:00	16604783333
2019-03-15T16:00:00+01:00	17259750000
2019-03-15T17:00:00+01:00	18819600000
2019-03-15T18:00:00+01:00	19490950000
2019-03-15T19:00:00+01:00	18457200000
2019-03-15T20:00:00+01:00	19048183333
2019-03-15T21:00:00+01:00	19009433333
2019-03-15T22:00:00+01:00	18650366666
2019-03-15T23:00:00+01:00	19031400000
2019-03-16T00:00:00+01:00	17077466666
2019-03-16T01:00:00+01:00	16035566666
2019-03-16T02:00:00+01:00	14908716666
2019-03-16T03:00:00+01:00	15394666666
2019-03-16T04:00:00+01:00	14030183333
2019-03-16T05:00:00+01:00	12075083333
2019-03-16T06:00:00+01:00	13147300000
2019-03-16T07:00:00+01:00	14017850000
2019-03-16T08:00:00+01:00	15759083333
2019-03-16T09:00:00+01:00	14895916666
2019-03-16T10:00:00+01:00	17272783333
2019-03-16T11:00:00+01:00	18919100000
2019-03-16T12:00:00+01:00	19354366666
