Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-01-05T12:00:00+01:00;12842666666;2,38E+11;1093137;722670;9;7
2019-01-05T13:00:00+01:00;12434650000;2,38E+11;1305019;986675;7;2
2019-01-05T14:00:00+01:00;12650850000;2,38E+11;1369035;1438060;10;21
2019-01-05T15:00:00+01:00;12497683333;2,38E+11;1223509;969301;8;5
2019-01-05T16:00:00+01:00;12973916666;2,38E+11;1355281;1256755;13;3
2019-01-05T17:00:00+01:00;10653333333;2,38E+11;1581721;1594538;7;3
2019-01-05T18:00:00+01:00;10796316666;2,38E+11;1568068;1902813;8;7
2019-01-05T19:00:00+01:00;10680433333;2,39E+11;5805824;5084074;11;4
2019-01-05T20:00:00+01:00;13513283333;2,41E+11;13399517;22425924;8;2
2019-01-05T21:00:00+01:00;12485383333;2,38E+11;3574254;5528012;7;3
2019-01-05T22:00:00+01:00;12249033333;2,38E+11;1224226;1031338;9;8
2019-01-05T23:00:00+01:00;11566283333;2,38E+11;1490056;3769173;9;6
2019-01-06T00:00:00+01:00;11370583333;2,38E+11;1233766;994764;11;7
2019-01-06T01:00:00+01:00;11315700000;2,38E+11;1260544;21184580;11;15
2019-01-06T02:00:00+01:00;8515383333;2,38E+11;2976443;596309;11;17
2019-01-06T03:00:00+01:00;7306783333;2,52E+11;5094816;662718;7;9
2019-01-06T04:00:00+01:00;7846066666;2,51E+11;948814;573197;12;45
2019-01-06T05:00:00+01:00;6845850000;2,44E+11;867874;1604437;5;4
2019-01-06T06:00:00+01:00;7888200000;2,42E+11;747953;479127;8;9
2019-01-06T07:00:00+01:00;7330550000;2,42E+11;904038;602982;7;2
2019-01-06T08:00:00+01:00;8353433333;2,42E+11;841710;693623;6;1
2019-01-06T09:00:00+01:00;9499383333;2,42E+11;954282;714769;9;8
2019-01-06T10:00:00+01:00;9016500000;2,42E+11;1456366;4486348;10;1
2019-01-06T11:00:00+01:00;9960400000;2,31E+11;1186781;4247995;8;8
2019-01-06T12:00:00+01:00;11553533333;2,29E+11;1374884;2123185;7;4
2019-01-06T13:00:00+01:00;11191716666;2,29E+11;1548629;1332736;7;1
2019-01-06T14:00:00+01:00;11284000000;2,29E+11;1552605;1318997;10;13
2019-01-06T15:00:00+01:00;10574450000;2,29E+11;1545523;1220352;7;13
2019-01-06T16:00:00+01:00;11445716666;2,29E+11;1588036;1471129;11;7
2019-01-06T17:00:00+01:00;10887083333;2,29E+11;5631539;5327206;10;5
2019-01-06T18:00:00+01:00;11543650000;2,29E+11;1497088;1272371;8;5
2019-01-06T19:00:00+01:00;10469366666;2,30E+11;6674432;6570376;17;2
2019-01-06T20:00:00+01:00;10077550000;2,32E+11;1929454;11119104;8;2
2019-01-06T21:00:00+01:00;9789666666;2,34E+11;3262839;5310617;10;6
2019-01-06T22:00:00+01:00;12299683333;2,34E+11;1351458;1207415;10;4
2019-01-06T23:00:00+01:00;10155733333;2,34E+11;1185638;4550075;11;4
2019-01-07T00:00:00+01:00;9624583333;2,34E+11;1154338;1110698;10;7
