Time;Number of bytes transmitted on interface Network adapter 1
2019-03-21T09:00:00+01:00;2480657
2019-03-21T10:00:00+01:00;462848
2019-03-21T11:00:00+01:00;1339613
2019-03-21T12:00:00+01:00;552925
2019-03-21T13:00:00+01:00;1025092
2019-03-21T14:00:00+01:00;462080
2019-03-21T15:00:00+01:00;403114
2019-03-21T16:00:00+01:00;2195814
2019-03-21T17:00:00+01:00;1450683
2019-03-21T18:00:00+01:00;353928
2019-03-21T19:00:00+01:00;251528
2019-03-21T20:00:00+01:00;707208
2019-03-21T21:00:00+01:00;446822
2019-03-21T22:00:00+01:00;494557
2019-03-21T23:00:00+01:00;243063
2019-03-22T00:00:00+01:00;78592
2019-03-22T01:00:00+01:00;70792
2019-03-22T02:00:00+01:00;29132
2019-03-22T03:00:00+01:00;69239
2019-03-22T04:00:00+01:00;49800
2019-03-22T05:00:00+01:00;73762
2019-03-22T06:00:00+01:00;99037
2019-03-22T07:00:00+01:00;2022860
2019-03-22T08:00:00+01:00;1519155
2019-03-22T09:00:00+01:00;393796
2019-03-22T10:00:00+01:00;1290410
2019-03-22T11:00:00+01:00;344251
2019-03-22T12:00:00+01:00;613734
2019-03-22T13:00:00+01:00;696661
2019-03-22T14:00:00+01:00;1121996
2019-03-22T15:00:00+01:00;960546
2019-03-22T16:00:00+01:00;1516032
2019-03-22T17:00:00+01:00;1919129
2019-03-22T18:00:00+01:00;187801
2019-03-22T19:00:00+01:00;752588
2019-03-22T20:00:00+01:00;189457
2019-03-22T21:00:00+01:00;116224
2019-03-22T22:00:00+01:00;96324
2019-03-22T23:00:00+01:00;184541
2019-03-23T00:00:00+01:00;57002
2019-03-23T01:00:00+01:00;44117
2019-03-23T02:00:00+01:00;78609
2019-03-23T03:00:00+01:00;13860147
2019-03-23T04:00:00+01:00;7189367
2019-03-23T05:00:00+01:00;9757815
2019-03-23T06:00:00+01:00;1340723
2019-03-23T07:00:00+01:00;5150173
2019-03-23T08:00:00+01:00;3389457
2019-03-23T09:00:00+01:00;5087044
2019-03-23T10:00:00+01:00;8330376
2019-03-23T11:00:00+01:00;2972945
2019-03-23T12:00:00+01:00;4623564
2019-03-23T13:00:00+01:00;9145395
2019-03-23T14:00:00+01:00;2839517
2019-03-23T15:00:00+01:00;20884667
2019-03-23T16:00:00+01:00;4248627
2019-03-23T17:00:00+01:00;5199889
2019-03-23T18:00:00+01:00;10670404
2019-03-23T19:00:00+01:00;11039982
2019-03-23T20:00:00+01:00;10146440
2019-03-23T21:00:00+01:00;6824669
2019-03-23T22:00:00+01:00;12136618
2019-03-23T23:00:00+01:00;85077
2019-03-24T00:00:00+01:00;149725
2019-03-24T01:00:00+01:00;56422
2019-03-24T02:00:00+01:00;59801
2019-03-24T03:00:00+01:00;119876
2019-03-24T04:00:00+01:00;32699
2019-03-24T05:00:00+01:00;75639
2019-03-24T06:00:00+01:00;22749
2019-03-24T07:00:00+01:00;629401
2019-03-24T08:00:00+01:00;109260
2019-03-24T09:00:00+01:00;180258
2019-03-24T10:00:00+01:00;891630
2019-03-24T11:00:00+01:00;995293
2019-03-24T12:00:00+01:00;1002752
2019-03-24T13:00:00+01:00;558848
2019-03-24T14:00:00+01:00;296038
2019-03-24T15:00:00+01:00;1137373
2019-03-24T16:00:00+01:00;1068885
2019-03-24T17:00:00+01:00;1914026
2019-03-24T18:00:00+01:00;544904
2019-03-24T19:00:00+01:00;543317
2019-03-24T20:00:00+01:00;587161
2019-03-24T21:00:00+01:00;588100
2019-03-24T22:00:00+01:00;993433
2019-03-24T23:00:00+01:00;267793
2019-03-25T00:00:00+01:00;288102
2019-03-25T01:00:00+01:00;57275
2019-03-25T02:00:00+01:00;1002786
2019-03-25T03:00:00+01:00;46899
2019-03-25T04:00:00+01:00;39611
2019-03-25T05:00:00+01:00;34491
2019-03-25T06:00:00+01:00;75707
2019-03-25T07:00:00+01:00;136413
2019-03-25T08:00:00+01:00;482150
2019-03-25T09:00:00+01:00;436497
2019-03-25T10:00:00+01:00;1134540
2019-03-25T11:00:00+01:00;3239150
2019-03-25T12:00:00+01:00;892108
2019-03-25T13:00:00+01:00;937454
2019-03-25T14:00:00+01:00;1427729
2019-03-25T15:00:00+01:00;1411054
2019-03-25T16:00:00+01:00;602828
2019-03-25T17:00:00+01:00;408814
2019-03-25T18:00:00+01:00;1593224
2019-03-25T19:00:00+01:00;673723
2019-03-25T20:00:00+01:00;550673
2019-03-25T21:00:00+01:00;863249
2019-03-25T22:00:00+01:00;563029
2019-03-25T23:00:00+01:00;1098990
2019-03-26T00:00:00+01:00;64785
2019-03-26T01:00:00+01:00;1730150
2019-03-26T02:00:00+01:00;41113
2019-03-26T03:00:00+01:00;26453
2019-03-26T04:00:00+01:00;27972
2019-03-26T05:00:00+01:00;39645
2019-03-26T06:00:00+01:00;54084
2019-03-26T07:00:00+01:00;87961
2019-03-26T08:00:00+01:00;620731
2019-03-26T09:00:00+01:00;1256652
2019-03-26T10:00:00+01:00;1022617
2019-03-26T11:00:00+01:00;2144221
