Time;Number of packets received on interface Network adapter 1
2019-03-10T07:00:00+01:00;1846
2019-03-10T08:00:00+01:00;2180
2019-03-10T09:00:00+01:00;4362
2019-03-10T10:00:00+01:00;9037
2019-03-10T11:00:00+01:00;9486
2019-03-10T12:00:00+01:00;10726
2019-03-10T13:00:00+01:00;8129
2019-03-10T14:00:00+01:00;15983
2019-03-10T15:00:00+01:00;15038
2019-03-10T16:00:00+01:00;15410
2019-03-10T17:00:00+01:00;19711
2019-03-10T18:00:00+01:00;11299
2019-03-10T19:00:00+01:00;11972
2019-03-10T20:00:00+01:00;15978
2019-03-10T21:00:00+01:00;18869
2019-03-10T22:00:00+01:00;13891
2019-03-10T23:00:00+01:00;9770
2019-03-11T00:00:00+01:00;4969
2019-03-11T01:00:00+01:00;2117
2019-03-11T02:00:00+01:00;1167
2019-03-11T03:00:00+01:00;2411
2019-03-11T04:00:00+01:00;1891
2019-03-11T05:00:00+01:00;2630
2019-03-11T06:00:00+01:00;3010
2019-03-11T07:00:00+01:00;4386
2019-03-11T08:00:00+01:00;11664
2019-03-11T09:00:00+01:00;10726
2019-03-11T10:00:00+01:00;10338
2019-03-11T11:00:00+01:00;7919
2019-03-11T12:00:00+01:00;7792
2019-03-11T13:00:00+01:00;10011
2019-03-11T14:00:00+01:00;15503
2019-03-11T15:00:00+01:00;10823
2019-03-11T16:00:00+01:00;9816
2019-03-11T17:00:00+01:00;8177
2019-03-11T18:00:00+01:00;6435
2019-03-11T19:00:00+01:00;7910
2019-03-11T20:00:00+01:00;9724
2019-03-11T21:00:00+01:00;9574
2019-03-11T22:00:00+01:00;8173
2019-03-11T23:00:00+01:00;6068
2019-03-12T00:00:00+01:00;3198
2019-03-12T01:00:00+01:00;2156
2019-03-12T02:00:00+01:00;2689
2019-03-12T03:00:00+01:00;3072
2019-03-12T04:00:00+01:00;2702
2019-03-12T05:00:00+01:00;3230
2019-03-12T06:00:00+01:00;2584
2019-03-12T07:00:00+01:00;5340
2019-03-12T08:00:00+01:00;10949
2019-03-12T09:00:00+01:00;9895
2019-03-12T10:00:00+01:00;8187
2019-03-12T11:00:00+01:00;8161
2019-03-12T12:00:00+01:00;6382
2019-03-12T13:00:00+01:00;10014
2019-03-12T14:00:00+01:00;15717
2019-03-12T15:00:00+01:00;8479
2019-03-12T16:00:00+01:00;10616
2019-03-12T17:00:00+01:00;8174
2019-03-12T18:00:00+01:00;7462
2019-03-12T19:00:00+01:00;8224
2019-03-12T20:00:00+01:00;7223
2019-03-12T21:00:00+01:00;9144
2019-03-12T22:00:00+01:00;7046
2019-03-12T23:00:00+01:00;5430
2019-03-13T00:00:00+01:00;2923
2019-03-13T01:00:00+01:00;2191
2019-03-13T02:00:00+01:00;808
2019-03-13T03:00:00+01:00;2116
2019-03-13T04:00:00+01:00;1350
2019-03-13T05:00:00+01:00;1390
2019-03-13T06:00:00+01:00;2080
2019-03-13T07:00:00+01:00;5074
2019-03-13T08:00:00+01:00;11446
2019-03-13T09:00:00+01:00;8117
2019-03-13T10:00:00+01:00;8198
2019-03-13T11:00:00+01:00;7292
2019-03-13T12:00:00+01:00;4681
2019-03-13T13:00:00+01:00;9337
2019-03-13T14:00:00+01:00;10927
2019-03-13T15:00:00+01:00;9289
2019-03-13T16:00:00+01:00;8443
2019-03-13T17:00:00+01:00;9850
2019-03-13T18:00:00+01:00;7366
2019-03-13T19:00:00+01:00;7216
2019-03-13T20:00:00+01:00;9386
2019-03-13T21:00:00+01:00;9671
2019-03-13T22:00:00+01:00;5135
2019-03-13T23:00:00+01:00;4387
2019-03-14T00:00:00+01:00;2318
2019-03-14T01:00:00+01:00;1872
2019-03-14T02:00:00+01:00;1870
2019-03-14T03:00:00+01:00;2304
2019-03-14T04:00:00+01:00;3381
2019-03-14T05:00:00+01:00;1376
2019-03-14T06:00:00+01:00;2336
2019-03-14T07:00:00+01:00;2704
2019-03-14T08:00:00+01:00;8889
2019-03-14T09:00:00+01:00;5543
2019-03-14T10:00:00+01:00;7321
2019-03-14T11:00:00+01:00;4857
2019-03-14T12:00:00+01:00;6542
2019-03-14T13:00:00+01:00;7443
2019-03-14T14:00:00+01:00;10435
2019-03-14T15:00:00+01:00;13361
2019-03-14T16:00:00+01:00;13387
2019-03-14T17:00:00+01:00;14603
2019-03-14T18:00:00+01:00;8386
2019-03-14T19:00:00+01:00;8393
2019-03-14T20:00:00+01:00;8156
2019-03-14T21:00:00+01:00;8318
2019-03-14T22:00:00+01:00;8275
2019-03-14T23:00:00+01:00;4239
2019-03-15T00:00:00+01:00;2027
2019-03-15T01:00:00+01:00;3360
2019-03-15T02:00:00+01:00;1601
2019-03-15T03:00:00+01:00;2260
2019-03-15T04:00:00+01:00;2545
2019-03-15T05:00:00+01:00;2256
2019-03-15T06:00:00+01:00;2222
2019-03-15T07:00:00+01:00;3467
2019-03-15T08:00:00+01:00;9006
2019-03-15T09:00:00+01:00;6645
2019-03-15T10:00:00+01:00;8293
2019-03-15T11:00:00+01:00;7963
2019-03-15T12:00:00+01:00;3823
2019-03-15T13:00:00+01:00;9638
2019-03-15T14:00:00+01:00;8593
2019-03-15T15:00:00+01:00;7804
2019-03-15T16:00:00+01:00;9356
2019-03-15T17:00:00+01:00;6057
2019-03-15T18:00:00+01:00;6694
2019-03-15T19:00:00+01:00;5614
2019-03-15T20:00:00+01:00;6501
2019-03-15T21:00:00+01:00;6260
2019-03-15T22:00:00+01:00;4645
2019-03-15T23:00:00+01:00;4033
2019-03-16T00:00:00+01:00;2173
2019-03-16T01:00:00+01:00;1555
2019-03-16T02:00:00+01:00;1421
2019-03-16T03:00:00+01:00;147418
2019-03-16T04:00:00+01:00;130787
2019-03-16T05:00:00+01:00;150734
2019-03-16T06:00:00+01:00;44767
2019-03-16T07:00:00+01:00;61564
2019-03-16T08:00:00+01:00;53329
2019-03-16T09:00:00+01:00;47882
2019-03-16T10:00:00+01:00;83933
2019-03-16T11:00:00+01:00;38898
2019-03-16T12:00:00+01:00;101498
2019-03-16T13:00:00+01:00;93248
2019-03-16T14:00:00+01:00;89624
2019-03-16T15:00:00+01:00;151728
2019-03-16T16:00:00+01:00;88227
2019-03-16T17:00:00+01:00;88006
2019-03-16T18:00:00+01:00;109027
2019-03-16T19:00:00+01:00;92960
2019-03-16T20:00:00+01:00;4387
2019-03-16T21:00:00+01:00;4594
2019-03-16T22:00:00+01:00;4552
2019-03-16T23:00:00+01:00;3711
2019-03-17T00:00:00+01:00;2387
2019-03-17T01:00:00+01:00;1240
2019-03-17T02:00:00+01:00;1697
2019-03-17T03:00:00+01:00;1450
2019-03-17T04:00:00+01:00;1993
2019-03-17T05:00:00+01:00;3651
2019-03-17T06:00:00+01:00;1461
2019-03-17T07:00:00+01:00;3231
2019-03-17T08:00:00+01:00;2906
2019-03-17T09:00:00+01:00;4339
2019-03-17T10:00:00+01:00;8420
2019-03-17T11:00:00+01:00;8357
2019-03-17T12:00:00+01:00;8773
2019-03-17T13:00:00+01:00;6629
2019-03-17T14:00:00+01:00;8936
2019-03-17T15:00:00+01:00;12249
2019-03-17T16:00:00+01:00;12005
2019-03-17T17:00:00+01:00;10278
2019-03-17T18:00:00+01:00;11017
2019-03-17T19:00:00+01:00;8237
2019-03-17T20:00:00+01:00;11881
2019-03-17T21:00:00+01:00;11576
2019-03-17T22:00:00+01:00;11900
2019-03-17T23:00:00+01:00;9290
2019-03-18T00:00:00+01:00;3739
2019-03-18T01:00:00+01:00;1161
2019-03-18T02:00:00+01:00;2251
