Time;Host memory usage
2019-03-04T23:00:00+01:00;17171445623
2019-03-05T00:00:00+01:00;17171480576
2019-03-05T01:00:00+01:00;17171480576
2019-03-05T02:00:00+01:00;17171445623
2019-03-05T03:00:00+01:00;17171444418
2019-03-05T04:00:00+01:00;17171480576
2019-03-05T05:00:00+01:00;17171480576
2019-03-05T06:00:00+01:00;17172668962
2019-03-05T07:00:00+01:00;17173577728
2019-03-05T08:00:00+01:00;17174311731
2019-03-05T09:00:00+01:00;17174329207
2019-03-05T10:00:00+01:00;17172546628
2019-03-05T11:00:00+01:00;17170432000
2019-03-05T12:00:00+01:00;17170973764
2019-03-05T13:00:00+01:00;17172074769
2019-03-05T14:00:00+01:00;17172389341
2019-03-05T15:00:00+01:00;17172459246
2019-03-05T16:00:00+01:00;17172284484
2019-03-05T17:00:00+01:00;17172476723
2019-03-05T18:00:00+01:00;17172651485
2019-03-05T19:00:00+01:00;17173315584
2019-03-05T20:00:00+01:00;17173402965
2019-03-05T21:00:00+01:00;17172354389
2019-03-05T22:00:00+01:00;17172791296
2019-03-05T23:00:00+01:00;17173350536
2019-03-06T00:00:00+01:00;17172738867
2019-03-06T01:00:00+01:00;17172843724
2019-03-06T02:00:00+01:00;17172494199
2019-03-06T03:00:00+01:00;17172529152
2019-03-06T04:00:00+01:00;17172529152
2019-03-06T05:00:00+01:00;17172529152
2019-03-06T06:00:00+01:00;17173682585
2019-03-06T07:00:00+01:00;17174626304
2019-03-06T08:00:00+01:00;17175255449
2019-03-06T09:00:00+01:00;17175570022
2019-03-06T10:00:00+01:00;17174713685
2019-03-06T11:00:00+01:00;17173892300
2019-03-06T12:00:00+01:00;17172529152
2019-03-06T13:00:00+01:00;17172529152
2019-03-06T14:00:00+01:00;17172511675
2019-03-06T15:00:00+01:00;17172494199
2019-03-06T16:00:00+01:00;17172336913
2019-03-06T17:00:00+01:00;17172529152
2019-03-06T18:00:00+01:00;17172476723
2019-03-06T19:00:00+01:00;17172546628
2019-03-06T20:00:00+01:00;17172843724
2019-03-06T21:00:00+01:00;17172511675
2019-03-06T22:00:00+01:00;17172564104
2019-03-06T23:00:00+01:00;17173105868
2019-03-07T00:00:00+01:00;17172529152
2019-03-07T01:00:00+01:00;17172511675
2019-03-07T02:00:00+01:00;17171480576
2019-03-07T03:00:00+01:00;17172249531
2019-03-07T04:00:00+01:00;17172301960
2019-03-07T05:00:00+01:00;17172529152
2019-03-07T06:00:00+01:00;17173717538
2019-03-07T07:00:00+01:00;17174626304
2019-03-07T08:00:00+01:00;17175535069
2019-03-07T09:00:00+01:00;17175203020
2019-03-07T10:00:00+01:00;17175290402
2019-03-07T11:00:00+01:00;17173053440
2019-03-07T12:00:00+01:00;17171375718
2019-03-07T13:00:00+01:00;17171270860
2019-03-07T14:00:00+01:00;17172057292
2019-03-07T15:00:00+01:00;17172529152
2019-03-07T16:00:00+01:00;17172529152
2019-03-07T17:00:00+01:00;17172529152
2019-03-07T18:00:00+01:00;17172092245
2019-03-07T19:00:00+01:00;17170064998
2019-03-07T20:00:00+01:00;17171480576
2019-03-07T21:00:00+01:00;17172529152
2019-03-07T22:00:00+01:00;17172529152
2019-03-07T23:00:00+01:00;17172529152
2019-03-08T00:00:00+01:00;17172546628
2019-03-08T01:00:00+01:00;17172459246
2019-03-08T02:00:00+01:00;17172616533
2019-03-08T03:00:00+01:00;17172651485
2019-03-08T04:00:00+01:00;17171498052
2019-03-08T05:00:00+01:00;17171533004
2019-03-08T06:00:00+01:00;17173088392
2019-03-08T07:00:00+01:00;17174591351
2019-03-08T08:00:00+01:00;17174626304
2019-03-08T09:00:00+01:00;17175307878
2019-03-08T10:00:00+01:00;17175639927
2019-03-08T11:00:00+01:00;17173368012
2019-03-08T12:00:00+01:00;17173490346
2019-03-08T13:00:00+01:00;17173210726
2019-03-08T14:00:00+01:00;17173577728
2019-03-08T15:00:00+01:00;17173175773
2019-03-08T16:00:00+01:00;17173577728
2019-03-08T17:00:00+01:00;17172599057
2019-03-08T18:00:00+01:00;17173577728
2019-03-08T19:00:00+01:00;17172616533
2019-03-08T20:00:00+01:00;17173577728
2019-03-08T21:00:00+01:00;17172494199
2019-03-08T22:00:00+01:00;17173420441
2019-03-08T23:00:00+01:00;17172529152
2019-03-09T00:00:00+01:00;17172529152
2019-03-09T01:00:00+01:00;17172529152
2019-03-09T02:00:00+01:00;17172564104
2019-03-09T03:00:00+01:00;17172389341
2019-03-09T04:00:00+01:00;17172599057
2019-03-09T05:00:00+01:00;17171725243
2019-03-09T06:00:00+01:00;17174032110
2019-03-09T07:00:00+01:00;17174486493
2019-03-09T08:00:00+01:00;17174713685
2019-03-09T09:00:00+01:00;17173892300
2019-03-09T10:00:00+01:00;17173035963
2019-03-09T11:00:00+01:00;17173280631
2019-03-09T12:00:00+01:00;17173175773
2019-03-09T13:00:00+01:00;17173280631
2019-03-09T14:00:00+01:00;17173402965
2019-03-09T15:00:00+01:00;17173263155
2019-03-09T16:00:00+01:00;17173577728
2019-03-09T17:00:00+01:00;17172861201
2019-03-09T18:00:00+01:00;17172721390
2019-03-09T19:00:00+01:00;17172284484
2019-03-09T20:00:00+01:00;17172459246
2019-03-09T21:00:00+01:00;17172476723
2019-03-09T22:00:00+01:00;17172494199
2019-03-09T23:00:00+01:00;17172494199
2019-03-10T00:00:00+01:00;17172476723
2019-03-10T01:00:00+01:00;17172511675
2019-03-10T02:00:00+01:00;17172494199
2019-03-10T03:00:00+01:00;17171777672
2019-03-10T04:00:00+01:00;17171445623
2019-03-10T05:00:00+01:00;17171463099
2019-03-10T06:00:00+01:00;17173560251
2019-03-10T07:00:00+01:00;17173507822
2019-03-10T08:00:00+01:00;17173315584
2019-03-10T09:00:00+01:00;17172983534
2019-03-10T10:00:00+01:00;17173455394
2019-03-10T11:00:00+01:00;17173542775
2019-03-10T12:00:00+01:00;17172948582
2019-03-10T13:00:00+01:00;17171270860
2019-03-10T14:00:00+01:00;17170973764
2019-03-10T15:00:00+01:00;17172371865
2019-03-10T16:00:00+01:00;17172529152
2019-03-10T17:00:00+01:00;17172494199
2019-03-10T18:00:00+01:00;17172354389
2019-03-10T19:00:00+01:00;17171567957
2019-03-10T20:00:00+01:00;17171148526
2019-03-10T21:00:00+01:00;17169453329
2019-03-10T22:00:00+01:00;17170432000
2019-03-10T23:00:00+01:00;17170432000
2019-03-11T00:00:00+01:00;17168596992
2019-03-11T01:00:00+01:00;17163074491
2019-03-11T02:00:00+01:00;17163319159
2019-03-11T03:00:00+01:00;17164018210
2019-03-11T04:00:00+01:00;17164140544
2019-03-11T05:00:00+01:00;17167688226
2019-03-11T06:00:00+01:00;17172529152
2019-03-11T07:00:00+01:00;17174626304
2019-03-11T08:00:00+01:00;17174626304
2019-03-11T09:00:00+01:00;17174573875
2019-03-11T10:00:00+01:00;17174171921
2019-03-11T11:00:00+01:00;17172389341
2019-03-11T12:00:00+01:00;17172511675
2019-03-11T13:00:00+01:00;17172197102
2019-03-11T14:00:00+01:00;17172459246
2019-03-11T15:00:00+01:00;17173280631
2019-03-11T16:00:00+01:00;17173402965
2019-03-11T17:00:00+01:00;17172494199
2019-03-11T18:00:00+01:00;17172424294
2019-03-11T19:00:00+01:00;17172389341
2019-03-11T20:00:00+01:00;17172424294
2019-03-11T21:00:00+01:00;17172424294
2019-03-11T22:00:00+01:00;17172826248
2019-03-11T23:00:00+01:00;17172494199
2019-03-12T00:00:00+01:00;17172511675
2019-03-12T01:00:00+01:00;17172336913
2019-03-12T02:00:00+01:00;17172336913
2019-03-12T03:00:00+01:00;17172475834
2019-03-12T04:00:00+01:00;17172529152
2019-03-12T05:00:00+01:00;17172529152
2019-03-12T06:00:00+01:00;17172826248
2019-03-12T07:00:00+01:00;17172896153
2019-03-12T08:00:00+01:00;17173577728
2019-03-12T09:00:00+01:00;17173420441
2019-03-12T10:00:00+01:00;17173280631
2019-03-12T11:00:00+01:00;17172529152
2019-03-12T12:00:00+01:00;17172476723
2019-03-12T13:00:00+01:00;17172686438
2019-03-12T14:00:00+01:00;17173105868
2019-03-12T15:00:00+01:00;17172529152
2019-03-12T16:00:00+01:00;17172162150
2019-03-12T17:00:00+01:00;17172441770
2019-03-12T18:00:00+01:00;17172441770
2019-03-12T19:00:00+01:00;17172529152
2019-03-12T20:00:00+01:00;17172529152
2019-03-12T21:00:00+01:00;17172441770
2019-03-12T22:00:00+01:00;17172529152
2019-03-12T23:00:00+01:00;17172511675
2019-03-13T00:00:00+01:00;17172529152
2019-03-13T01:00:00+01:00;17172529152
2019-03-13T02:00:00+01:00;17172494199
2019-03-13T03:00:00+01:00;17172494199
2019-03-13T04:00:00+01:00;17172529152
2019-03-13T05:00:00+01:00;17172494199
2019-03-13T06:00:00+01:00;17173665109
2019-03-13T07:00:00+01:00;17174591351
2019-03-13T08:00:00+01:00;17174661256
2019-03-13T09:00:00+01:00;17175360307
2019-03-13T10:00:00+01:00;17175063210
2019-03-13T11:00:00+01:00;17174521446
2019-03-13T12:00:00+01:00;17173577728
2019-03-13T13:00:00+01:00;17174224349
2019-03-13T14:00:00+01:00;17174626304
2019-03-13T15:00:00+01:00;17174626304
2019-03-13T16:00:00+01:00;17174626304
2019-03-13T17:00:00+01:00;17170134903
2019-03-13T18:00:00+01:00;17171480576
2019-03-13T19:00:00+01:00;17171480576
2019-03-13T20:00:00+01:00;17168160085
2019-03-13T21:00:00+01:00;17171078621
2019-03-13T22:00:00+01:00;17173385489
2019-03-13T23:00:00+01:00;17173105868
2019-03-14T00:00:00+01:00;17173298107
2019-03-14T01:00:00+01:00;17173298107
2019-03-14T02:00:00+01:00;17172773819
2019-03-14T03:00:00+01:00;17173315584
2019-03-14T04:00:00+01:00;17172529152
2019-03-14T05:00:00+01:00;17172599057
2019-03-14T06:00:00+01:00;17173682585
2019-03-14T07:00:00+01:00;17174766114
2019-03-14T08:00:00+01:00;17175570022
2019-03-14T09:00:00+01:00;17175028258
2019-03-14T10:00:00+01:00;17174626304
2019-03-14T11:00:00+01:00;17174626304
2019-03-14T12:00:00+01:00;17174521446
2019-03-14T13:00:00+01:00;17174608827
2019-03-14T14:00:00+01:00;17174626304
2019-03-14T15:00:00+01:00;17174626304
2019-03-14T16:00:00+01:00;17172599057
2019-03-14T17:00:00+01:00;17172459246
2019-03-14T18:00:00+01:00;17172406818
2019-03-14T19:00:00+01:00;17172022340
2019-03-14T20:00:00+01:00;17172459246
2019-03-14T21:00:00+01:00;17172494199
2019-03-14T22:00:00+01:00;17172529152
2019-03-14T23:00:00+01:00;17171620386
2019-03-15T00:00:00+01:00;17171340765
2019-03-15T01:00:00+01:00;17172371865
