Time;CPU_usage;ANB_read;ANB_write;AN_read;AN_write;Free_disk;B_rec;B_trans;P_rec;P_trans;H_memory;G_memory;C_storage
2019-03-03T22:00:00+01:00;462833333;2850;8908;0;0;75807113216;657527;825600;11377;11396;17165678455;1056038365;1,22E+11
2019-03-03T23:00:00+01:00;384733333;290;7884;0;0;75807113216;595285;714478;10869;10588;17161414246;855707921;1,22E+11
2019-03-04T00:00:00+01:00;197366666;0;5358;0;0;75807113216;292317;199236;6045;5873;17154266453;663818513;1,22E+11
2019-03-04T01:00:00+01:00;145666666;0;3976;0;0;75807113216;456465;519065;7034;6765;17162794871;712559820;1,22E+11
2019-03-04T02:00:00+01:00;106800000;119;5341;0;0;75807113216;206318;240025;3527;3343;17167356177;514833339;1,22E+11
2019-03-04T03:00:00+01:00;44466666;0;3174;0;0;75807113216;50517;35515;1534;1538;17167583368;371545429;1,22E+11
2019-03-04T04:00:00+01:00;59866666;580;3925;0;0;75807113216;82432;32716;2143;1965;17168229990;448930338;1,22E+11
2019-03-04T05:00:00+01:00;113066666;68;3618;0;0;75807113216;164249;60330;4954;4992;17168387276;305624951;1,22E+11
2019-03-04T06:00:00+01:00;60966666;49868;24814;1;0;75807113216;77926;40328;2198;2185;17169418376;431733691;1,22E+11
2019-03-04T07:00:00+01:00;138700000;170;4061;0;0;75807113216;215210;100113;4560;4287;17171480576;635227340;1,22E+11
2019-03-04T08:00:00+01:00;404533333;529;7492;0;0;75807113216;631193;467200;11612;11510;17173298107;933127782;1,22E+11
2019-03-04T09:00:00+01:00;419200000;51;7389;0;0;75807113216;556578;1657326;10272;10329;17173577728;895903334;1,22E+11
2019-03-04T10:00:00+01:00;546433333;0;7611;0;0;75807113216;846967;1110681;14932;14458;17173577728;993123805;1,22E+11
2019-03-04T11:00:00+01:00;406366666;34;6656;0;0;75807113216;539972;2954444;10340;11424;17171900006;1190675524;1,22E+11
2019-03-04T12:00:00+01:00;264466666;0;5478;0;0;75807113216;403814;834218;8459;8829;17171463099;1124789998;1,22E+11
2019-03-04T13:00:00+01:00;413700000;1297;6758;0;0;75807113216;651042;3491908;12305;12604;17171445623;1216487970;1,22E+11
2019-03-04T14:00:00+01:00;652766666;358;11707;0;0;75807113216;1682875;13248068;23005;25520;17171742720;1866465280;1,22E+11
2019-03-04T15:00:00+01:00;349533333;102;6468;0;0;75807113216;658602;3605845;9096;9263;17171602909;1136254429;1,22E+11
2019-03-04T16:00:00+01:00;540933333;546;8652;0;0;75807113216;956723;6413448;18022;19004;17171987387;1056230604;1,22E+11
2019-03-04T17:00:00+01:00;356133333;3379;29730;0;0;75807113216;813158;3505851;11027;10874;17171463099;1494115942;1,22E+11
2019-03-04T18:00:00+01:00;257866666;204;6007;0;0;75807113216;458154;488226;7726;7617;17171480576;858574028;1,22E+11
2019-03-04T19:00:00+01:00;354666666;0;6382;0;0;75807113216;538231;1727607;8917;8898;17171480576;1016122572;1,22E+11
2019-03-04T20:00:00+01:00;452933333;0;8021;0;0;75807113216;612829;622609;10974;10429;17171480576;875735722;1,22E+11
2019-03-04T21:00:00+01:00;389866666;0;6843;0;0;75807113216;528793;2038869;9384;9628;17171480576;689578530;1,22E+11
2019-03-04T22:00:00+01:00;335600000;1501;10308;0;0;75807113216;475118;1699396;8165;8273;17171445623;852859289;1,22E+11
2019-03-04T23:00:00+01:00;189300000;17;6058;0;0;75807113216;224563;863965;5029;4716;17171445623;829930427;1,22E+11
2019-03-05T00:00:00+01:00;97633333;0;3874;0;0;75807113216;145578;60603;3111;2635;17171480576;557790003;1,22E+11
2019-03-05T01:00:00+01:00;57666666;0;3942;0;0;75807113216;93866;61866;2215;2199;17171480576;368679321;1,22E+11
2019-03-05T02:00:00+01:00;56933333;1945;18705;0;0;75807113216;42598;72960;1496;1384;17171445623;437448430;1,22E+11
2019-03-05T03:00:00+01:00;72206896;9445;2913;0;0;75807113216;108110;43285;3187;3151;17171444418;357709047;1,22E+11
