Time;Guest memory usage
2019-03-09T02:00:00+01:00;497654169
2019-03-09T03:00:00+01:00;8967421952
2019-03-09T04:00:00+01:00;11137729604
2019-03-09T05:00:00+01:00;9849326796
2019-03-09T06:00:00+01:00;6834286318
2019-03-09T07:00:00+01:00;3106249113
2019-03-09T08:00:00+01:00;7799098572
2019-03-09T09:00:00+01:00;1104797149
2019-03-09T10:00:00+01:00;9299593352
2019-03-09T11:00:00+01:00;6553634952
2019-03-09T12:00:00+01:00;10479206400
2019-03-09T13:00:00+01:00;2544946380
2019-03-09T14:00:00+01:00;6857110323
2019-03-09T15:00:00+01:00;772643225
2019-03-09T16:00:00+01:00;872834662
2019-03-09T17:00:00+01:00;884351522
2019-03-09T18:00:00+01:00;827011891
2019-03-09T19:00:00+01:00;821349580
2019-03-09T20:00:00+01:00;955916834
2019-03-09T21:00:00+01:00;623675528
2019-03-09T22:00:00+01:00;675178086
2019-03-09T23:00:00+01:00;984542958
2019-03-10T00:00:00+01:00;549226632
2019-03-10T01:00:00+01:00;560691063
2019-03-10T02:00:00+01:00;491921954
2019-03-10T03:00:00+01:00;388742075
2019-03-10T04:00:00+01:00;411670937
2019-03-10T05:00:00+01:00;523379234
2019-03-10T06:00:00+01:00;471789294
2019-03-10T07:00:00+01:00;437465907
2019-03-10T08:00:00+01:00;532029986
2019-03-10T09:00:00+01:00;775579238
2019-03-10T10:00:00+01:00;1038999005
2019-03-10T11:00:00+01:00;778375441
2019-03-10T12:00:00+01:00;984577911
2019-03-10T13:00:00+01:00;818518425
2019-03-10T14:00:00+01:00;1207942075
2019-03-10T15:00:00+01:00;990310126
2019-03-10T16:00:00+01:00;1617288669
2019-03-10T17:00:00+01:00;1216418065
2019-03-10T18:00:00+01:00;1219301649
2019-03-10T19:00:00+01:00;1270856635
2019-03-10T20:00:00+01:00;1368199441
2019-03-10T21:00:00+01:00;1250776405
2019-03-10T22:00:00+01:00;895815953
2019-03-10T23:00:00+01:00;996007389
2019-03-11T00:00:00+01:00;818483473
2019-03-11T01:00:00+01:00;514798387
2019-03-11T02:00:00+01:00;580666436
2019-03-11T03:00:00+01:00;431716215
2019-03-11T04:00:00+01:00;405938722
2019-03-11T05:00:00+01:00;500485324
2019-03-11T06:00:00+01:00;506235016
2019-03-11T07:00:00+01:00;437465907
2019-03-11T08:00:00+01:00;792740932
2019-03-11T09:00:00+01:00;872834662
