Time;Number of packets transmitted on interface Network adapter 1
2019-03-10T23:00:00+01:00;9870
2019-03-11T00:00:00+01:00;4869
2019-03-11T01:00:00+01:00;2470
2019-03-11T02:00:00+01:00;1101
2019-03-11T03:00:00+01:00;2378
2019-03-11T04:00:00+01:00;1835
2019-03-11T05:00:00+01:00;2613
2019-03-11T06:00:00+01:00;2972
2019-03-11T07:00:00+01:00;4399
2019-03-11T08:00:00+01:00;11840
2019-03-11T09:00:00+01:00;10466
2019-03-11T10:00:00+01:00;10757
2019-03-11T11:00:00+01:00;7766
2019-03-11T12:00:00+01:00;7972
2019-03-11T13:00:00+01:00;10071
2019-03-11T14:00:00+01:00;17153
2019-03-11T15:00:00+01:00;10736
2019-03-11T16:00:00+01:00;9674
2019-03-11T17:00:00+01:00;8167
2019-03-11T18:00:00+01:00;6340
2019-03-11T19:00:00+01:00;7854
2019-03-11T20:00:00+01:00;9690
2019-03-11T21:00:00+01:00;10009
2019-03-11T22:00:00+01:00;8269
2019-03-11T23:00:00+01:00;6007
2019-03-12T00:00:00+01:00;3170
2019-03-12T01:00:00+01:00;2126
2019-03-12T02:00:00+01:00;2558
2019-03-12T03:00:00+01:00;3051
2019-03-12T04:00:00+01:00;2675
2019-03-12T05:00:00+01:00;3190
2019-03-12T06:00:00+01:00;2565
2019-03-12T07:00:00+01:00;5164
2019-03-12T08:00:00+01:00;10821
2019-03-12T09:00:00+01:00;9611
2019-03-12T10:00:00+01:00;8243
2019-03-12T11:00:00+01:00;8318
2019-03-12T12:00:00+01:00;6337
2019-03-12T13:00:00+01:00;9573
2019-03-12T14:00:00+01:00;15733
2019-03-12T15:00:00+01:00;8209
2019-03-12T16:00:00+01:00;10403
2019-03-12T17:00:00+01:00;7919
2019-03-12T18:00:00+01:00;7450
2019-03-12T19:00:00+01:00;8233
2019-03-12T20:00:00+01:00;7145
2019-03-12T21:00:00+01:00;8722
2019-03-12T22:00:00+01:00;6910
2019-03-12T23:00:00+01:00;5806
2019-03-13T00:00:00+01:00;2940
2019-03-13T01:00:00+01:00;2199
2019-03-13T02:00:00+01:00;812
2019-03-13T03:00:00+01:00;2106
2019-03-13T04:00:00+01:00;1312
2019-03-13T05:00:00+01:00;1373
2019-03-13T06:00:00+01:00;2245
2019-03-13T07:00:00+01:00;4480
2019-03-13T08:00:00+01:00;11409
2019-03-13T09:00:00+01:00;8155
2019-03-13T10:00:00+01:00;8009
2019-03-13T11:00:00+01:00;7148
2019-03-13T12:00:00+01:00;4594
2019-03-13T13:00:00+01:00;10235
2019-03-13T14:00:00+01:00;10746
2019-03-13T15:00:00+01:00;8999
2019-03-13T16:00:00+01:00;8213
2019-03-13T17:00:00+01:00;9801
2019-03-13T18:00:00+01:00;7347
2019-03-13T19:00:00+01:00;6957
2019-03-13T20:00:00+01:00;9287
2019-03-13T21:00:00+01:00;8835
2019-03-13T22:00:00+01:00;4954
2019-03-13T23:00:00+01:00;4270
2019-03-14T00:00:00+01:00;2201
2019-03-14T01:00:00+01:00;1841
2019-03-14T02:00:00+01:00;1844
2019-03-14T03:00:00+01:00;2282
2019-03-14T04:00:00+01:00;3289
2019-03-14T05:00:00+01:00;1360
2019-03-14T06:00:00+01:00;2196
2019-03-14T07:00:00+01:00;2709
2019-03-14T08:00:00+01:00;8613
2019-03-14T09:00:00+01:00;5440
2019-03-14T10:00:00+01:00;7321
2019-03-14T11:00:00+01:00;4850
2019-03-14T12:00:00+01:00;7204
2019-03-14T13:00:00+01:00;7246
2019-03-14T14:00:00+01:00;10180
2019-03-14T15:00:00+01:00;13189
2019-03-14T16:00:00+01:00;13744
2019-03-14T17:00:00+01:00;15489
2019-03-14T18:00:00+01:00;8485
2019-03-14T19:00:00+01:00;8677
2019-03-14T20:00:00+01:00;8377
2019-03-14T21:00:00+01:00;7823
2019-03-14T22:00:00+01:00;8388
2019-03-14T23:00:00+01:00;4140
2019-03-15T00:00:00+01:00;2058
2019-03-15T01:00:00+01:00;3688
2019-03-15T02:00:00+01:00;1532
2019-03-15T03:00:00+01:00;2217
2019-03-15T04:00:00+01:00;2533
2019-03-15T05:00:00+01:00;2234
2019-03-15T06:00:00+01:00;2192
2019-03-15T07:00:00+01:00;3556
2019-03-15T08:00:00+01:00;9432
2019-03-15T09:00:00+01:00;6972
2019-03-15T10:00:00+01:00;8957
2019-03-15T11:00:00+01:00;8169
2019-03-15T12:00:00+01:00;3842
2019-03-15T13:00:00+01:00;8602
2019-03-15T14:00:00+01:00;8992
2019-03-15T15:00:00+01:00;7778
2019-03-15T16:00:00+01:00;9026
2019-03-15T17:00:00+01:00;6005
2019-03-15T18:00:00+01:00;6152
2019-03-15T19:00:00+01:00;5569
2019-03-15T20:00:00+01:00;6108
2019-03-15T21:00:00+01:00;7432
2019-03-15T22:00:00+01:00;4386
2019-03-15T23:00:00+01:00;4223
2019-03-16T00:00:00+01:00;2070
2019-03-16T01:00:00+01:00;1444
2019-03-16T02:00:00+01:00;1420
2019-03-16T03:00:00+01:00;71511
2019-03-16T04:00:00+01:00;61320
2019-03-16T05:00:00+01:00;63053
2019-03-16T06:00:00+01:00;33294
2019-03-16T07:00:00+01:00;33560
2019-03-16T08:00:00+01:00;35720
2019-03-16T09:00:00+01:00;33478
2019-03-16T10:00:00+01:00;42235
2019-03-16T11:00:00+01:00;36342
2019-03-16T12:00:00+01:00;49914
2019-03-16T13:00:00+01:00;54361
2019-03-16T14:00:00+01:00;51195
2019-03-16T15:00:00+01:00;67093
2019-03-16T16:00:00+01:00;48362
2019-03-16T17:00:00+01:00;51077
2019-03-16T18:00:00+01:00;51786
2019-03-16T19:00:00+01:00;47202
2019-03-16T20:00:00+01:00;4323
2019-03-16T21:00:00+01:00;4502
2019-03-16T22:00:00+01:00;4515
2019-03-16T23:00:00+01:00;3536
2019-03-17T00:00:00+01:00;2307
2019-03-17T01:00:00+01:00;1292
2019-03-17T02:00:00+01:00;1677
2019-03-17T03:00:00+01:00;1455
2019-03-17T04:00:00+01:00;1982
2019-03-17T05:00:00+01:00;3606
2019-03-17T06:00:00+01:00;1431
2019-03-17T07:00:00+01:00;3243
2019-03-17T08:00:00+01:00;2864
2019-03-17T09:00:00+01:00;4928
2019-03-17T10:00:00+01:00;8232
2019-03-17T11:00:00+01:00;8497
2019-03-17T12:00:00+01:00;8651
2019-03-17T13:00:00+01:00;6709
2019-03-17T14:00:00+01:00;8966
2019-03-17T15:00:00+01:00;11776
2019-03-17T16:00:00+01:00;11503
2019-03-17T17:00:00+01:00;10383
2019-03-17T18:00:00+01:00;11114
2019-03-17T19:00:00+01:00;8132
2019-03-17T20:00:00+01:00;11481
2019-03-17T21:00:00+01:00;11245
2019-03-17T22:00:00+01:00;11485
2019-03-17T23:00:00+01:00;10388
2019-03-18T00:00:00+01:00;2948
2019-03-18T01:00:00+01:00;1135
2019-03-18T02:00:00+01:00;2234
2019-03-18T03:00:00+01:00;2225
2019-03-18T04:00:00+01:00;1830
2019-03-18T05:00:00+01:00;1450
2019-03-18T06:00:00+01:00;1943
2019-03-18T07:00:00+01:00;4331
2019-03-18T08:00:00+01:00;9500
2019-03-18T09:00:00+01:00;9106
2019-03-18T10:00:00+01:00;10647
2019-03-18T11:00:00+01:00;7226
2019-03-18T12:00:00+01:00;6720
2019-03-18T13:00:00+01:00;11238
2019-03-18T14:00:00+01:00;12076
2019-03-18T15:00:00+01:00;6436
2019-03-18T16:00:00+01:00;7838
2019-03-18T17:00:00+01:00;6975
2019-03-18T18:00:00+01:00;6953
2019-03-18T19:00:00+01:00;7234
2019-03-18T20:00:00+01:00;10495
2019-03-18T21:00:00+01:00;10047
2019-03-18T22:00:00+01:00;7497
2019-03-18T23:00:00+01:00;7117
2019-03-19T00:00:00+01:00;4113
2019-03-19T01:00:00+01:00;1518
2019-03-19T02:00:00+01:00;2161
2019-03-19T03:00:00+01:00;2303
2019-03-19T04:00:00+01:00;1668
2019-03-19T05:00:00+01:00;3526
2019-03-19T06:00:00+01:00;2331
2019-03-19T07:00:00+01:00;3121
2019-03-19T08:00:00+01:00;9797
2019-03-19T09:00:00+01:00;7898
2019-03-19T10:00:00+01:00;12099
2019-03-19T11:00:00+01:00;6813
2019-03-19T12:00:00+01:00;8854
2019-03-19T13:00:00+01:00;10875
2019-03-19T14:00:00+01:00;12722
2019-03-19T15:00:00+01:00;8358
2019-03-19T16:00:00+01:00;7412
2019-03-19T17:00:00+01:00;7927
2019-03-19T18:00:00+01:00;8216
2019-03-19T19:00:00+01:00;10812
2019-03-19T20:00:00+01:00;11808
2019-03-19T21:00:00+01:00;11038
2019-03-19T22:00:00+01:00;7345
2019-03-19T23:00:00+01:00;6165
2019-03-20T00:00:00+01:00;4222
2019-03-20T01:00:00+01:00;2756
2019-03-20T02:00:00+01:00;1613
2019-03-20T03:00:00+01:00;1715
2019-03-20T04:00:00+01:00;1474
2019-03-20T05:00:00+01:00;1102
2019-03-20T06:00:00+01:00;1561
2019-03-20T07:00:00+01:00;5458
2019-03-20T08:00:00+01:00;10289
2019-03-20T09:00:00+01:00;6978
2019-03-20T10:00:00+01:00;10166
2019-03-20T11:00:00+01:00;6176
2019-03-20T12:00:00+01:00;6534
2019-03-20T13:00:00+01:00;9328
2019-03-20T14:00:00+01:00;10304
2019-03-20T15:00:00+01:00;6648
2019-03-20T16:00:00+01:00;7883
2019-03-20T17:00:00+01:00;7111
2019-03-20T18:00:00+01:00;7354
2019-03-20T19:00:00+01:00;5995
2019-03-20T20:00:00+01:00;12679
2019-03-20T21:00:00+01:00;10672
2019-03-20T22:00:00+01:00;6524
2019-03-20T23:00:00+01:00;5493
2019-03-21T00:00:00+01:00;3895
2019-03-21T01:00:00+01:00;2231
2019-03-21T02:00:00+01:00;1245
2019-03-21T03:00:00+01:00;1866
2019-03-21T04:00:00+01:00;2345
2019-03-21T05:00:00+01:00;5433
2019-03-21T06:00:00+01:00;2697
2019-03-21T07:00:00+01:00;4261
2019-03-21T08:00:00+01:00;9074
2019-03-21T09:00:00+01:00;7425
2019-03-21T10:00:00+01:00;9561
2019-03-21T11:00:00+01:00;7964
2019-03-21T12:00:00+01:00;6284
2019-03-21T13:00:00+01:00;8601
2019-03-21T14:00:00+01:00;9612
2019-03-21T15:00:00+01:00;10021
2019-03-21T16:00:00+01:00;10215
2019-03-21T17:00:00+01:00;9444
2019-03-21T18:00:00+01:00;5606
2019-03-21T19:00:00+01:00;7310
2019-03-21T20:00:00+01:00;9126
2019-03-21T21:00:00+01:00;7228
2019-03-21T22:00:00+01:00;6949
2019-03-21T23:00:00+01:00;4856
2019-03-22T00:00:00+01:00;3743
2019-03-22T01:00:00+01:00;2977
2019-03-22T02:00:00+01:00;1919
2019-03-22T03:00:00+01:00;2937
2019-03-22T04:00:00+01:00;2815
