Time;CPU usage;Number of bytes received;Number of bytes transmitted;Used memory;Average read latency of the datastore LUN_080;Average write latency of the datastore LUN_080
2019-05-20T04:20:00+02:00;17127500000;22565376;22537728;234588471296;5;5.5
2019-05-20T04:22:00+02:00;16208500000;19796480;19619328;234591092736;5;11
2019-05-20T04:24:00+02:00;15033000000;21389824;23474176;234592665600;11;12.5
2019-05-20T04:26:00+02:00;15626000000;23328768;23398912;234585849856;10;2
2019-05-20T04:28:00+02:00;13844000000;19881984;19856384;234584801280;5.5;1
2019-05-20T04:30:00+02:00;15394000000;15764480;22687744;234587422720;4;0.5
2019-05-20T04:32:00+02:00;14642500000;18244608;19702784;234574315520;5.5;0.5
2019-05-20T04:34:00+02:00;12365500000;17994752;18598400;234569596928;6;0.5
2019-05-20T04:36:00+02:00;15173500000;18937856;18290176;234577985536;10.5;2.5
2019-05-20T04:38:00+02:00;13581000000;16908288;16700416;234579034112;4.5;1
2019-05-20T04:40:00+02:00;17004500000;21655040;21218304;234582179840;3;0
2019-05-20T04:42:00+02:00;15522500000;22149120;22105088;234592665600;15;4
2019-05-20T04:44:00+02:00;15459000000;5215232;6035456;234596335616;9;0
2019-05-20T04:46:00+02:00;14479500000;5260288;5656576;234585325568;5;0.5
2019-05-20T04:48:00+02:00;17446000000;4867584;6927872;234591092736;1;0
2019-05-20T04:50:00+02:00;17750000000;5322752;6548480;234583752704;4;0.5
2019-05-20T04:52:00+02:00;15584500000;6286336;6087680;234574839808;3;0
2019-05-20T04:54:00+02:00;17525500000;6021120;5607424;234580082688;3;0
2019-05-20T04:56:00+02:00;17458000000;5250560;5194240;234582179840;3.5;1
2019-05-20T04:58:00+02:00;12346000000;6149632;5664768;234577461248;2.5;0
2019-05-20T05:00:00+02:00;13198000000;6263808;5999104;234577985536;5;2
2019-05-20T05:02:00+02:00;14858500000;5447168;4984832;234584276992;3.5;0
2019-05-20T05:04:00+02:00;18123000000;5642240;5318656;234587422720;3;0
2019-05-20T05:06:00+02:00;17342000000;5045760;4575232;234587422720;3;1
2019-05-20T05:08:00+02:00;14273500000;4151296;4746240;234589519872;4;0
2019-05-20T05:10:00+02:00;14495000000;3963392;16291840;234591092736;5;0.5
2019-05-20T05:12:00+02:00;14695500000;3591168;3748352;234594762752;4.5;1
2019-05-20T05:14:00+02:00;13886500000;3581440;4576256;234596859904;7;1.5
2019-05-20T05:16:00+02:00;15366000000;3465216;3118080;234591092736;3;1
2019-05-20T05:18:00+02:00;12995000000;3011584;2754560;234593714176;1.5;5
2019-05-20T05:20:00+02:00;15379000000;2615296;2515968;234581131264;2;0
2019-05-20T05:22:00+02:00;13065000000;3236864;3203072;234572742656;2;0
2019-05-20T05:24:00+02:00;11909000000;3430400;3394048;234545479680;3;1
2019-05-20T05:26:00+02:00;13938000000;3082240;2626560;234473127936;9;3.5
2019-05-20T05:28:00+02:00;13817000000;3210752;2948608;234456350720;4.5;1
2019-05-20T05:30:00+02:00;16477000000;3616768;3157504;234452680704;4;0
2019-05-20T05:32:00+02:00;15163000000;3598848;5214720;234443243520;10;4.5
2019-05-20T05:34:00+02:00;13369000000;4106240;3428864;234335764480;5;0
2019-05-20T05:36:00+02:00;13631000000;4047872;3406848;234328948736;5;1
2019-05-20T05:38:00+02:00;13095000000;3673088;3543552;234276519936;13;2.5
2019-05-20T05:40:00+02:00;13399000000;4080640;3321856;234215178240;4;0
2019-05-20T05:42:00+02:00;11916500000;3597824;3260416;234063134720;5.5;0.5
2019-05-20T05:44:00+02:00;13105500000;3455488;3300864;234045308928;4.5;1
2019-05-20T05:46:00+02:00;13099500000;3412480;3176448;234011754496;4;1
2019-05-20T05:48:00+02:00;12609500000;3635200;3152384;234004938752;4;0
2019-05-20T05:50:00+02:00;13989500000;3465216;3347456;234278092800;5;1
2019-05-20T05:52:00+02:00;13199000000;3813888;3597824;234564354048;5;0.5
2019-05-20T05:54:00+02:00;13262000000;3783680;3232768;234600529920;3;0
2019-05-20T05:56:00+02:00;12503500000;3367424;3214848;234640900096;3.5;0.5
2019-05-20T05:58:00+02:00;13630000000;3623424;3075072;234645618688;2.5;0
2019-05-20T06:00:00+02:00;11108500000;4263936;3985408;234635132928;3;0
2019-05-20T06:02:00+02:00;14362000000;3171328;2668032;234623074304;5;1
2019-05-20T06:04:00+02:00;16501000000;2264064;2080768;234629365760;6;0
2019-05-20T06:06:00+02:00;17276500000;2855936;2462720;234620452864;5;0.5
2019-05-20T06:08:00+02:00;14173500000;3315712;3016704;234618355712;2.5;0
2019-05-20T06:10:00+02:00;12274500000;3145216;2844160;234597908480;2;0.5
2019-05-20T06:12:00+02:00;12901000000;3546624;2845696;234595811328;1.5;2
2019-05-20T06:14:00+02:00;12080000000;3902464;3699712;234584276992;1.5;0
2019-05-20T06:16:00+02:00;14333000000;3682816;2908160;234564354048;1;1
2019-05-20T06:18:00+02:00;11155000000;2892800;2824192;234563829760;0.5;0.5
2019-05-20T06:20:00+02:00;12200500000;3575296;3488256;234548101120;0;0.5
2019-05-20T06:22:00+02:00;13400000000;3464192;3424256;234532896768;1;0.5
2019-05-20T06:24:00+02:00;12352500000;3395584;3070976;234526605312;2;0.5
2019-05-20T06:26:00+02:00;13302500000;3140608;2716160;234506158080;2.5;8
2019-05-20T06:28:00+02:00;11215500000;3112960;2818560;234500915200;3;1.5
2019-05-20T06:30:00+02:00;15646000000;3980800;3463680;234483613696;1.5;2
2019-05-20T06:32:00+02:00;12984000000;3188224;3240960;234476273664;0.5;4.5
2019-05-20T06:34:00+02:00;11995500000;2890752;2189824;234482565120;0;1
2019-05-20T06:36:00+02:00;13663000000;3773440;3723264;234485186560;1;0.5
2019-05-20T06:38:00+02:00;10495000000;3363840;3326976;234474700800;1;0
2019-05-20T06:40:00+02:00;12656500000;4550656;3879936;234480467968;0;0
2019-05-20T06:42:00+02:00;11557500000;4530688;4385280;234475225088;0.5;0.5
2019-05-20T06:44:00+02:00;14171500000;4062720;3771392;234468409344;0.5;0.5
2019-05-20T06:46:00+02:00;13462500000;2915328;2785280;234451632128;0.5;1
2019-05-20T06:48:00+02:00;12772000000;2553856;1963520;234428039168;1;1
2019-05-20T06:50:00+02:00;11609000000;2620416;2317312;234426990592;2;1
2019-05-20T06:52:00+02:00;12448000000;3063296;2487808;234406543360;4;1
2019-05-20T06:54:00+02:00;13642000000;3139584;2653184;234387668992;0.5;0
2019-05-20T06:56:00+02:00;14592500000;2929152;2966528;234379804672;4;0.5
2019-05-20T06:58:00+02:00;12460000000;4367360;3200000;234379280384;1;0
2019-05-20T07:00:00+02:00;10500000000;3215872;2870784;234381377536;4.5;4.5
2019-05-20T07:02:00+02:00;12749500000;3968000;3354624;234359881728;3;null
2019-05-20T07:04:00+02:00;15024500000;3352064;3116544;234389241856;0.5;0.5
2019-05-20T07:06:00+02:00;13573500000;3672064;3470848;234390814720;7.5;1
2019-05-20T07:08:00+02:00;12695000000;3526656;2233344;234381377536;1.5;0.5
2019-05-20T07:10:00+02:00;13136500000;3902464;3514368;234379804672;1;1
2019-05-20T07:12:00+02:00;12634000000;4663296;3949568;234381901824;2.5;1
2019-05-20T07:14:00+02:00;13798500000;3456000;3410944;234382426112;3.5;0
2019-05-20T07:16:00+02:00;13425500000;4017152;3500032;234382950400;12;2.5
2019-05-20T07:18:00+02:00;10875500000;2575360;2293760;234389241856;1;0.5
2019-05-20T07:20:00+02:00;14056500000;2898432;2713600;234389241856;2.5;1
2019-05-20T07:22:00+02:00;11943000000;1970176;1462272;234387668992;3.5;1.5
2019-05-20T07:24:00+02:00;13148500000;4219392;3704320;234385047552;4;0
2019-05-20T07:26:00+02:00;14452500000;3146752;2752512;234384523264;2.5;3.5
2019-05-20T07:28:00+02:00;13645000000;3360256;3148288;234385047552;5;0
2019-05-20T07:30:00+02:00;13240500000;4819456;5019648;234387668992;3.5;0
2019-05-20T07:32:00+02:00;12022500000;5234176;5415936;234388717568;2;0.5
2019-05-20T07:34:00+02:00;14122500000;6182912;5612032;234387144704;0;0
2019-05-20T07:36:00+02:00;13361000000;7578624;7260160;234388193280;3.5;1
2019-05-20T07:38:00+02:00;14480000000;7730688;7337984;234391863296;5;0
2019-05-20T07:40:00+02:00;15429000000;7710720;7607296;234395533312;3.5;1
2019-05-20T07:42:00+02:00;12970000000;6740480;6447104;234393960448;2;0.5
2019-05-20T07:44:00+02:00;12886000000;7405056;7409152;234397106176;3.5;0
2019-05-20T07:46:00+02:00;13652000000;6825472;6487040;234399727616;5;1
2019-05-20T07:48:00+02:00;14053500000;6265856;6187008;234402873344;4;0
2019-05-20T07:50:00+02:00;13398500000;6180864;5848064;234407067648;6.5;1
2019-05-20T07:52:00+02:00;13911000000;6142976;18376192;234408116224;0;0
2019-05-20T07:54:00+02:00;12860500000;4832256;32437248;234412834816;3.5;0.5
2019-05-20T07:56:00+02:00;14884500000;5827584;8432128;234420174848;2;0
2019-05-20T07:58:00+02:00;16250000000;7009792;7463424;234429612032;4.5;0
2019-05-20T08:00:00+02:00;10396500000;5713920;6148096;234430660608;3;2
2019-05-20T08:02:00+02:00;12445500000;5681152;7637504;234426466304;3.5;0
2019-05-20T08:04:00+02:00;13784500000;6534144;6351360;234430136320;6;0
2019-05-20T08:06:00+02:00;15709000000;6735872;6517248;234425417728;0;1.5
2019-05-20T08:08:00+02:00;14355500000;7689216;8620032;234440097792;2.5;0.5
2019-05-20T08:10:00+02:00;14288000000;7714304;7219200;234458972160;1;1
2019-05-20T08:12:00+02:00;15955500000;6429184;6307840;234463166464;2.5;1.5
2019-05-20T08:14:00+02:00;13110500000;6641152;6780928;234447437824;0.5;0.5
2019-05-20T08:16:00+02:00;17032000000;7645696;7340032;234445864960;1;3
2019-05-20T08:18:00+02:00;15459500000;7511552;7478272;234444816384;6;0.5
2019-05-20T08:20:00+02:00;19411000000;6465536;5786112;234444292096;0;0
2019-05-20T08:22:00+02:00;13529500000;6505472;6454272;234443767808;3;2.5
2019-05-20T08:24:00+02:00;13120000000;8012800;9565696;234444292096;3;0.5
2019-05-20T08:26:00+02:00;15461500000;8071168;8367104;234445864960;5;4
2019-05-20T08:28:00+02:00;12774000000;8221184;8334848;234444816384;6;1
2019-05-20T08:30:00+02:00;15488500000;7680000;7663104;234444292096;3.5;1
2019-05-20T08:32:00+02:00;17852000000;9459200;9400832;234440622080;20;6.5
2019-05-20T08:34:00+02:00;14747500000;5737984;5188608;234439573504;2;2
2019-05-20T08:36:00+02:00;14923000000;6140928;6858752;234439049216;3.5;0.5
2019-05-20T08:38:00+02:00;13134000000;7234560;7546368;234440622080;0;1
2019-05-20T08:40:00+02:00;13708000000;5292032;5426176;234439049216;4.5;0.5
2019-05-20T08:42:00+02:00;13067500000;5682688;6125056;234438524928;5;0.5
2019-05-20T08:44:00+02:00;14021000000;6127104;6032384;234438524928;3.5;0
2019-05-20T08:46:00+02:00;12051500000;7367680;6816256;234438000640;4;9
2019-05-20T08:48:00+02:00;14887000000;7246848;7643648;234438000640;5;1
2019-05-20T08:50:00+02:00;15614000000;3896320;4888576;234441146368;6.5;2.5
2019-05-20T08:52:00+02:00;13974500000;8040960;9066496;234444816384;4;1.5
2019-05-20T08:54:00+02:00;13673000000;9113600;9689088;234444816384;1;1
2019-05-20T08:56:00+02:00;16373000000;6871040;6393856;234445340672;1;2
2019-05-20T08:58:00+02:00;15220000000;5970944;5877248;234446913536;1;2
2019-05-20T09:00:00+02:00;12132500000;6205440;6046208;234449010688;5;1.5
2019-05-20T09:02:00+02:00;11614000000;9263104;9581056;234451632128;6;1
2019-05-20T09:04:00+02:00;14496000000;8474112;8829440;234483613696;13.5;4
2019-05-20T09:06:00+02:00;21450000000;9358336;9168384;234487808000;6;1
2019-05-20T09:08:00+02:00;17377500000;10208256;10015744;234494623744;7;0
2019-05-20T09:10:00+02:00;20221500000;8823296;11199488;234471030784;2;0
2019-05-20T09:12:00+02:00;17721000000;9088000;9464832;234482565120;4;1
2019-05-20T09:14:00+02:00;14221000000;7646208;6990336;234478895104;6;1
2019-05-20T09:16:00+02:00;16392500000;7171584;6774784;234478370816;11.5;9
2019-05-20T09:18:00+02:00;13307500000;7684096;7482368;234466836480;0.5;0.5
2019-05-20T09:20:00+02:00;16707000000;9185792;11713536;234476797952;2.5;1
2019-05-20T09:22:00+02:00;17038000000;7910400;10193920;234483613696;15.5;4.5
2019-05-20T09:24:00+02:00;15699000000;9041408;20783104;234482040832;11;6
2019-05-20T09:26:00+02:00;14660000000;null;null;234478370816;4;2
2019-05-20T09:28:00+02:00;17905000000;9083392;30516736;234464739328;4;1
2019-05-20T09:30:00+02:00;16861000000;8910848;26827776;234455302144;1.5;1
2019-05-20T09:32:00+02:00;15957500000;10465792;27502592;234453204992;0.5;3
2019-05-20T09:34:00+02:00;16114000000;9449472;27274240;234456875008;3.5;1
2019-05-20T09:36:00+02:00;19161500000;9612288;26886656;234471555072;3.5;2.5
2019-05-20T09:38:00+02:00;18211000000;9450496;25609728;234467885056;4.5;1
2019-05-20T09:40:00+02:00;15169500000;7954432;16475136;234468409344;5.5;4.5
2019-05-20T09:42:00+02:00;15970000000;9106944;26527232;234465787904;7;1
2019-05-20T09:44:00+02:00;14540500000;11036672;23464960;234463690752;6;1
2019-05-20T09:46:00+02:00;18196500000;11935744;29761536;234450583552;10;4
2019-05-20T09:48:00+02:00;18354000000;9580032;18911744;234443767808;5.5;3.5
2019-05-20T09:50:00+02:00;18258000000;9624576;10546176;234482040832;9.5;4
2019-05-20T09:52:00+02:00;18202000000;9498112;10471936;234517168128;8.5;2
2019-05-20T09:54:00+02:00;14364000000;11859968;11552768;234523459584;3.5;0.5
2019-05-20T09:56:00+02:00;18444500000;11214848;11823104;234519265280;5;2.5
2019-05-20T09:58:00+02:00;16399500000;13148160;13523968;234510352384;4.5;2.5
2019-05-20T10:00:00+02:00;12851500000;13213184;13228544;234510352384;11.5;8
2019-05-20T10:02:00+02:00;12843500000;12518912;12062208;234511925248;10.5;8
2019-05-20T10:04:00+02:00;14548500000;12150784;11972096;234515595264;6;9.5
2019-05-20T10:06:00+02:00;18314500000;11756032;11729408;234538663936;7;1
2019-05-20T10:08:00+02:00;17114500000;12094464;11927040;234539712512;4;1
2019-05-20T10:10:00+02:00;18100000000;12721152;13794304;234536566784;5;5
2019-05-20T10:12:00+02:00;15447000000;14101504;13992960;234527653888;7.5;5.5
2019-05-20T10:14:00+02:00;17831000000;14267904;14719488;234528178176;4;0
2019-05-20T10:16:00+02:00;16785000000;16950272;16493568;234522411008;3.5;6.5
2019-05-20T10:18:00+02:00;15140500000;16497664;16931328;234528702464;4.5;1
2019-05-20T10:20:00+02:00;19349000000;15053824;16406528;234530799616;5;0.5
2019-05-20T10:22:00+02:00;17403000000;14438912;15344640;234551771136;15.5;3
2019-05-20T10:24:00+02:00;17408500000;14307840;14533120;234538139648;1.5;1
2019-05-20T10:26:00+02:00;16850000000;17866752;18186240;234542333952;2.5;2.5
2019-05-20T10:28:00+02:00;18003500000;14993920;15363584;234534469632;5;5
2019-05-20T10:30:00+02:00;16358500000;13132800;14253056;234538139648;4;5
2019-05-20T10:32:00+02:00;20098500000;14887424;17886720;234533945344;2.5;1.5
2019-05-20T10:34:00+02:00;17328500000;15977984;15912448;234539188224;2.5;1
2019-05-20T10:36:00+02:00;18237500000;16320512;16715776;234563305472;1;1
2019-05-20T10:38:00+02:00;18715500000;18557952;20780544;234547052544;1.5;1
2019-05-20T10:40:00+02:00;19696500000;16992768;19665408;234539712512;2.5;1
2019-05-20T10:42:00+02:00;20035500000;16228864;17866240;234560159744;4.5;0
2019-05-20T10:44:00+02:00;20367500000;15331328;17253888;234557014016;7;1.5
2019-05-20T10:46:00+02:00;20680000000;16724480;16962560;234537091072;1;3
2019-05-20T10:48:00+02:00;17510000000;14336000;14837760;234539712512;1;1
2019-05-20T10:50:00+02:00;18805000000;16230912;17576448;234537091072;3;0.5
2019-05-20T10:52:00+02:00;18954500000;17733632;19432448;234539188224;0.5;1
2019-05-20T10:54:00+02:00;17296000000;17706496;17748992;234547576832;1;0
2019-05-20T10:56:00+02:00;18562500000;20703232;21192704;234544431104;3;7
2019-05-20T10:58:00+02:00;17425000000;18837504;18904576;234544431104;5;1
2019-05-20T11:00:00+02:00;16910500000;17409536;18326528;234544431104;3.5;1
2019-05-20T11:02:00+02:00;15995500000;17617408;20998144;234534469632;0.5;5
2019-05-20T11:04:00+02:00;20026500000;17751040;17988608;234547576832;2;0
2019-05-20T11:06:00+02:00;19975500000;16517120;17018880;234540761088;6.5;2
2019-05-20T11:08:00+02:00;18240500000;18735104;18494976;234541285376;3;3
2019-05-20T11:10:00+02:00;19174000000;17265664;17687552;234542858240;2.5;1.5
2019-05-20T11:12:00+02:00;17991000000;17456640;17408512;234544955392;4;1
2019-05-20T11:14:00+02:00;19860500000;20501504;20528128;234584276992;1.5;2
2019-05-20T11:16:00+02:00;17793000000;19424256;19571200;234581131264;1;1.5
2019-05-20T11:18:00+02:00;17237500000;20897792;20886528;234577985536;2;2
