Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-05-15T06:00:00+02:00;14102677966;2,2778E+11;4239064;3340218;1;9;11
2019-05-15T07:00:00+02:00;15391533333;2,29777E+11;10486459;12178585;1;9;10
2019-05-15T08:00:00+02:00;17160355932;2,34005E+11;9735584;11451721;1;9;5
2019-05-15T09:00:00+02:00;18467458333;2,33346E+11;5627477;5695146;1;9;11
2019-05-15T10:00:00+02:00;17510583332;2,35834E+11;9246667;9607236;1;8;2
2019-05-15T11:00:00+02:00;16439965516;2,40511E+11;12521075;8520146;1;8;3
2019-05-15T12:00:00+02:00;19259366665;2,49589E+11;17743427;17530367;1;5;1
2019-05-15T13:00:00+02:00;18509833332;2,4462E+11;19782371;24156870;1;8;5
2019-05-15T14:00:00+02:00;16292999999;2,39131E+11;11948735;13000447;1;7;0
2019-05-15T15:00:00+02:00;18439699999;2,39249E+11;9918783;18695125;1;11;4
2019-05-15T16:00:00+02:00;18138700000;2,39157E+11;10877354;10528648;1;12;7
2019-05-15T17:00:00+02:00;16904366666;2,39557E+11;13431893;13163741;1;15;10
2019-05-15T18:00:00+02:00;22487700000;2,39525E+11;19592774;22519490;1;30;46
2019-05-15T19:00:00+02:00;21606333333;2,39532E+11;26388411;26136593;1;13;4
2019-05-15T20:00:00+02:00;22218000000;2,39512E+11;29844957;29568494;1;12;4
2019-05-15T21:00:00+02:00;20994666666;2,39519E+11;28600927;29541861;1;12;4
2019-05-15T22:00:00+02:00;19359450000;2,39525E+11;25331131;25264486;1;14;5
2019-05-15T23:00:00+02:00;18543983333;2,39109E+11;18674636;19387665;1;9;11
2019-05-16T00:00:00+02:00;14939233333;2,39869E+11;15804620;11517457;1;11;12
2019-05-16T01:00:00+02:00;13618366666;2,42214E+11;6020198;26699758;1;10;11
2019-05-16T02:00:00+02:00;13404366666;2,42201E+11;3511910;5918276;1;9;16
2019-05-16T03:00:00+02:00;14469066666;2,57949E+11;8049937;2274918;1;21;42
2019-05-16T04:00:00+02:00;14135816666;2,63698E+11;1338811;2343560;1;17;63
2019-05-16T05:00:00+02:00;13988750000;2,64398E+11;1118754;1352209;1;7;7
2019-05-16T06:00:00+02:00;12231100000;2,64978E+11;1336610;3968017;1;8;7
2019-05-16T07:00:00+02:00;13926566666;2,57234E+11;4976708;7492454;1;10;10
2019-05-16T08:00:00+02:00;16258716666;2,47909E+11;7926681;8976162;1;11;3
2019-05-16T09:00:00+02:00;18614616666;2,47887E+11;10401996;11680631;1;14;13
2019-05-16T10:00:00+02:00;17373683333;2,47924E+11;5112832;5246754;1;14;9
2019-05-16T11:00:00+02:00;17575216666;2,47957E+11;5886429;8189047;1;12;6
2019-05-16T12:00:00+02:00;17909583333;2,4805E+11;13377449;24526466;1;12;5
2019-05-16T13:00:00+02:00;18309133333;2,48076E+11;20385350;20207510;1;13;6
2019-05-16T14:00:00+02:00;19659450000;2,48054E+11;17159133;18956475;1;12;5
2019-05-16T15:00:00+02:00;19388000000;2,4803E+11;16977681;16910336;1;12;4
