Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-01-11T18:00:00+01:00;10413483333;2,32688E+11;1906551;1505143;1;13;4
2019-01-11T19:00:00+01:00;10809016666;2,34496E+11;12020787;17744349;1;11;5
2019-01-11T20:00:00+01:00;8478933333;2,32695E+11;1539654;3721357;1;8;15
2019-01-11T21:00:00+01:00;9655416666;2,33736E+11;7678515;11272038;1;10;5
2019-01-11T22:00:00+01:00;9700250000;2,32721E+11;1870362;3616663;1;9;4
2019-01-11T23:00:00+01:00;8605850000;2,32697E+11;1382903;867848;1;8;6
2019-01-12T00:00:00+01:00;9526416666;2,34001E+11;6178235;8764893;1;11;8
2019-01-12T01:00:00+01:00;9773883333;2,32822E+11;1554585;26047402;1;11;11
2019-01-12T02:00:00+01:00;9013983333;2,34655E+11;4021230;16497902;1;12;18
2019-01-12T03:00:00+01:00;9352733333;2,334E+11;2404471;9178658;1;10;9
2019-01-12T04:00:00+01:00;8153883333;2,33081E+11;1264798;748861;1;13;19
2019-01-12T05:00:00+01:00;7879600000;2,33085E+11;1167602;818210;1;7;2
2019-01-12T06:00:00+01:00;8447666666;2,38775E+11;1065636;799310;1;12;16
2019-01-12T07:00:00+01:00;8379100000;2,40802E+11;1185587;636996;1;11;0
2019-01-12T08:00:00+01:00;8881016666;2,38147E+11;1260407;2543308;1;10;2
2019-01-12T09:00:00+01:00;9809616666;2,37736E+11;2017655;1023914;1;11;2
2019-01-12T10:00:00+01:00;10026166666;2,39325E+11;1387741;1674973;1;11;0
2019-01-12T11:00:00+01:00;9425750000;2,39356E+11;1804663;1355093;1;8;3
2019-01-12T12:00:00+01:00;9563033333;2,39324E+11;1504573;1876903;1;8;11
2019-01-12T13:00:00+01:00;10367950000;2,40279E+11;10835343;9082810;1;8;3
2019-01-12T14:00:00+01:00;10479066666;2,39375E+11;1463244;1128704;1;11;2
2019-01-12T15:00:00+01:00;10973200000;2,39476E+11;1683558;1090645;1;10;8
2019-01-12T16:00:00+01:00;11089083333;2,39447E+11;1734331;1497378;1;8;5
2019-01-12T17:00:00+01:00;10531650000;2,39384E+11;1719637;8408934;1;11;8
2019-01-12T18:00:00+01:00;10735283333;2,38573E+11;1586450;1159771;1;14;1
2019-01-12T19:00:00+01:00;11365383333;2,38432E+11;1821593;1161147;1;5;0
2019-01-12T20:00:00+01:00;10466916666;2,38387E+11;1641472;4662341;1;7;29
2019-01-12T21:00:00+01:00;10514350000;2,38383E+11;1518677;4021452;1;7;1
2019-01-12T22:00:00+01:00;10498433333;2,38759E+11;1350797;933905;1;7;3
2019-01-12T23:00:00+01:00;10701116666;2,38929E+11;1356817;617113;1;8;1
2019-01-13T00:00:00+01:00;10390366666;2,37198E+11;1329561;821418;1;10;13
2019-01-13T01:00:00+01:00;10224966666;2,34777E+11;1742165;20561834;1;16;11
2019-01-13T02:00:00+01:00;8698050000;2,42734E+11;3203737;907076;1;11;14
2019-01-13T03:00:00+01:00;8885166666;2,41844E+11;1080115;1404723;1;9;24
2019-01-13T04:00:00+01:00;7559283333;2,40363E+11;1000482;507591;1;13;35
2019-01-13T05:00:00+01:00;7343633333;2,40567E+11;905710;740266;1;7;2
2019-01-13T06:00:00+01:00;7577766666;2,40587E+11;951193;505702;1;8;7
2019-01-13T07:00:00+01:00;7530083333;2,40593E+11;924876;864085;1;15;4
2019-01-13T08:00:00+01:00;8695566666;2,40602E+11;980923;772215;1;6;0
2019-01-13T09:00:00+01:00;11503400000;2,40602E+11;2514824;2091912;1;9;0
2019-01-13T10:00:00+01:00;12196650000;2,40623E+11;1628586;2394726;1;9;4
2019-01-13T11:00:00+01:00;12273633333;2,33346E+11;1868936;5906653;1;14;22
2019-01-13T12:00:00+01:00;12185533333;2,40293E+11;3699490;2264166;1;10;10
2019-01-13T13:00:00+01:00;11601000000;2,44986E+11;1669410;1160004;1;11;0
2019-01-13T14:00:00+01:00;10977700000;2,44846E+11;1838165;8094600;1;11;4
2019-01-13T15:00:00+01:00;11546716666;2,44231E+11;1940138;3472759;1;12;5
2019-01-13T16:00:00+01:00;12177633333;2,30915E+11;1827961;2370594;1;11;12
2019-01-13T17:00:00+01:00;12316733333;2,38322E+11;3865224;1883170;1;15;17
2019-01-13T18:00:00+01:00;11016150000;2,39383E+11;2192418;1999598;1;20;19
2019-01-13T19:00:00+01:00;11126450000;2,39794E+11;5848428;4180801;1;14;18
2019-01-13T20:00:00+01:00;10352233333;2,39337E+11;1871360;6099268;1;14;30
2019-01-13T21:00:00+01:00;10515766666;2,39225E+11;1992345;1729843;1;13;21
2019-01-13T22:00:00+01:00;11457383333;2,39236E+11;2146372;1877230;1;14;35
2019-01-13T23:00:00+01:00;11042733333;2,39268E+11;1581576;970491;1;16;15
2019-01-14T00:00:00+01:00;8809150000;2,3992E+11;4980377;3095125;1;12;16
2019-01-14T01:00:00+01:00;9332650000;2,41699E+11;5947886;25432456;1;27;52
2019-01-14T02:00:00+01:00;9044066666;2,47187E+11;7719697;19776290;1;25;62
2019-01-14T03:00:00+01:00;8670783333;2,43924E+11;6870987;4737735;1;16;27
2019-01-14T04:00:00+01:00;8296500000;2,4613E+11;2035575;5587148;1;13;41
