Time;dsi-openmanage: CPU usage;IF-MSSQL-TESTS: CPU usage;PCT-QRC-TEAM: CPU usage;MATEIS-CHIMITHEQUE: CPU usage;MSIF2018-WEB: CPU usage;MSIF2018-MID: CPU usage;CETHIL-FLEXLM2: CPU usage;HEBERGEMENTS: CPU usage;MOUVINSA-PRIV: CPU usage;MOUVINSA: CPU usage;TC-NET3: CPU usage
2019-06-06T12:43:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:44:00+02:00;74000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T12:45:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:46:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:47:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:48:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:49:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:50:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:51:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T12:52:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:53:00+02:00;74000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T12:54:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:55:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:56:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:57:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:58:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:59:00+02:00;55000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T13:00:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:01:00+02:00;93000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:02:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:03:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:04:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:05:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T13:06:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:07:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:08:00+02:00;74000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T13:09:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:10:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T13:11:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:12:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:13:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:14:00+02:00;74000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T13:15:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:16:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:17:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:18:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:19:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:20:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T13:21:00+02:00;74000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T13:22:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:23:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:24:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T13:25:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:26:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:27:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:28:00+02:00;55000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T13:29:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:30:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:31:00+02:00;93000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:32:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:33:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:34:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:35:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:36:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:37:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:38:00+02:00;74000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T13:39:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T13:40:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:41:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:42:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:43:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:44:00+02:00;74000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T13:45:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:46:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:47:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:48:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:49:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:50:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T13:51:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:52:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:53:00+02:00;74000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T13:54:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:55:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:56:00+02:00;93000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T13:57:00+02:00;74000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T13:58:00+02:00;74000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T13:59:00+02:00;74000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T14:00:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:01:00+02:00;390000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:02:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:03:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:04:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:05:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:06:00+02:00;93000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:07:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:08:00+02:00;74000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T14:09:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:10:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:11:00+02:00;93000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:12:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:13:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:14:00+02:00;74000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T14:15:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:16:00+02:00;93000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:17:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:18:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:19:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:20:00+02:00;74000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T14:21:00+02:00;111000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:22:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
