TimeT,CPU usage,Used memory,Number of bytes received,Number of bytes transmitted,Overall status
09-07T05:42,2287500000.0,75595513856.0,828416.0,360448.0,1.0
09-07T05:44,2972000000.0,75543085056.0,1305088.0,456192.0,1.0
09-07T05:46,2131000000.0,75574018048.0,1085440.0,20647424.0,1.0
09-07T05:48,3409000000.0,75586600960.0,925696.0,522752.0,1.0
09-07T05:50,3026000000.0,75623825408.0,1794560.0,19438592.0,1.0
09-07T05:52,2867000000.0,75519492096.0,721408.0,315392.0,1.0
09-07T05:54,2163500000.0,75568775168.0,1526272.0,429056.0,1.0
09-07T05:56,3076000000.0,75603902464.0,1065472.0,18442752.0,1.0
09-07T05:58,2417500000.0,75602329600.0,839168.0,370176.0,1.0
09-07T06:00,2867500000.0,75509006336.0,1532416.0,19631616.0,1.0
09-07T06:02,2093500000.0,75538890752.0,931328.0,304128.0,1.0
09-07T06:04,2592000000.0,75624349696.0,1341440.0,1131008.0,1.0
09-07T06:06,3377000000.0,75607572480.0,1038336.0,19045888.0,1.0
09-07T06:08,2679000000.0,75679924224.0,7013376.0,5640192.0,1.0
09-07T06:10,2474000000.0,75554095104.0,1497600.0,18434560.0,1.0
09-07T06:12,2726500000.0,75572969472.0,837120.0,491008.0,1.0
09-07T06:14,3125500000.0,75625398272.0,1485824.0,367104.0,1.0
09-07T06:16,3186500000.0,75537317888.0,998400.0,18191872.0,1.0
09-07T06:18,2714500000.0,75526307840.0,809472.0,361984.0,1.0
09-07T06:20,2801000000.0,75545706496.0,1686016.0,18006528.0,1.0
09-07T06:22,2654500000.0,75569299456.0,2267648.0,378880.0,1.0
09-07T06:24,2194000000.0,75571396608.0,1632768.0,450048.0,1.0
09-07T06:26,2963500000.0,75509530624.0,880640.0,17463296.0,1.0
09-07T06:28,2208500000.0,75550425088.0,894464.0,1306624.0,1.0
09-07T06:30,2926500000.0,75574542336.0,1347584.0,16883712.0,1.0
09-07T06:32,2424500000.0,75552522240.0,815616.0,338944.0,1.0
09-07T06:34,2126000000.0,75571396608.0,1524224.0,408576.0,1.0
09-07T06:36,3108500000.0,75585552384.0,979456.0,16615424.0,1.0
09-07T06:38,2573500000.0,75583979520.0,831488.0,366592.0,1.0
09-07T06:40,3058500000.0,75631165440.0,1464320.0,16131584.0,1.0
09-07T06:42,3392500000.0,75550949376.0,922112.0,936960.0,1.0
09-07T06:44,2225000000.0,75544133632.0,1463808.0,358400.0,1.0
09-07T06:46,3869000000.0,75565629440.0,982528.0,15523840.0,1.0
09-07T06:48,2242000000.0,75600756736.0,809984.0,316928.0,1.0
09-07T06:50,2686500000.0,75516346368.0,1588224.0,14787072.0,1.0
09-07T06:52,2412500000.0,75544657920.0,811520.0,308736.0,1.0
09-07T06:54,2439500000.0,75561959424.0,2291200.0,409088.0,1.0
09-07T06:56,3052000000.0,75610718208.0,990208.0,14445568.0,1.0
09-07T06:58,2151500000.0,75517394944.0,896000.0,270848.0,1.0
09-07T07:00,3045000000.0,75569299456.0,1437696.0,14571008.0,1.0
09-07T07:02,2346000000.0,75592892416.0,845824.0,271872.0,1.0
09-07T07:04,2583000000.0,75623301120.0,1845248.0,394240.0,1.0
09-07T07:06,2925000000.0,75578212352.0,956416.0,14170112.0,1.0
09-07T07:08,3310500000.0,75633262592.0,3051520.0,5704704.0,1.0
09-07T07:10,3287500000.0,75641126912.0,1667072.0,14042624.0,1.0
09-07T07:12,3843000000.0,75591843840.0,841216.0,383488.0,1.0
09-07T07:14,2096500000.0,75550949376.0,1495040.0,390656.0,1.0
09-07T07:16,3129000000.0,75598135296.0,920576.0,13350400.0,1.0
09-07T07:18,2128500000.0,75565105152.0,919552.0,290304.0,1.0
09-07T07:20,3469000000.0,75650039808.0,1564160.0,13703680.0,1.0
09-07T07:22,2244000000.0,75573493760.0,728576.0,301056.0,1.0
09-07T07:24,2075000000.0,75560910848.0,1272320.0,390656.0,1.0
09-07T07:26,2976000000.0,75604426752.0,979968.0,12484608.0,1.0
09-07T07:28,2384000000.0,75603902464.0,927232.0,443392.0,1.0
