 ;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-07-14T09:00:00+02:00;5431466666;1,49733E+11;1354513;2649821;1;11;14
2019-07-14T10:00:00+02:00;5261966666;1,4975E+11;344456;6524654;1;17;5
2019-07-14T11:00:00+02:00;6828150000;1,50256E+11;318600;6154018;1;16;18
2019-07-14T12:00:00+02:00;5538433333;1,49729E+11;300492;866662;1;12;4
2019-07-14T13:00:00+02:00;5407316666;1,49735E+11;271394;704938;1;12;13
2019-07-14T14:00:00+02:00;5325550000;1,49745E+11;280132;1992430;1;18;70
2019-07-14T15:00:00+02:00;7360400000;1,50692E+11;295782;1245166;1;17;14
2019-07-14T16:00:00+02:00;5662650000;1,49739E+11;287607;614758;1;19;68
2019-07-14T17:00:00+02:00;5235183333;1,49731E+11;291549;761446;1;14;19
2019-07-14T18:00:00+02:00;5596233333;1,49742E+11;293000;992409;1;21;10
2019-07-14T19:00:00+02:00;5538466666;1,49908E+11;302506;744413;1;12;3
2019-07-14T20:00:00+02:00;6175516666;1,49896E+11;286976;2081843;1;13;7
2019-07-14T21:00:00+02:00;5587666666;1,50607E+11;296157;4735163;1;15;7
2019-07-14T22:00:00+02:00;5288716666;1,5092E+11;240240;595968;1;13;44
2019-07-14T23:00:00+02:00;5525466666;1,50928E+11;278169;1088494;1;16;23
2019-07-15T00:00:00+02:00;6134783333;1,50915E+11;836488;1581380;1;21;55
2019-07-15T01:00:00+02:00;5423366666;1,50873E+11;509371;18851379;1;20;33
2019-07-15T02:00:00+02:00;7711116666;1,50848E+11;3774359;21970735;1;18;61
2019-07-15T03:00:00+02:00;7223483333;1,50856E+11;588151;17824494;1;23;21
2019-07-15T04:00:00+02:00;6524216666;1,50861E+11;271684;3179229;1;20;86
2019-07-15T05:00:00+02:00;6195183333;1,50877E+11;255266;620253;1;15;9
2019-07-15T06:00:00+02:00;5657233333;1,5089E+11;303206;733218;1;17;62
2019-07-15T07:00:00+02:00;5809100000;1,50693E+11;3280791;3765716;1;19;7
2019-07-15T08:00:00+02:00;7462733333;1,48543E+11;2236825;68185070;1;19;11
2019-07-15T09:00:00+02:00;7504450000;1,46394E+11;3748539;96914653;1;25;8
2019-07-15T10:00:00+02:00;7948833333;1,46407E+11;2068889;67036996;1;36;13
2019-07-15T11:00:00+02:00;7048555555;1,46399E+11;603932;1467392;1;33;3
2019-07-15T12:00:00+02:00;9473375000;1,45226E+11;809764;1600128;1;18;11
2019-07-15T13:00:00+02:00;9889050000;1,47964E+11;2411110;3020288;1;29;67
2019-07-15T14:00:00+02:00;12212383333;1,47971E+11;727740;9700531;1;35;17
2019-07-15T15:00:00+02:00;10290366666;1,39143E+11;1281979;38520678;1;23;12
2019-07-15T16:00:00+02:00;7705816666;1,3419E+11;626551;4262195;1;16;13
2019-07-15T17:00:00+02:00;5138016666;1,33924E+11;533627;7974188;1;21;12
2019-07-15T18:00:00+02:00;5943950000;1,33913E+11;350549;989542;1;25;12
2019-07-15T19:00:00+02:00;4686116666;1,38548E+11;2496290;964932;1;8;9
2019-07-15T20:00:00+02:00;6036250000;1,47017E+11;4424362;652748;1;16;3
2019-07-15T21:00:00+02:00;7527966666;1,59758E+11;423731;3965474;1;12;12
2019-07-15T22:00:00+02:00;10179466666;1,59737E+11;350173;654318;1;20;10
2019-07-15T23:00:00+02:00;7790033333;1,59732E+11;350924;1256226;1;17;43
2019-07-16T00:00:00+02:00;7845533333;1,59856E+11;369134;2882713;1;16;21
2019-07-16T01:00:00+02:00;7397950000;1,59888E+11;405433;8495051;1;16;35
2019-07-16T02:00:00+02:00;8637483333;1,59275E+11;768273;30499464;1;19;18
2019-07-16T03:00:00+02:00;7824316666;1,55503E+11;691968;30325265;1;16;24
2019-07-16T04:00:00+02:00;7599533333;1,55502E+11;668672;26193339;1;25;89
2019-07-16T05:00:00+02:00;8393533333;1,55504E+11;278545;4456482;1;12;6
2019-07-16T06:00:00+02:00;7283766666;1,55478E+11;221218;615236;1;18;24
2019-07-16T07:00:00+02:00;7332250000;1,55492E+11;1830130;2187749;1;21;35
2019-07-16T08:00:00+02:00;7618583333;1,55514E+11;268817;1010909;1;27;4
2019-07-16T09:00:00+02:00;8673683333;1,52746E+11;1590408;56466858;1;27;19
2019-07-16T10:00:00+02:00;10732566666;1,49081E+11;1599505;59209519;1;22;15
2019-07-16T11:00:00+02:00;8847235294;1,49065E+11;731858;13720395;1;15;15
2019-07-16T12:00:00+02:00;9699716666;1,4847E+11;753766;17528576;1;19;7
2019-07-16T13:00:00+02:00;10243450000;1,481E+11;886784;26495624;1;26;25
2019-07-16T14:00:00+02:00;9402116666;1,45607E+11;467285;1679564;1;32;14
2019-07-16T15:00:00+02:00;8297000000;1,42555E+11;809574;12353382;1;23;12
2019-07-16T16:00:00+02:00;9041133333;1,36311E+11;1103472;30677425;1;18;9
2019-07-16T17:00:00+02:00;7245933333;1,32698E+11;400981;708778;1;20;7
2019-07-16T18:00:00+02:00;6920800000;1,32707E+11;282692;726852;1;19;25
2019-07-16T19:00:00+02:00;6453916666;1,32788E+11;298581;671965;1;9;5
2019-07-16T20:00:00+02:00;7238616666;1,32782E+11;376337;641962;1;7;1
2019-07-16T21:00:00+02:00;7030433333;1,32582E+11;287969;4174605;1;8;5
2019-07-16T22:00:00+02:00;10035816666;1,3258E+11;206028;512597;1;6;2
2019-07-16T23:00:00+02:00;8060733333;1,32539E+11;180326;851694;1;7;5
2019-07-17T00:00:00+02:00;8394383333;1,32655E+11;180787;2292565;1;14;86
2019-07-17T01:00:00+02:00;6735116666;1,32716E+11;412842;10810282;1;11;15
2019-07-17T02:00:00+02:00;8451483333;1,32694E+11;746444;34729096;1;7;15
2019-07-17T03:00:00+02:00;6945966666;1,32581E+11;782011;34854331;1;8;29
2019-07-17T04:00:00+02:00;7197016666;1,32568E+11;507989;16661282;1;8;3
2019-07-17T05:00:00+02:00;7333716666;1,3257E+11;175684;1602969;1;8;26
2019-07-17T06:00:00+02:00;7279516666;1,32589E+11;196710;1002069;1;9;28
2019-07-17T07:00:00+02:00;6769916666;1,32627E+11;201045;600951;1;8;1
2019-07-17T08:00:00+02:00;8570150000;1,29935E+11;1141572;16995003;1;8;2
2019-07-17T09:00:00+02:00;9842766666;1,22978E+11;910474;10988144;1;12;10
2019-07-17T10:00:00+02:00;11322900000;1,37825E+11;1524570;774276;1;11;2
2019-07-17T11:00:00+02:00;12644966666;1,42691E+11;811008;10317499;1;10;2
2019-07-17T12:00:00+02:00;9238350000;1,39384E+11;405794;884923;1;8;2
2019-07-17T13:00:00+02:00;10068916666;1,39386E+11;366796;672170;1;7;1
2019-07-17T14:00:00+02:00;11760733333;1,3938E+11;390980;878028;1;10;7
2019-07-17T15:00:00+02:00;10790350000;1,39387E+11;492714;1187140;1;10;3
2019-07-17T16:00:00+02:00;11270150000;1,39405E+11;454638;824695;1;10;2
2019-07-17T17:00:00+02:00;7753400000;1,39417E+11;453973;894481;1;7;9
2019-07-17T18:00:00+02:00;11413866666;1,39381E+11;368128;732583;1;9;7
2019-07-17T19:00:00+02:00;7054816666;1,39382E+11;268902;551662;1;9;5
2019-07-17T20:00:00+02:00;7793233333;1,394E+11;318566;616140;1;7;9
2019-07-17T21:00:00+02:00;7862533333;1,39407E+11;319351;4232499;1;6;2
2019-07-17T22:00:00+02:00;10673466666;1,39427E+11;281224;1822976;1;7;4
2019-07-17T23:00:00+02:00;6884433333;1,39348E+11;220006;832921;1;9;5
2019-07-18T00:00:00+02:00;7370050000;1,39415E+11;213742;1904093;1;16;32
2019-07-18T01:00:00+02:00;6952700000;1,39505E+11;438653;16765118;1;8;5
2019-07-18T02:00:00+02:00;7856533333;1,3941E+11;644078;26994892;1;11;10
2019-07-18T03:00:00+02:00;8142500000;1,39389E+11;583304;22356497;1;11;10
2019-07-18T04:00:00+02:00;7452633333;1,39344E+11;354560;5506850;1;10;33
2019-07-18T05:00:00+02:00;7701950000;1,39321E+11;310118;476330;1;7;5
2019-07-18T06:00:00+02:00;7261516666;1,39338E+11;260044;1560917;1;11;4
2019-07-18T07:00:00+02:00;7656083333;1,39366E+11;246442;1031185;1;10;2
2019-07-18T08:00:00+02:00;9054700000;1,3939E+11;1638229;52348450;1;11;2
2019-07-18T09:00:00+02:00;8563500000;1,35605E+11;577032;6204988;1;10;7
2019-07-18T10:00:00+02:00;8729383333;1,35264E+11;591018;1033472;1;11;3
2019-07-18T11:00:00+02:00;7823216666;1,32611E+11;537429;6709248;1;10;9
2019-07-18T12:00:00+02:00;8357533333;1,31029E+11;387328;840891;1;10;10
2019-07-18T13:00:00+02:00;7261616666;1,3091E+11;382038;748266;1;10;5
2019-07-18T14:00:00+02:00;7924433333;1,30309E+11;464537;2153472;1;13;16
2019-07-18T15:00:00+02:00;7604133333;1,24775E+11;459845;851950;1;11;7
2019-07-18T16:00:00+02:00;8993800000;1,21833E+11;588629;1933021;1;13;8
2019-07-18T17:00:00+02:00;8063850000;1,21846E+11;482457;770457;1;10;8
2019-07-18T18:00:00+02:00;7677500000;1,21863E+11;345463;1033335;1;9;4
2019-07-18T19:00:00+02:00;8771283333;1,21832E+11;295731;721134;1;9;8
2019-07-18T20:00:00+02:00;6733050000;1,21832E+11;241578;995481;1;10;1
2019-07-18T21:00:00+02:00;6941533333;1,21845E+11;302933;3161463;1;6;12
2019-07-18T22:00:00+02:00;10016883333;1,21867E+11;237192;1082487;1;9;2
2019-07-18T23:00:00+02:00;6706533333;1,21879E+11;285435;913217;1;7;1
2019-07-19T00:00:00+02:00;6578816666;1,21952E+11;394973;1247368;1;14;24
2019-07-19T01:00:00+02:00;6827433333;1,21885E+11;449006;19547374;1;10;5
2019-07-19T02:00:00+02:00;8448183333;1,21861E+11;776908;34979822;1;7;11
2019-07-19T03:00:00+02:00;7653183333;1,21869E+11;818858;37796846;1;7;6
2019-07-19T04:00:00+02:00;6769566666;1,21868E+11;211643;2466150;1;7;4
2019-07-19T05:00:00+02:00;7138683333;1,21842E+11;175274;316654;1;7;3
2019-07-19T06:00:00+02:00;6576916666;1,21779E+11;189849;1731942;1;7;7
2019-07-19T07:00:00+02:00;6604033333;1,21803E+11;266018;1414468;1;8;11
2019-07-19T08:00:00+02:00;9917750000;1,21797E+11;441787;1594828;1;10;7
2019-07-19T09:00:00+02:00;10369550000;1,19229E+11;396902;2104729;1;10;8
2019-07-19T10:00:00+02:00;8317750000;1,17529E+11;501128;949469;1;12;18
2019-07-19T11:00:00+02:00;8983050000;1,17541E+11;552089;869154;1;10;7
2019-07-19T12:00:00+02:00;8103516666;1,17562E+11;575334;781243;1;9;27
2019-07-19T13:00:00+02:00;9270416666;1,17552E+11;456567;869905;1;8;1
2019-07-19T14:00:00+02:00;11619450000;1,17518E+11;707242;2723908;1;8;3
2019-07-19T15:00:00+02:00;10698183333;1,1752E+11;462080;1029905;1;9;7
2019-07-19T16:00:00+02:00;11783600000;1,17535E+11;443136;979302;1;8;3
2019-07-19T17:00:00+02:00;9674866666;1,17546E+11;325256;751121;1;7;5
2019-07-19T18:00:00+02:00;7670000000;1,17677E+11;321293;873454;1;7;2
2019-07-19T19:00:00+02:00;6858583333;1,17704E+11;248166;529476;1;6;1
2019-07-19T20:00:00+02:00;7981933333;1,17685E+11;250453;1585476;1;6;6
2019-07-19T21:00:00+02:00;7535650000;1,17686E+11;308428;5569194;1;6;5
2019-07-19T22:00:00+02:00;8337600000;1,17685E+11;226662;803225;1;5;1
2019-07-19T23:00:00+02:00;6411200000;1,17677E+11;216602;781259;1;5;2
2019-07-20T00:00:00+02:00;6221566666;1,17641E+11;193382;1034188;1;15;34
2019-07-20T01:00:00+02:00;6231866666;1,17552E+11;427281;19338905;1;8;5
2019-07-20T02:00:00+02:00;7098616666;1,17343E+11;698350;30546346;1;7;7
2019-07-20T03:00:00+02:00;6556900000;1,17353E+11;921309;39551146;1;8;42
2019-07-20T04:00:00+02:00;4602533333;1,17359E+11;1915682;17690026;1;7;3
2019-07-20T05:00:00+02:00;4729966666;1,1741E+11;156125;784093;1;4;2
2019-07-20T06:00:00+02:00;4750783333;1,17469E+11;151357;290127;1;6;7
2019-07-20T07:00:00+02:00;3943683333;1,17461E+11;315733;969506;1;8;1
2019-07-20T08:00:00+02:00;2853633333;1,17463E+11;200652;314931;1;6;4
2019-07-20T09:00:00+02:00;2590333333;1,17456E+11;198894;350771;1;6;1
2019-07-20T10:00:00+02:00;3447466666;1,17475E+11;232106;368827;1;8;2
2019-07-20T11:00:00+02:00;3335766666;1,1746E+11;173107;363912;1;4;6
2019-07-20T12:00:00+02:00;3456216666;1,17524E+11;252484;396509;1;5;3
2019-07-20T13:00:00+02:00;3305166666;1,17477E+11;206301;515584;1;6;1
2019-07-20T14:00:00+02:00;2980066666;1,17472E+11;240076;429329;1;5;1
2019-07-20T15:00:00+02:00;3871650000;1,33466E+11;4464501;495008;1;6;3
2019-07-20T16:00:00+02:00;4158716666;1,34708E+11;243541;366745;1;7;4
2019-07-20T17:00:00+02:00;3986650000;1,34681E+11;1463978;1666235;1;5;4
2019-07-20T18:00:00+02:00;4515633333;1,34676E+11;449394;2511395;1;6;81
2019-07-20T19:00:00+02:00;4345783333;1,34685E+11;210249;318482;1;4;3
2019-07-20T20:00:00+02:00;3922466666;1,34713E+11;232192;502374;1;5;3
2019-07-20T21:00:00+02:00;5334083333;1,34693E+11;306585;2886417;1;5;2
2019-07-20T22:00:00+02:00;5752666666;1,34674E+11;192972;431940;1;5;3
2019-07-20T23:00:00+02:00;4656133333;1,34688E+11;207820;565981;1;5;3
2019-07-21T00:00:00+02:00;6286033333;1,34598E+11;228198;715912;1;11;24
2019-07-21T01:00:00+02:00;5889466666;1,34462E+11;525175;23222016;1;9;11
2019-07-21T02:00:00+02:00;5166583333;1,34477E+11;679526;28737484;1;6;11
2019-07-21T03:00:00+02:00;4444900000;1,34471E+11;864836;42941798;1;6;7
2019-07-21T04:00:00+02:00;3725800000;1,34463E+11;3107037;36315750;1;5;8
2019-07-21T05:00:00+02:00;4042400000;1,3453E+11;685209;326724;1;4;3
2019-07-21T06:00:00+02:00;5835566666;1,34692E+11;327611;456038;1;6;15
2019-07-21T07:00:00+02:00;4196833333;1,34712E+11;298257;355942;1;7;3
2019-07-21T08:00:00+02:00;4276650000;1,34693E+11;346845;305049;1;7;3
2019-07-21T09:00:00+02:00;3874333333;1,34675E+11;246280;556847;1;8;8
2019-07-21T10:00:00+02:00;3347166666;1,34674E+11;219443;393915;1;5;6
2019-07-21T11:00:00+02:00;3747766666;1,34692E+11;266615;547703;1;5;2
2019-07-21T12:00:00+02:00;3656316666;1,34698E+11;228249;399598;1;7;3
2019-07-21T13:00:00+02:00;3519533333;1,34672E+11;238882;379118;1;8;3
2019-07-21T14:00:00+02:00;3457983333;1,34678E+11;224938;796245;1;7;4
2019-07-21T15:00:00+02:00;4292383333;1,34684E+11;304486;370670;1;5;5
2019-07-21T16:00:00+02:00;5153683333;1,34696E+11;805905;1141811;1;5;8
2019-07-21T17:00:00+02:00;3775383333;1,3471E+11;862172;1172126;1;7;5
2019-07-21T18:00:00+02:00;3683750000;1,34708E+11;288563;393147;1;3;2
2019-07-21T19:00:00+02:00;3455516666;1,34807E+11;230485;340940;1;4;2
2019-07-21T20:00:00+02:00;3711066666;1,3483E+11;216029;1280085;1;11;3
2019-07-21T21:00:00+02:00;4469433333;1,34849E+11;294963;2370235;1;6;4
2019-07-21T22:00:00+02:00;4571550000;1,34857E+11;245435;439739;1;4;3
2019-07-21T23:00:00+02:00;3774983333;1,34844E+11;215330;868966;1;4;4
2019-07-22T00:00:00+02:00;6042166666;1,34683E+11;241612;2472669;1;7;27
2019-07-22T01:00:00+02:00;5324166666;1,34492E+11;611584;35944550;1;10;7
2019-07-22T02:00:00+02:00;5185583333;1,34372E+11;1854464;27201536;1;8;8
2019-07-22T03:00:00+02:00;5602516666;1,34384E+11;901171;41896738;1;9;18
2019-07-22T04:00:00+02:00;6484000000;1,20076E+11;1116472;33220868;1;9;6
2019-07-22T05:00:00+02:00;4481000000;1,17262E+11;192102;281856;1;7;7
2019-07-22T06:00:00+02:00;5704450000;1,17345E+11;266342;441292;1;6;5
2019-07-22T07:00:00+02:00;6193533333;1,17257E+11;268219;498414;1;8;6
2019-07-22T08:00:00+02:00;5040933333;1,17259E+11;509542;521608;1;10;3
2019-07-22T09:00:00+02:00;5632933333;1,14046E+11;563763;8433186;1;10;9
2019-07-22T10:00:00+02:00;6357966666;1,13561E+11;400613;1296542;1;11;11
2019-07-22T11:00:00+02:00;4958450000;1,13582E+11;369868;751633;1;8;12
2019-07-22T12:00:00+02:00;4871566666;1,13672E+11;325137;640409;1;7;5
2019-07-22T13:00:00+02:00;4799733333;1,08669E+11;525414;5231803;1;8;5
2019-07-22T14:00:00+02:00;4748866666;1,0528E+11;978158;2059810;1;11;4
2019-07-22T15:00:00+02:00;4019000000;1,01407E+11;380228;1408716;1;12;6
2019-07-22T16:00:00+02:00;4533916666;95431024093;761873;2562811;1;10;6
2019-07-22T17:00:00+02:00;5930916666;1,32295E+11;15609316;1523693;1;3;9
2019-07-22T18:00:00+02:00;6959433333;1,48658E+11;524834;915165;1;3;3
2019-07-22T19:00:00+02:00;6609516666;1,48628E+11;367325;695227;1;3;2
2019-07-22T20:00:00+02:00;7657866666;1,48632E+11;337083;1124078;1;4;7
2019-07-22T21:00:00+02:00;5747533333;1,48648E+11;343125;2467840;1;3;6
2019-07-22T22:00:00+02:00;7797183333;1,48654E+11;329301;535603;1;3;2
2019-07-22T23:00:00+02:00;7493650000;1,48662E+11;323778;1620356;1;3;4
2019-07-23T00:00:00+02:00;10891183333;1,45598E+11;384307;11127142;1;7;26
2019-07-23T01:00:00+02:00;9290700000;1,31439E+11;712738;24997393;1;5;7
2019-07-23T02:00:00+02:00;7527666666;1,31456E+11;4579106;34917956;1;6;4
2019-07-23T03:00:00+02:00;5779700000;1,31458E+11;826453;31149858;1;7;6
2019-07-23T04:00:00+02:00;3788500000;1,31465E+11;548915;21477290;1;4;3
2019-07-23T05:00:00+02:00;3792833333;1,31436E+11;220484;604945;1;4;2
2019-07-23T06:00:00+02:00;5097083333;1,31733E+11;990225;584925;1;4;6
2019-07-23T07:00:00+02:00;4880016666;1,32002E+11;388744;522069;1;5;5
2019-07-23T08:00:00+02:00;5702983333;1,32003E+11;620449;1653342;1;5;4
2019-07-23T09:00:00+02:00;5874583333;1,30961E+11;633463;1923140;1;7;14
2019-07-23T10:00:00+02:00;6619833333;1,26641E+11;763418;2067386;1;16;52
2019-07-23T11:00:00+02:00;6098533333;1,26649E+11;678570;5590608;1;22;121
2019-07-23T12:00:00+02:00;5949150000;1,26748E+11;472268;656128;1;9;4
2019-07-23T13:00:00+02:00;7527583333;1,22758E+11;597742;8705450;1;7;9
2019-07-23T14:00:00+02:00;7931716666;1,08805E+11;727910;3654144;1;11;7
2019-07-23T15:00:00+02:00;6993700000;1,02072E+11;897604;2589730;1;6;3
2019-07-23T16:00:00+02:00;7021050000;98494508782;658845;574643;1;9;11
2019-07-23T17:00:00+02:00;6780433333;98505711069;429858;448238;1;11;4
2019-07-23T18:00:00+02:00;4916266666;98515008443;254259;370056;1;7;4
2019-07-23T19:00:00+02:00;4711900000;99451281954;1125393;181606;1;4;3
2019-07-23T20:00:00+02:00;4213500000;1,05004E+11;201318;229290;1;5;2
2019-07-23T21:00:00+02:00;5965100000;1,04995E+11;310579;10196206;1;4;3
2019-07-23T22:00:00+02:00;7811316666;1,04999E+11;401800;14761079;1;6;3
2019-07-23T23:00:00+02:00;6584733333;1,05002E+11;213742;755097;1;7;3
2019-07-24T00:00:00+02:00;9167383333;1,05117E+11;5367637;5610837;1;8;23
2019-07-24T01:00:00+02:00;8968783333;1,05147E+11;561254;23506432;1;5;8
2019-07-24T02:00:00+02:00;6645583333;1,05126E+11;575402;23622843;1;4;5
2019-07-24T03:00:00+02:00;4507933333;1,05135E+11;628258;25887914;1;9;7
2019-07-24T04:00:00+02:00;3481600000;1,05139E+11;313702;6861465;1;8;3
2019-07-24T05:00:00+02:00;3537400000;1,05153E+11;204356;128392;1;6;2
2019-07-24T06:00:00+02:00;4372866666;1,05721E+11;223163;211592;1;9;3
2019-07-24T07:00:00+02:00;4337600000;1,06682E+11;767795;249036;1;8;5
2019-07-24T08:00:00+02:00;4920766666;1,06689E+11;763101;3242922;1;5;4
2019-07-24T09:00:00+02:00;5783300000;96503035767;2400085;75008512;1;7;12
2019-07-24T10:00:00+02:00;4958133333;95779955234;2264473;72659097;1;6;15
2019-07-24T11:00:00+02:00;4915433333;87862262715;580966;25390745;1;5;4
2019-07-24T12:00:00+02:00;5790583333;87840836812;622899;11882922;1;5;3
2019-07-24T13:00:00+02:00;2944800000;70296709802;380757;8149367;1;6;5
2019-07-24T14:00:00+02:00;5124266666;70106498116;14980293;384467;1;11;7
2019-07-24T15:00:00+02:00;7996733333;97218479172;1049685;1727214;1;9;10
2019-07-24T16:00:00+02:00;6164666666;97221852091;775098;963427;1;7;7
2019-07-24T17:00:00+02:00;5607583333;97203589393;442726;488226;1;8;6
2019-07-24T18:00:00+02:00;7726166666;97225993966;349610;410043;1;4;4
2019-07-24T19:00:00+02:00;7625016666;97231097036;322304;380313;1;3;5
2019-07-24T20:00:00+02:00;6785550000;97241250747;321638;320034;1;2;2
2019-07-24T21:00:00+02:00;5988633333;97256822101;257518;287402;1;3;3
2019-07-24T22:00:00+02:00;7589750000;97233613619;290474;331366;1;2;4
2019-07-24T23:00:00+02:00;7483933333;91897060829;251221;2299784;1;7;4
2019-07-25T00:00:00+02:00;6420983333;88553414109;206523;402090;1;2;3
2019-07-25T01:00:00+02:00;6630883333;88560142472;862293;47422344;1;8;5
2019-07-25T02:00:00+02:00;7034466666;88561977480;1053320;52704460;1;4;5
2019-07-25T03:00:00+02:00;6201383333;88573634150;888064;43263232;1;6;5
2019-07-25T04:00:00+02:00;4059416666;88591826944;295082;6951014;1;3;4
2019-07-25T05:00:00+02:00;3039633333;88560474521;173277;159573;1;2;4
2019-07-25T06:00:00+02:00;3485250000;88559128849;196454;255163;1;4;4
2019-07-25T07:00:00+02:00;3613583333;88561960004;231236;299212;1;3;4
2019-07-25T08:00:00+02:00;4147483333;88571519522;376422;321621;1;8;4
2019-07-25T09:00:00+02:00;3585516666;77999182097;363468;6724744;1;6;3
2019-07-25T10:00:00+02:00;3081750000;71110631970;276770;297779;1;8;0
2019-07-25T11:00:00+02:00;4829766666;61120498892;338261;5977890;1;5;1
2019-07-25T12:00:00+02:00;2305066666;53370124151;265932;158361;1;6;3
2019-07-25T13:00:00+02:00;3427066666;53413185672;280576;210722;1;8;2
2019-07-25T14:00:00+02:00;2358700000;50566231927;362649;4350310;1;13;4
2019-07-25T15:00:00+02:00;1359433333;29671659929;192955;6560836;1;7;5
2019-07-25T16:00:00+02:00;218866666;19079102464;92108;9642;1;9;6
2019-07-25T17:00:00+02:00;214916666;19095949585;89258;10905;1;8;1
2019-07-25T18:00:00+02:00;267133333;19121692125;92057;119961;1;13;0
2019-07-25T19:00:00+02:00;250066666;19094586436;85026;10257;1;10;0
2019-07-25T20:00:00+02:00;184716666;19091615470;81715;16827;1;1;0
2019-07-25T21:00:00+02:00;201983333;19094848580;97228;9779;1;2;1
2019-07-25T22:00:00+02:00;214866666;19104897433;77346;19848;1;2;1
2019-07-25T23:00:00+02:00;271050000;19123072750;75844;14711;1;0;3
2019-07-26T00:00:00+02:00;291000000;19212498807;74922;19251;1;0;1
2019-07-26T01:00:00+02:00;194050000;19230010026;72294;7389;1;0;0
2019-07-26T02:00:00+02:00;189833333;19233680042;72925;10581;1;1;0
2019-07-26T03:00:00+02:00;246433333;19242592938;71884;16384;1;0;0
2019-07-26T04:00:00+02:00;244383333;19257727385;71509;13397;1;0;0
2019-07-26T05:00:00+02:00;236416666;19254791372;71645;27716;1;0;0
2019-07-26T06:00:00+02:00;203350000;19267269427;73949;12987;1;0;0
2019-07-26T07:00:00+02:00;195283333;19291386675;75110;11400;1;0;0
2019-07-26T08:00:00+02:00;248900000;18606928691;107605;1984358;1;0;0
2019-07-26T09:00:00+02:00;203883333;12397978146;85111;13363;1;0;0
2019-07-26T10:00:00+02:00;245900000;12406401706;95914;12663;1;0;0
2019-07-26T11:00:00+02:00;229183333;12378631918;89685;17032;1;0;0
2019-07-26T12:00:00+02:00;227016666;12380781499;101905;12697;1;0;0
2019-07-26T13:00:00+02:00;260016666;12386810811;84206;19524;1;0;0
2019-07-26T14:00:00+02:00;342366666;12396789760;87466;14813;1;0;2
2019-07-26T15:00:00+02:00;235683333;12412151398;85640;10478;1;0;1
2019-07-26T16:00:00+02:00;249450000;12385709806;132266;141124;1;0;0
2019-07-26T17:00:00+02:00;214083333;12387055479;278869;237154;1;0;0
2019-07-26T18:00:00+02:00;190300000;12391739118;133785;71936;1;0;0
2019-07-26T19:00:00+02:00;192933333;12400145203;67976;15906;1;0;0
2019-07-26T20:00:00+02:00;231150000;12416712704;69819;22954;1;0;0
2019-07-26T21:00:00+02:00;253550000;12402976358;71406;20411;1;0;0
2019-07-26T22:00:00+02:00;179916666;12388663296;140023;20797;1;0;0
2019-07-26T23:00:00+02:00;187716666;12391022592;67584;23330;1;0;0
2019-07-27T00:00:00+02:00;249066666;12397453858;69410;16947;1;0;0
2019-07-27T01:00:00+02:00;223716666;12411085346;66508;15052;1;0;0
2019-07-27T02:00:00+02:00;224366666;12412186350;65228;20070;1;0;0
2019-07-27T03:00:00+02:00;186833333;12387509862;65996;23500;1;0;0
2019-07-27T04:00:00+02:00;179783333;12389065250;64665;16981;1;0;0
2019-07-27T05:00:00+02:00;214966666;12395968375;65672;21111;1;0;0
2019-07-27T06:00:00+02:00;204283333;12407747379;68454;15837;1;0;0
2019-07-27T07:00:00+02:00;221266666;12421885678;64887;16930;1;0;0
2019-07-27T08:00:00+02:00;202116666;12389292441;64529;9659;1;0;0
2019-07-27T09:00:00+02:00;202550000;12390008968;65262;11093;1;0;0
2019-07-27T10:00:00+02:00;180216666;12394185796;69188;14967;1;0;0
2019-07-27T11:00:00+02:00;203583333;12403955029;67584;13158;1;0;0
2019-07-27T12:00:00+02:00;195316666;12405335654;68283;16844;1;0;0
2019-07-27T13:00:00+02:00;212283333;12408236714;69819;23091;1;0;0
2019-07-27T14:00:00+02:00;263933333;12422934254;68096;13226;1;0;0
2019-07-27T15:00:00+02:00;245400000;12394902323;70877;16742;1;0;0
2019-07-27T16:00:00+02:00;193900000;12414755362;68932;23364;1;0;0
2019-07-27T17:00:00+02:00;189883333;12419194333;71662;26624;1;0;0
2019-07-27T18:00:00+02:00;226066666;12429103377;78114;314982;1;0;0
2019-07-27T19:00:00+02:00;262616666;12444395110;70843;28245;1;0;0
2019-07-27T20:00:00+02:00;237466666;12422689587;71441;27067;1;0;0
2019-07-27T21:00:00+02:00;191216666;12413444642;73198;15394;1;0;0
2019-07-27T22:00:00+02:00;172633333;12416066082;71150;18295;1;0;0
2019-07-27T23:00:00+02:00;266000000;12424157593;69939;9608;1;0;0
2019-07-28T00:00:00+02:00;263000000;12437719176;69256;22033;1;0;0
2019-07-28T01:00:00+02:00;233333333;12432808345;66048;23449;1;0;0
2019-07-28T02:00:00+02:00;179600000;12413269879;65092;14523;1;0;0
2019-07-28T03:00:00+02:00;199800000;12414947601;65262;16844;1;0;0
2019-07-28T04:00:00+02:00;225733333;12422357538;65740;15923;1;0;0
2019-07-28T05:00:00+02:00;214800000;12411277585;66030;9318;1;0;0
2019-07-28T06:00:00+02:00;201983333;12411836825;68812;5922;1;0;0
2019-07-28T07:00:00+02:00;218066666;12415681604;65536;14250;1;0;0
2019-07-28T08:00:00+02:00;186966666;12424437213;66048;8977;1;0;0
