Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-07-19T06:40:00+02:00;6342000000;1,21776E+11;182272;229376;8;3,5
2019-07-19T06:42:00+02:00;6379500000;1,21775E+11;198144;453120;13;5
2019-07-19T06:44:00+02:00;6254500000;1,21775E+11;186880;294400;10;2
2019-07-19T06:46:00+02:00;7013000000;1,2178E+11;203264;340480;14;3,5
2019-07-19T06:48:00+02:00;6875500000;1,21778E+11;145920;914944;14;16,5
2019-07-19T06:50:00+02:00;6005500000;1,21778E+11;191488;513024;9;3
2019-07-19T06:52:00+02:00;8314500000;1,2178E+11;201216;302080;12,5;21
2019-07-19T06:54:00+02:00;7135000000;1,21783E+11;128512;230912;12,5;2
2019-07-19T06:56:00+02:00;5603500000;1,21787E+11;224256;321536;10;3,5
2019-07-19T06:58:00+02:00;5410000000;1,21787E+11;198656;1267712;7;2,5
2019-07-19T07:00:00+02:00;6060500000;1,21787E+11;1018880;337408;6;191
2019-07-19T07:02:00+02:00;6311500000;1,21788E+11;277504;592896;14;6
2019-07-19T07:04:00+02:00;6115000000;1,21791E+11;419840;446976;11;24,5
2019-07-19T07:06:00+02:00;5706500000;1,21797E+11;226816;208896;37,5;15
2019-07-19T07:08:00+02:00;6074500000;1,21795E+11;269824;475136;9;2,5
2019-07-19T07:10:00+02:00;6889500000;1,21798E+11;366592;412672;7;4
2019-07-19T07:12:00+02:00;6265000000;1,21812E+11;261120;623616;9,5;3,5
2019-07-19T07:14:00+02:00;6413000000;1,218E+11;193536;616960;8;33,5
2019-07-19T07:16:00+02:00;6319000000;1,21797E+11;185856;482304;8,5;3,5
2019-07-19T07:18:00+02:00;6208500000;1,21794E+11;140288;249856;11,5;8
2019-07-19T07:20:00+02:00;6713000000;1,21794E+11;153088;385536;13;3
2019-07-19T07:22:00+02:00;6962500000;1,21798E+11;208384;301056;12,5;7
2019-07-19T07:24:00+02:00;5780500000;1,21803E+11;197120;460800;10;3
2019-07-19T07:26:00+02:00;5807500000;1,218E+11;170496;414208;5,5;6,5
2019-07-19T07:28:00+02:00;6258000000;1,21797E+11;178176;314880;11;5,5
2019-07-19T07:30:00+02:00;6829500000;1,21795E+11;186880;325120;9;5
2019-07-19T07:32:00+02:00;7318500000;1,21799E+11;206848;459776;12,5;3
2019-07-19T07:34:00+02:00;6346500000;1,21806E+11;246784;445440;9,5;2,5
2019-07-19T07:36:00+02:00;6738500000;1,21804E+11;182272;401408;11,5;3
2019-07-19T07:38:00+02:00;6779500000;1,2181E+11;185344;320000;9,5;6
2019-07-19T07:40:00+02:00;6378500000;1,21805E+11;234496;719872;11,5;3,5
2019-07-19T07:42:00+02:00;8587500000;1,21803E+11;213504;994304;8,5;2
2019-07-19T07:44:00+02:00;6920000000;1,21808E+11;287232;12729856;9;2,5
2019-07-19T07:46:00+02:00;6616000000;1,21805E+11;362496;12768256;10,5;3,5
2019-07-19T07:48:00+02:00;7966000000;1,21814E+11;178176;588288;7,5;2,5
2019-07-19T07:50:00+02:00;6569500000;1,21815E+11;421888;811520;8;5
2019-07-19T07:52:00+02:00;7060000000;1,21806E+11;229376;1036800;9;7
2019-07-19T07:54:00+02:00;6211000000;1,2181E+11;285184;1065984;9,5;11
2019-07-19T07:56:00+02:00;6351500000;1,21818E+11;241664;1421312;10;4
2019-07-19T07:58:00+02:00;7564000000;1,21825E+11;250880;2022912;10;5
2019-07-19T08:00:00+02:00;6768500000;1,21828E+11;497152;1782784;9;3,5
2019-07-19T08:02:00+02:00;8156500000;1,21834E+11;546816;2073600;9;4
2019-07-19T08:04:00+02:00;7004500000;1,21826E+11;376320;1383936;8,5;2
2019-07-19T08:06:00+02:00;6981000000;1,21824E+11;339456;510976;8;13
2019-07-19T08:08:00+02:00;6491500000;1,21826E+11;551424;653824;9,5;2,5
2019-07-19T08:10:00+02:00;6526500000;1,21815E+11;334336;471552;12;5
2019-07-19T08:12:00+02:00;7212000000;1,21817E+11;237568;361472;9;12,5
2019-07-19T08:14:00+02:00;5916000000;1,21815E+11;486400;532480;43,5;19,5
2019-07-19T08:16:00+02:00;6718000000;1,21819E+11;941568;1403904;9,5;16,5
2019-07-19T08:18:00+02:00;10699500000;1,21828E+11;190464;664576;8,5;3,5
2019-07-19T08:20:00+02:00;7811500000;1,2182E+11;238080;806912;8,5;1
2019-07-19T08:22:00+02:00;8827500000;1,21818E+11;235008;781824;8,5;6
2019-07-19T08:24:00+02:00;12445500000;1,2181E+11;241152;732160;12;13,5
2019-07-19T08:26:00+02:00;8950500000;1,21777E+11;313856;593408;9,5;2,5
2019-07-19T08:28:00+02:00;9861000000;1,21776E+11;309760;791552;9,5;3,5
2019-07-19T08:30:00+02:00;9689500000;1,21778E+11;268800;937984;9;2,5
2019-07-19T08:32:00+02:00;10204000000;1,2178E+11;1634816;1143808;10;4,5
2019-07-19T08:34:00+02:00;11391500000;1,21778E+11;1513472;1679360;11;6,5
2019-07-19T08:36:00+02:00;10766000000;1,21777E+11;866816;1807872;10,5;9,5
2019-07-19T08:38:00+02:00;11145000000;1,21781E+11;291328;982528;9,5;2
2019-07-19T08:40:00+02:00;11730500000;1,21776E+11;225280;696320;13;3,5
2019-07-19T08:42:00+02:00;10672500000;1,21777E+11;269824;1165312;18,5;11
2019-07-19T08:44:00+02:00;11673500000;1,21777E+11;208896;1233920;21,5;6,5
2019-07-19T08:46:00+02:00;11490500000;1,21777E+11;276480;1541632;28,5;8
2019-07-19T08:48:00+02:00;13774000000;1,21776E+11;267776;820224;12,5;50,5
2019-07-19T08:50:00+02:00;12845000000;1,21776E+11;336896;5122560;12,5;79
2019-07-19T08:52:00+02:00;12565500000;1,2178E+11;306688;5192192;10,5;2,5
2019-07-19T08:54:00+02:00;12676000000;1,21779E+11;363520;5405184;9,5;2
2019-07-19T08:56:00+02:00;12397000000;1,21778E+11;254976;3645440;9,5;2,5
2019-07-19T08:58:00+02:00;14142000000;1,21781E+11;328704;2925568;11;1
2019-07-19T09:00:00+02:00;11032000000;1,21779E+11;317440;868864;12,5;3
2019-07-19T09:02:00+02:00;10878000000;1,21779E+11;293888;645120;15;4,5
2019-07-19T09:04:00+02:00;12377000000;1,21778E+11;418304;920576;14,5;42,5
2019-07-19T09:06:00+02:00;12533500000;1,2178E+11;262144;946688;13;4
2019-07-19T09:08:00+02:00;10968000000;1,2178E+11;414208;1034240;12,5;2,5
2019-07-19T09:10:00+02:00;10990000000;1,21779E+11;260096;728576;15;4,5
2019-07-19T09:12:00+02:00;10794500000;1,21779E+11;345600;756736;12;6
