Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Average read latency of the datastore LUN_080;Average read latency of the datastore LUN_081;Average read latency of the datastore LUN_082;Average read latency of the datastore LUN_083;Average read latency of the datastore LUN_084;Average read latency of the datastore LUN_085;Average write latency of the datastore LUN_080;Average write latency of the datastore LUN_081;Average write latency of the datastore LUN_082;Average write latency of the datastore LUN_083;Average write latency of the datastore LUN_084;Average write latency of the datastore LUN_085
2019-06-27T01:12:00+02:00;8203500000;2,25E+11;5633536;31196672;1;0;0;0;19,5;7;3,5;1;6;307;9,5;3,5
2019-06-27T01:14:00+02:00;10612000000;2,25E+11;4604928;28273152;0,5;0;0;0;5;5;0;0;2;0;2;0
2019-06-27T01:16:00+02:00;9649000000;2,25E+11;3563008;30279168;0,5;2,5;0,5;0;0;5,5;1;0,5;2,5;0;1;0
2019-06-27T01:18:00+02:00;9343000000;2,25E+11;5318656;25823232;0;0;4;0;0;8;1;0;1;0;1;1
2019-06-27T01:20:00+02:00;8843000000;2,25E+11;5538816;23697408;0,5;0;1,5;0;0;5,5;1;1;1,5;0;1;0,5
2019-06-27T01:22:00+02:00;9342000000;2,25E+11;7052800;24425472;0;0;0;0;3;6;0,5;0,5;2;0;1,5;0,5
2019-06-27T01:24:00+02:00;9322500000;2,25E+11;6194176;26540032;0;0;1,5;0;0;5,5;0;0,5;1,5;0,5;2,5;0,5
2019-06-27T01:26:00+02:00;10360000000;2,25E+11;6227456;21058048;2;0;4;0;0,5;9;2,5;0,5;24;1;3;0,5
2019-06-27T01:28:00+02:00;12762000000;2,25E+11;6977536;23292928;4;2,5;1,5;0;1,5;7;0,5;0;1,5;1,5;1;0
2019-06-27T01:30:00+02:00;9199000000;2,25E+11;6619648;28450304;6;0;4;0;10;10;6;2,5;10,5;2;11;4
2019-06-27T01:32:00+02:00;10127500000;2,25E+11;3981312;34523648;4;0;3,5;0;7,5;6;6;1;1;0;3;2
2019-06-27T01:34:00+02:00;8421000000;2,25E+11;3815936;32652800;0,5;0;0;0;0;6;1;0,5;0,5;0;1;1
2019-06-27T01:36:00+02:00;8889500000;2,25E+11;4533760;36329472;1,5;0;0,5;0;0;6;1;0;1;0;1;2
2019-06-27T01:38:00+02:00;7563500000;2,25E+11;3701760;40995840;1,5;0;1;0;1;3,5;1;0,5;1,5;0;1,5;1
2019-06-27T01:40:00+02:00;8113000000;2,25E+11;4443648;27445248;0;0;1;0;0;6;1,5;1,5;1,5;0;1,5;2
2019-06-27T01:42:00+02:00;8292000000;2,25E+11;3321856;19954688;1,5;0;1,5;0;0;5,5;1,5;1,5;2;0;2;2
2019-06-27T01:44:00+02:00;8251500000;2,25E+11;3145728;36560384;0,5;1,5;2,5;0;1;5;2;2;2;0;1,5;2,5
